"Date","TCI - 1","Num_Variables - 1","TCI - 2","Num_Variables - 2","TCI - 3","Num_Variables - 3"
2012-12-14,10.3233799381563,2,16.3679348848238,2,16.3679348848238,2
2012-12-21,10.540940562258,2,16.6316047653045,2,16.6316047653045,2
2012-12-28,10.5378807170075,2,16.5903276958666,2,16.5903276958666,2
2013-01-04,10.2706118905199,2,16.2470501244247,2,16.2470501244247,2
2013-01-11,10.3101227495005,2,16.2904982100921,2,16.2904982100921,2
2013-01-18,9.70798740250706,2,15.476478679289,2,15.476478679289,2
2013-01-25,9.28757718811825,2,14.8797272192251,2,14.8797272192251,2
2013-02-01,9.22005780663937,2,14.5514430038224,2,14.5514430038224,2
2013-02-08,9.39346214992578,2,14.7350574059666,2,14.7350574059666,2
2013-02-15,4.63335032712919,2,7.16011341230834,2,7.16011341230834,2
2013-02-22,4.04134696152251,2,5.93169226694367,2,5.93169226694367,2
2013-03-01,4.53856114241902,2,6.44191550759011,2,6.44191550759011,2
2013-03-08,3.24907976679172,2,4.53004481283832,2,4.53004481283832,2
2013-03-15,3.22576210943253,2,4.51887857242483,2,4.51887857242483,2
2013-03-22,3.17092045986548,2,4.44674454256365,2,4.44674454256365,2
2013-04-05,3.0687728295305,2,4.34082756685872,2,4.34082756685872,2
2013-04-12,3.14172802303447,2,4.15939006202155,2,4.15939006202155,2
2013-04-19,3.25808517266953,2,4.01432671156548,2,4.01432671156548,2
2013-04-26,3.18931059054367,2,3.96015843750495,2,3.96015843750495,2
2013-05-03,3.19274289264171,2,3.93300502849899,2,3.93300502849899,2
2013-05-10,3.1811486754324,2,3.92471155480947,2,3.92471155480947,2
2013-05-17,3.16655693491431,2,3.88300479552885,2,3.88300479552885,2
2013-05-24,3.16321415089758,2,3.88134719106081,2,3.88134719106081,2
2013-05-31,3.03305777978441,2,3.67984827331531,2,3.67984827331531,2
2013-06-07,2.92272484561441,2,3.58399446901454,2,3.58399446901454,2
2013-06-14,2.98266639868208,2,3.61510669986824,2,3.61510669986824,2
2013-06-21,2.96463947372342,2,3.61715692492083,2,3.61715692492083,2
2013-06-28,2.86271589718425,2,3.49508691328762,2,3.49508691328762,2
2013-07-05,2.7746686790312,2,3.44655702856794,2,3.44655702856794,2
2013-07-12,2.78045403765304,2,3.41805389946494,2,3.41805389946494,2
2013-07-19,2.71154846913482,2,3.36737256678739,2,3.36737256678739,2
2013-07-26,2.70906807261705,2,3.36839097248248,2,3.36839097248248,2
2013-08-02,2.68733805641665,2,3.33514633183252,2,3.33514633183252,2
2013-08-09,2.79400729571051,2,3.47153954151057,2,3.47153954151057,2
2013-08-16,2.73450910543964,2,3.42951490591763,2,3.42951490591763,2
2013-08-23,2.80341627416392,2,3.58472908538678,2,3.58472908538678,2
2013-08-30,2.77439343218747,2,3.77274535561472,2,3.77274535561472,2
2013-09-06,2.26095678736504,2,3.38807553733059,2,3.38807553733059,2
2013-09-13,2.2969514065339,2,3.41505827495131,2,3.41505827495131,2
2013-09-20,2.28061527315548,2,3.39516339556864,2,3.39516339556864,2
2013-09-27,2.25163523886452,2,3.33984667845001,2,3.33984667845001,2
2013-10-04,2.26238424969254,2,3.40159406855883,2,3.40159406855883,2
2013-10-11,2.11317016955113,2,3.1592931241055,2,3.1592931241055,2
2013-10-18,1.98021570551923,2,2.92019161364965,2,2.92019161364965,2
2013-10-25,1.92202168406141,2,2.91052271594051,2,2.91052271594051,2
2013-11-01,1.8764341194465,2,2.86583383749607,2,2.86583383749607,2
2013-11-08,1.90059587943707,2,2.89914362670425,2,2.89914362670425,2
2013-11-15,1.86302801129201,2,2.83830452972668,2,2.83830452972668,2
2013-11-22,1.84320784462729,2,2.80637843197321,2,2.80637843197321,2
2013-11-29,1.77858308915985,2,2.71091394338948,2,2.71091394338948,2
2013-12-06,1.51175978082879,2,2.35936632469959,2,2.35936632469959,2
2013-12-13,1.45145477876725,2,2.30594094129329,2,2.30594094129329,2
2013-12-20,1.45079531562815,2,2.32259752971024,2,2.32259752971024,2
2013-12-27,1.43879930486606,2,2.30057848583643,2,2.30057848583643,2
2014-01-03,1.42657303288847,2,2.27175612958571,2,2.27175612958571,2
2014-01-10,1.41102578418376,2,2.24363858861082,2,2.24363858861082,2
2014-01-17,1.48798269780546,2,2.42220207096622,2,2.42220207096622,2
2014-01-24,1.50334599833586,2,2.4531031961122,2,2.4531031961122,2
2014-01-31,1.39249342661935,2,2.27590633170706,2,2.27590633170706,2
2014-02-07,1.47524039784324,2,2.37478615412912,2,2.37478615412912,2
2014-02-14,1.49990005280765,2,2.38891736164084,2,2.38891736164084,2
2014-02-21,1.4652352491428,2,2.35052111474826,2,2.35052111474826,2
2014-02-28,1.43787717226849,2,2.3221703457499,2,2.3221703457499,2
2014-03-07,1.42585936971493,2,2.30602219870724,2,2.30602219870724,2
2014-03-14,1.41523356303797,2,2.28576648928072,2,2.28576648928072,2
2014-03-21,1.39152814287693,2,2.25920978692234,2,2.25920978692234,2
2014-03-28,1.2191801779356,2,1.8741190836082,2,1.8741190836082,2
2014-04-04,1.1761020184517,2,1.84471056337971,2,1.84471056337971,2
2014-04-11,1.16402526978823,2,1.82559899024611,2,1.82559899024611,2
2014-04-18,1.16649199271481,2,1.82279958606611,2,1.82279958606611,2
2014-04-25,1.17256082950195,2,1.83183382712392,2,1.83183382712392,2
2014-05-02,1.17475304575294,2,1.84015257284949,2,1.84015257284949,2
2014-05-09,1.17577799284123,2,1.84923358334283,2,1.84923358334283,2
2014-05-16,1.02148244331919,2,1.51861881449843,2,1.51861881449843,2
