"Date","all","Positive","Negative","Net"
2018-01-12,13.082327366982,5.58328145221119,22.5763735054632,16.993092053252
2018-01-19,21.6081427321687,20.0770537642701,24.4928668396854,4.41581307541533
2018-01-26,25.8675419420673,36.691623796694,40.5452302650124,3.8536064683184
2018-02-02,28.8835169244906,50.6793804849037,44.9694349939083,-5.70994549099538
2018-02-09,38.1051544716547,50.5765413704293,44.9974272575368,-5.57911411289253
2018-02-16,41.6975711156297,59.6929364853875,52.8386260040052,-6.85431048138235
2018-02-23,48.5765055593195,57.9564102544104,71.114349542698,13.1579392882875
2018-03-02,47.4996004759766,72.049583841232,65.5083605673776,-6.54122327385441
2018-03-09,46.7354988275509,60.2537761506715,64.7953980485255,4.54162189785403
2018-03-16,42.2236286479393,62.0480814744703,63.6921979622301,1.6441164877598
2018-03-23,47.1089451915778,64.4055784387338,61.4895138995459,-2.91606453918782
2018-03-30,40.8861174651135,64.4413915019134,65.6406102995414,1.19921879762796
2018-04-06,34.3627432654371,66.880846768149,62.6427657151188,-4.23808105303011
2018-04-13,34.5542982264266,70.7321019277662,65.2236314356313,-5.50847049213485
2018-04-20,33.1195436838003,63.8586792147196,65.0524652511114,1.19378603639174
2018-04-27,30.4063609304742,63.1714351228946,54.5390656397664,-8.63236948312819
2018-05-04,31.0239100845452,62.6611987147102,54.5842449027111,-8.07695381199911
2018-05-11,28.3732963346542,62.5975421329494,54.9903974924446,-7.60714464050478
2018-05-18,30.2568307506663,47.0940024494624,55.7698928842893,8.67589043482694
2018-05-25,40.5905403273405,63.4432839548159,55.7352331649984,-7.70805078981757
2018-06-01,40.5572719970021,52.6442787313064,61.472067163427,8.82778843212065
2018-06-08,36.3792105222946,54.1849078519044,46.7253282377665,-7.45957961413792
2018-06-15,34.287225134027,52.6400813395359,46.2786217900868,-6.36145954944913
2018-06-22,33.4327769922629,52.3263285360192,40.064604372503,-12.2617241635162
2018-06-29,34.1700069463445,52.144019201836,37.8186213766746,-14.3253978251614
2018-07-06,34.6213297816235,48.8743320664889,40.4093841506606,-8.46494791582825
2018-07-13,30.5724527315882,46.3855334577912,44.5448306792076,-1.84070277858365
2018-07-20,28.7133887885194,36.0717870142606,43.6211830285787,7.54939601431816
2018-07-27,28.7317816351236,34.2764508386869,47.2269466495329,12.950495810846
2018-08-03,26.9674385368418,34.3215913438796,47.9540536920773,13.6324623481977
2018-08-10,25.907270068597,37.8907545746121,48.9864356697659,11.0956810951538
2018-08-17,25.6637354840605,33.1081859076977,41.8503146464429,8.74212873874522
2018-08-24,25.416222120509,33.9216000726148,38.0893101610364,4.16771008842161
2018-08-31,24.9935175761092,33.7645376055703,36.3233799093037,2.55884230373341
2018-09-07,24.5663810339603,34.5683526392047,38.7426646514409,4.17431201223619
2018-09-14,24.3366631297066,33.541204490295,36.756770355633,3.21556586533797
2018-09-21,23.7317501102389,33.2794030298451,36.5185322742417,3.23912924439655
2018-09-28,23.5846346621438,32.4080424688956,37.1223283839412,4.71428591504556
2018-10-05,23.5963921469922,32.4567825865695,36.3384861011543,3.88170351458482
2018-10-12,23.5011989515875,32.8419421032221,37.0666312613443,4.2246891581222
2018-10-19,23.4129420524967,30.9889706203405,37.1627645737239,6.17379395338335
2018-10-26,24.9425077624538,31.5291185135832,37.0965018505284,5.56738333694514
2018-11-02,23.9713857856877,30.9007810810082,36.5682853083303,5.66750422732217
2018-11-09,24.1577973467016,31.5395567561823,37.3409768135045,5.8014200573222
2018-11-16,20.4795424330686,31.5477185430068,35.0185860525639,3.47086750955718
2018-11-23,21.0519332537461,34.509517965091,35.0495635853192,0.540045620228213
2018-11-30,21.4332460072257,32.3436364338114,32.7969221746451,0.453285740833685
2018-12-07,19.6137791583253,32.2461504551459,32.21450572394,-0.0316447312059438
2018-12-14,18.424762612252,32.3281883343769,31.5991228904855,-0.729065443891404
2018-12-21,18.5051666837355,32.8601670663176,31.5915273032438,-1.26863976307381
2018-12-28,17.5599673129409,28.6805144700131,33.2598013780708,4.57928690805771
2019-01-04,17.0577323810802,24.5561467257622,34.5416228144074,9.9854760886452
2019-01-11,16.8972096849226,23.9491142354336,34.0637995115343,10.1146852761007
2019-01-18,17.5010520581788,24.4371747099849,34.3117727118147,9.87459800182984
2019-01-25,17.0425840774025,24.2177034766058,34.8755381744993,10.6578346978934
2019-02-01,16.8850752337071,24.3734852389402,34.6411502622827,10.2676650233425
2019-02-08,16.7382683976503,24.3855368924021,34.9900582706372,10.6045213782351
2019-02-15,17.089531240011,23.2468127682024,35.526342191664,12.2795294234616
2019-02-22,16.9507311947065,22.4227123886586,33.9876498086645,11.5649374200059
2019-03-01,17.69930524452,23.8662470023103,34.5845799180722,10.7183329157619
2019-03-08,17.7978426252503,22.9200524799091,35.9980210079169,13.0779685280078
2019-03-15,17.1096025830727,22.9737223299966,35.7276834676881,12.7539611376914
2019-03-22,16.8639226275758,22.8353696262139,36.3039550893542,13.4685854631403
2019-03-29,17.1730366629285,22.0032162437943,36.896572922892,14.8933566790977
2019-04-05,15.8409298956027,21.9132614116911,36.0246010189164,14.1113396072252
2019-04-12,15.4408115552581,21.1798121643831,37.5933475864979,16.4135354221148
2019-04-19,15.1095869670702,20.6686111519403,37.4399191769567,16.7713080250163
2019-04-26,15.1525872276558,20.5832878889054,38.1787805414184,17.595492652513
2019-05-03,14.7167389808137,19.0157696127326,36.4630288518857,17.4472592391531
2019-05-10,13.7157711317047,18.069992102063,35.408119920958,17.338127818895
2019-05-17,13.6978876767808,17.5247254639326,32.537102797181,15.0123773332484
