"DateTime","CEA Closing Price"
"2021-07-19",52.3
"2021-07-20",53.28
"2021-07-22",55.52
"2021-07-23",56.97
"2021-07-26",54.46
"2021-07-27",54.63
"2021-07-28",52.5
"2021-07-29",52.96
"2021-07-30",54.17
"2021-08-02",51.99
"2021-08-03",53.44
"2021-08-04",58.7
"2021-08-05",54.9
"2021-08-06",52.96
"2021-08-10",55.32
"2021-08-11",55.9
"2021-08-12",55.43
"2021-08-13",54
"2021-08-16",51
"2021-08-17",51.76
"2021-08-18",51.87
"2021-08-19",50.49
"2021-08-23",50.2
"2021-08-24",50.2
"2021-08-25",47.64
"2021-08-26",47.64
"2021-08-27",45.09
"2021-08-30",45.16
"2021-08-31",45.35
"2021-09-01",45.19
"2021-09-02",44.66
"2021-09-03",44.67
"2021-09-06",44
"2021-09-07",43.9
"2021-09-08",42.9
"2021-09-09",41.99
"2021-09-10",44
"2021-09-15",45
"2021-09-16",44.94
"2021-09-17",43.43
"2021-09-22",43.24
"2021-09-23",43.85
"2021-09-24",44.36
"2021-09-27",43.59
"2021-09-28",42.22
"2021-09-29",41.84
"2021-09-30",42.21
"2021-10-08",44.08
"2021-10-11",46.03
"2021-10-12",44.67
"2021-10-13",44.68
"2021-10-14",43.96
"2021-10-15",43.9
"2021-10-18",43.44
"2021-10-19",43.43
"2021-10-20",43.24
"2021-10-21",43.03
"2021-10-22",42.99
"2021-10-25",43.24
"2021-10-26",42.65
"2021-10-27",42.61
"2021-10-28",42.77
"2021-10-29",42.41
"2021-11-01",42.45
"2021-11-02",42.43
"2021-11-03",42.4
"2021-11-04",42.33
"2021-11-05",42.69
"2021-11-08",42.58
"2021-11-09",42.73
"2021-11-10",42.74
"2021-11-11",42.49
"2021-11-12",42.66
"2021-11-15",42.93
"2021-11-16",43.16
"2021-11-17",43.12
"2021-11-18",43.16
"2021-11-19",43.05
"2021-11-22",43.05
"2021-11-23",43.06
"2021-11-24",42.96
"2021-11-26",42.85
"2021-11-29",42.92
"2021-11-30",42.95
"2021-12-01",42.97
"2021-12-02",42.88
"2021-12-03",42.94
"2021-12-06",42.79
"2021-12-07",42.13
"2021-12-08",41.46
"2021-12-09",41.56
"2021-12-10",42.69
"2021-12-13",42.95
"2021-12-14",42.93
"2021-12-15",43.06
"2021-12-16",44.22
"2021-12-17",46.66
"2021-12-20",49.18
"2021-12-21",49.49
"2021-12-22",49.39
"2021-12-23",49.57
"2022-01-04",57.29
"2022-01-05",56.94
"2022-01-06",57.26
"2022-01-07",57.59
"2022-01-10",58.28
"2022-01-11",57.52
"2022-01-12",57.99
"2022-01-13",57.75
"2022-01-14",57.77
"2022-01-17",58.48
"2022-01-18",58.5
"2022-01-19",56
"2022-01-20",58
"2022-01-21",57.46
"2022-01-24",57.87
"2022-01-25",57.83
"2022-01-26",57.88
"2022-01-27",56
"2022-01-28",61.38
"2022-02-07",58.08
"2022-02-08",58.5
"2022-02-09",58.5
"2022-02-10",60
"2022-02-11",56.15
"2022-02-14",58.41
"2022-02-15",58.4
"2022-02-16",56.6
"2022-02-17",56.5
"2022-02-18",56.88
"2022-02-21",56.99
"2022-02-22",56.78
"2022-02-23",56.49
