"DateTime","I-KCU20 Closing Price","I-KCU21 Closing Price","I-KOC20-22 Closing Price","I-KOC21-23 Closing Price","KAU Closing Price","KCU Closing Price","KOC20-22 Closing Price","KOC21-23 Closing Price"
"2015-04-06",,,,,10100,10100,,
"2015-04-07",,,,,10100,10200,,
"2015-04-08",,,,,10100,10300,,
"2015-04-09",,,,,10100,10450,,
"2015-04-10",,,,,10100,10450,,
"2015-04-13",,,,,10100,10450,,
"2015-04-14",,,,,10100,10500,,
"2015-04-15",,,,,10100,10500,,
"2015-04-16",,,,,10100,10500,,
"2015-04-17",,,,,10100,10500,,
"2015-04-20",,,,,10250,10550,,
"2015-04-21",,,,,10250,10550,,
"2015-04-22",,,,,10250,10550,,
"2015-04-23",,,,,10300,10550,,
"2015-04-24",,,,,10300,10550,,
"2015-04-27",,,,,10300,10550,,
"2015-04-28",,,,,10300,10550,,
"2015-04-29",,,,,10300,10550,,
"2015-04-30",,,,,10300,10550,,
"2015-05-04",,,,,10300,10550,,
"2015-05-06",,,,,10300,10550,,
"2015-05-07",,,,,10300,10550,,
"2015-05-08",,,,,10300,10550,,
"2015-05-11",,,,,10300,10550,,
"2015-05-12",,,,,10300,10550,,
"2015-05-13",,,,,10300,10550,,
"2015-05-14",,,,,10300,10550,,
"2015-05-15",,,,,10300,10550,,
"2015-05-18",,,,,10300,10550,,
"2015-05-19",,,,,10300,10550,,
"2015-05-20",,,,,10300,10550,,
