"DateTime","Auction Current Vintage - Spot - ARB","Auction Future Vintage - Spot - ARB","CCA - Front December - ICE","CCA - Spot - Evolution Markets","CCO3 - Spot - Evolution Markets","CCO8 - Spot - Evolution Markets","DEBS CCO-0 – Front Month – Nodal","Floor - Spot - ARB","Golden CCO - Spot - Evolution Markets"
"2015-05-14",,,12.7,12.56,10.23,9.95,,12.1,11.43
"2015-05-15",,,12.71,12.57,10.23,9.95,,12.1,11.43
"2015-05-18",,,12.67,12.54,10.23,9.95,,12.1,11.43
"2015-05-19",,,12.66,12.53,10.25,9.95,,12.1,11.43
"2015-05-20",,,12.65,12.52,10.25,9.95,,12.1,11.43
"2015-05-21",12.29,12.1,12.62,12.49,10.25,9.95,,12.1,11.43
"2015-05-22",,,12.61,12.49,10.25,9.95,,12.1,11.43
"2015-05-26",,,12.64,12.51,10.25,9.95,,12.1,11.43
"2015-05-27",,,12.64,12.51,10.25,9.95,,12.1,11.43
"2015-05-28",,,12.64,12.51,10.25,9.95,,12.1,11.43
"2015-05-29",,,12.64,12.51,10.25,9.95,,12.1,11.43
"2015-06-01",,,12.66,12.53,10.18,9.9,,12.1,11.38
"2015-06-02",,,12.67,12.53,10.18,9.9,,12.1,11.38
"2015-06-03",,,12.66,12.5,10.38,9.95,,12.1,11.38
"2015-06-04",,,12.67,12.51,10.38,9.95,,12.1,11.38
"2015-06-05",,,12.67,12.51,10.38,9.95,,12.1,11.38
"2015-06-08",,,12.66,12.5,10.38,9.95,,12.1,11.38
"2015-06-09",,,12.66,12.52,10.38,9.95,,12.1,11.38
"2015-06-10",,,12.65,12.51,10.38,9.95,,12.1,11.38
"2015-06-11",,,12.65,12.51,10.38,10.02,,12.1,11.47
"2015-06-12",,,12.7,12.55,10.38,10,,12.1,11.47
"2015-06-15",,,12.7,12.55,10.38,10.07,,12.1,11.47
"2015-06-16",,,12.71,12.56,10.47,10.15,,12.1,11.47
"2015-06-17",,,12.71,12.56,10.45,10.15,,12.1,11.47
"2015-06-18",,,12.72,12.57,10.45,10.15,,12.1,11.47
"2015-06-19",,,12.72,12.57,10.45,10.15,,12.1,11.47
"2015-06-22",,,12.72,12.57,10.45,10.15,,12.1,11.47
"2015-06-23",,,12.72,12.58,10.45,10.15,,12.1,11.47
"2015-06-24",,,12.7,12.57,10.45,10.15,,12.1,11.47
"2015-06-25",,,12.7,12.57,10.45,10.15,,12.1,11.47
"2015-06-26",,,12.73,12.57,10.45,10.15,,12.1,11.47
"2015-06-29",,,12.73,12.57,10.45,10.15,,12.1,11.47
"2015-06-30",,,12.72,12.57,10.45,10.15,,12.1,11.5
"2015-07-01",,,12.72,12.64,10.38,10,,12.1,11.5
"2015-07-02",,,12.73,12.64,10.38,10,,12.1,11.5
"2015-07-06",,,12.73,12.64,10.38,10,,12.1,11.5
"2015-07-07",,,12.74,12.65,10.38,10,,12.1,11.5
"2015-07-08",,,12.74,12.66,10.38,10,,12.1,11.5
"2015-07-09",,,12.74,12.66,10.38,10,,12.1,11.5
"2015-07-10",,,12.75,12.66,10.38,10,,12.1,11.5
"2015-07-13",,,12.74,12.66,10.38,10,,12.1,11.5
"2015-07-14",,,12.75,12.67,10.45,10,,12.1,11.5
"2015-07-15",,,12.72,12.64,10.45,10,,12.1,11.5
"2015-07-16",,,12.7,12.62,10.45,10,,12.1,11.5
"2015-07-17",,,12.7,12.62,10.45,10,,12.1,11.5
"2015-07-20",,,12.71,12.62,10.45,10,,12.1,11.5
"2015-07-21",,,12.7,12.61,10.45,10,,12.1,11.5
"2015-07-22",,,12.69,12.61,10.45,10,,12.1,11.5
"2015-07-23",,,12.7,12.6,10.45,10,,12.1,11.5
"2015-07-24",,,12.69,12.6,10.45,10,,12.1,11.67
"2015-07-27",,,12.67,12.58,10.45,10,,12.1,11.68
"2015-07-28",,,12.67,12.58,10.55,10.1,,12.1,11.68
"2015-07-29",,,12.67,12.58,10.58,10.14,,12.1,11.68
"2015-07-30",,,12.7,12.58,10.58,10.14,,12.1,11.68
"2015-07-31",,,12.7,12.58,10.68,10.2,,12.1,11.68
