"All","Positive","Negative","Date","Net"
9.21659479209938,10.5205609638887,18.8615601111711,2019-07-05,8.34099914728244
9.08423634987475,10.805058616183,18.7767468123952,2019-07-12,7.97168819621226
9.00187135986301,10.6606864387772,18.8087162348173,2019-07-19,8.1480297960401
8.93505447948795,10.6293182869419,19.2368934517786,2019-07-26,8.6075751648367
9.02780081173231,10.7684126105503,18.2397520048882,2019-08-02,7.47133939433793
8.8712794131366,10.9612288628686,17.8140319779769,2019-08-09,6.85280311510827
8.05350427794751,10.3117513491425,18.0079625772285,2019-08-16,7.69621122808599
8.05685709597764,10.570161723896,17.921494781332,2019-08-23,7.35133305743602
8.06769257946206,10.0635786541649,18.2757496795381,2019-08-30,8.21217102537325
8.2472838872744,9.86782596860043,18.4320383900411,2019-09-06,8.56421242144063
7.76104961731538,9.83598500118224,17.9469917070759,2019-09-13,8.11100670589367
7.50149797743642,9.90893761147183,17.8583287694193,2019-09-20,7.94939115794746
7.30503576149504,9.16028823996097,18.1876342268759,2019-09-27,9.02734598691491
7.37191537350355,9.13218129849279,18.4011453788815,2019-10-04,9.26896408038873
7.36937541649554,9.56777240610316,18.2569977686433,2019-10-11,8.6892253625401
7.45321072944726,9.98003594127519,18.1571686381685,2019-10-18,8.17713269689327
7.37618511360244,10.027609428304,18.547146496641,2019-10-25,8.519537068337
7.45582761734722,9.93165347045219,18.5553885455185,2019-11-01,8.62373507506631
7.84392325636172,9.25368218317372,18.8406514198883,2019-11-08,9.58696923671456
7.92920363231593,8.96019362101198,19.2123752824982,2019-11-15,10.2521816614862
8.05188744884124,9.1457425165919,19.4803065203219,2019-11-22,10.33456400373
7.84521062900323,9.43765446166912,19.682240176335,2019-11-29,10.2445857146659
7.94756549363395,9.45750664236509,19.7857295060455,2019-12-06,10.3282228636804
7.75280573211752,9.69780428651114,20.0407222136829,2019-12-13,10.3429179271717
8.58762642191553,11.1478621778219,20.4537631792005,2019-12-20,9.30590100137857
8.71379529496691,9.11128204089652,19.3161784420897,2019-12-27,10.2048964011932
8.51116184532218,9.23733704139544,18.5256112436303,2020-01-03,9.28827420223485
8.60908917070875,9.21715599635586,18.938852701897,2020-01-10,9.72169670554109
8.28353071243157,8.75332043181991,19.4821746753692,2020-01-17,10.7288542435492
8.26341373336227,8.86045711375314,19.7149628128729,2020-01-24,10.8545056991198
8.92230263407575,8.9557932014654,19.293265464528,2020-01-31,10.3374722630626
7.70804824774404,8.70711107368387,15.9950233826988,2020-02-07,7.28791230901496
7.52135383366685,8.6528408868659,15.5758903707792,2020-02-14,6.92304948391325
7.33129824442562,8.66286843243054,15.691607186232,2020-02-21,7.02873875380147
7.97927215851607,8.87718674993721,16.1186537322805,2020-02-28,7.24146698234329
9.07558259787737,9.11498941075337,17.3420620912082,2020-03-06,8.22707268045482
11.0871710824163,9.37143325333869,19.8428824613191,2020-03-13,10.4714492079804
23.0499300266759,9.67769327469996,39.6089273115775,2020-03-20,29.9312340368775
20.8715697445056,9.56815178822856,34.2434057362971,2020-03-27,24.6752539480685
20.8776729391775,10.3517658180623,32.8624872032545,2020-04-03,22.5107213851922
20.5578611956364,10.3814317589859,32.8972066014496,2020-04-10,22.5157748424637
20.5524436202455,10.5145464914913,32.9309001214705,2020-04-17,22.4163536299792
20.4654316086238,10.4823891392645,32.8592724201766,2020-04-24,22.376883280912
20.3856390912065,10.6069134045839,32.7265781981695,2020-05-01,22.1196647935856
20.3230932360404,10.4658015092268,32.6206709324556,2020-05-08,22.1548694232287
20.6413657242936,10.6211218865835,32.7050359100008,2020-05-15,22.0839140234173
20.5316686009086,10.4650889663251,32.4199442024669,2020-05-22,21.9548552361418
20.5368053384496,10.3336780607503,32.3784901815242,2020-05-29,22.0448121207739
19.5944448760913,10.4443807270809,32.2256847580379,2020-06-05,21.781304030957
18.1039480658901,9.4299818808136,32.1732190933712,2020-06-12,22.7432372125576
17.9572870652211,8.77288946664796,32.1619186019724,2020-06-19,23.3890291353245
17.9688603111045,8.78594840904722,32.1922070001934,2020-06-26,23.4062585911461
17.888451523598,8.80180548955255,32.2124115980167,2020-07-03,23.4106061084641
18.0249610589241,8.88864706394202,32.0730705874428,2020-07-10,23.1844235235007
17.9867642412931,9.0490848302139,31.8377722335014,2020-07-17,22.7886874032875
17.9758225407088,9.18532158407237,31.7632109976875,2020-07-24,22.5778894136151
17.8749204009093,9.23545037251643,31.7312591004067,2020-07-31,22.4958087278903
17.8371129171263,9.4032773038256,31.6099980929749,2020-08-07,22.2067207891493
17.8137370302392,9.54364660456785,31.5558295215949,2020-08-14,22.012182917027
17.8462724340859,9.57522122358573,31.5571521757581,2020-08-21,21.9819309521724
18.0209769169049,9.88896628259098,31.5927941410262,2020-08-28,21.7038278584352
18.0109918151711,9.99407248700882,31.3990554392248,2020-09-04,21.404982952216
18.01049941846,10.0635217096126,31.4326670070147,2020-09-11,21.369145297402
17.9767542041847,9.97052054933871,31.4765114951151,2020-09-18,21.5059909457764
17.9482216651471,9.98184033857653,31.3683628983129,2020-09-25,21.3865225597363
17.9574974942648,10.056254569122,31.371448805997,2020-10-02,21.3151942368749
17.9898858638881,10.2613111657789,31.3324451703894,2020-10-09,21.0711340046106
17.9650131575702,10.4368919597333,31.2731375517625,2020-10-16,20.8362455920292
17.9547753201228,10.4927258088139,31.240278713747,2020-10-23,20.7475529049331
17.8716427653132,10.5807835327365,31.0920226690444,2020-10-30,20.5112391363079
17.6583305287565,10.4188111882258,31.1117917077945,2020-11-06,20.6929805195687
