"bprior","Vprior.1","Vprior.2","Vprior.3","Vprior.4","Vprior.5","Vprior.6","Vprior.7","Vprior.8","Vprior.9","Vprior.10","Vprior.11","Vprior.12","Vprior.13","Vprior.14","Vprior.15","Vprior.16","Vprior.17","Vprior.18","Vprior.19","Vprior.20","Vprior.21","Vprior.22","Vprior.23","Vprior.24","Vprior.25","Vprior.26","Vprior.27","Vprior.28","Vprior.29","Vprior.30","Vprior.31","Vprior.32","Vprior.33","Vprior.34","Vprior.35","Vprior.36","Vprior.37","Vprior.38","Vprior.39","Vprior.40","Vprior.41","Vprior.42","Vprior.43","Vprior.44","Vprior.45","Vprior.46","Vprior.47","Vprior.48","Vprior.49","Q.1","Q.2","Q.3","Q.4","Q.5","Q.6","Q.7"
-0.012132925086556,5.01919198477724e-15,-9.81334425612795e-14,1.35195131999166e-14,-3.40841938006875e-13,9.08030161478335e-15,9.0627646446434e-15,4.78460587122198e-14,-2.60911299338902e-15,-2.09207111483997e-13,-2.77833099095417e-14,1.62401406748501e-14,5.50757710024132e-15,5.88927202619393e-14,-1.16784002681823e-14,-9.81655967260507e-15,-2.01937511829982e-14,-1.49261464047084e-14,5.0046225098647e-14,-7.20712255676483e-15,1.99275028667015e-14,2.72523152251825e-15,-4.80886878059499e-15,-1.11803890467892e-13,-1.78565211543595e-14,7.55134751386985e-14,-9.54827545968009e-15,4.47289781015987e-14,-1.40752015416663e-14,5.52385425445602e-15,-4.84335179628018e-14,1.55143207363863e-14,-7.49019715608895e-14,1.91613463987263e-14,1.75150231986523e-14,1.26077345364819e-14,1.98769220030886e-14,-1.78958241607384e-13,1.44926840702145e-14,1.79314709917522e-13,2.39165751768101e-14,3.66674078829175e-14,-4.276321897772e-14,0.371928655373852,4.62409881811743,6.29129756046836,-11.7734692231625,0.846844455069741,-2.66426538064048,2.02338367607818,3.31524504402702e-05,-1.864064841185e-05,0.00279337477853035,0.000118222377491747,-0.000400476596648512,3.4312428016699e-05,-7.66580704464446e-05
-0.681813785599271,-2.99977057083289e-15,1.14374655579841e-14,-1.36002320516582e-14,1.98979721588444e-13,-1.99753408258729e-15,2.5951463200613e-14,-3.35530214723434e-14,2.1454636010891e-14,-2.35063819808718e-13,1.98450248069379e-14,1.252732726581e-13,7.38474155415579e-15,4.61762535353865e-14,-3.93152849685607e-14,-5.77760326289211e-16,-1.79862062608038e-13,-3.40594658596385e-15,-2.50566630161445e-13,-8.71046500715549e-15,8.48835213137491e-14,-2.19704761111536e-15,3.0781502563873e-14,4.17969847778645e-14,6.44889754119506e-14,-3.64806058625322e-13,1.02904948559752e-14,7.69105916106905e-17,6.04420078440318e-14,2.13032148955257e-14,3.16104013827596e-15,4.27069438027703e-15,-2.66757102518334e-15,7.74322936024645e-14,1.24356159592921e-14,-5.99423532728419e-15,8.37138416584244e-15,-9.14871858351545e-14,1.07303590654844e-14,-3.51374040540725e-13,7.95498497125789e-14,-7.25399185435172e-15,3.98073026906982e-14,-2.23165310695161,3.92702498614422,-11.7734692231626,249.442957409096,-9.85891968260467,4.03864879426607,-32.1230499190266,1.51528146726344e-05,-2.04218602155212e-08,0.000118222377491747,7.73180803887249e-05,0.000112442997415151,-5.55660879739272e-06,3.47435979019546e-05
-0.0744994320303976,1.84055516053855e-15,-7.23354210731275e-14,1.76394272452529e-15,-9.32491930893953e-14,1.68376597386999e-16,9.99298300358165e-15,9.95330120406868e-15,7.39114623496778e-16,1.94115926638747e-13,8.0143819073105e-15,-2.04675923291039e-14,-1.52036966551505e-14,-3.32519047006658e-14,1.80513103566242e-14,4.11653668674757e-15,2.92087296168893e-14,8.60071844219066e-15,-3.53823060124858e-14,-5.2438367690921e-15,1.28521838246063e-14,1.71365795716101e-14,-1.40472519955057e-14,1.05345395323426e-13,-2.21878228595949e-14,1.82256011498072e-14,1.36227650338793e-14,-3.04817788966959e-14,3.12522207955189e-15,-1.56688400997493e-14,-8.45625726420401e-15,-1.12784945203225e-14,-2.17972824373956e-14,-6.90082204932919e-14,1.17146096296582e-14,-9.57015707356474e-15,-2.70867094843242e-14,1.36132258282366e-13,-3.07613549323105e-14,-8.4280354234207e-15,-5.8800890826089e-14,-2.40390604820269e-14,-3.33943035916539e-15,0.154402563572292,6.5106654294324,0.846844455069778,-9.85891968260476,8.17321219759002,0.87339726418684,0.0665987528777378,0.000118819941260243,-5.90433888713852e-05,-0.000400476596648512,0.000112442997415151,0.00247910189316314,-7.05581443278566e-05,-2.74833240783497e-05
-0.0280949929023845,2.33517225738458e-14,4.20661586347879e-13,1.31196431756714e-13,-2.30165886350164e-12,1.08122874802746e-13,-2.29959185916485e-13,3.89235735656634e-13,-9.14004624065545e-14,7.05479256280481e-12,3.3277683857248e-13,-6.63366071939502e-13,-3.77055537718027e-13,-2.09089191874301e-12,5.00990336430292e-13,-2.08275756473018e-14,1.05054914703439e-12,1.39741908907076e-13,-1.33387970689057e-12,2.50340396184502e-14,-1.88715057002195e-13,-1.67665017713505e-14,-4.01611473506926e-13,5.2223923665627e-12,-5.90468967119545e-13,3.13480829022914e-13,4.97824294033067e-13,-1.44971587642216e-12,3.24625136477854e-13,-3.05422190967599e-13,1.51742272274801e-14,-2.55601205085107e-13,-3.60572958955376e-13,-1.68346381027147e-12,9.61142753498636e-14,-1.23841859610315e-13,-7.45917228727446e-13,5.39801273664271e-12,-7.02757189703188e-13,-7.03336328522659e-13,-1.81410547668765e-12,-1.11696713628835e-12,3.42923085676301e-13,-0.902139778749778,-21.0799485600216,-2.66426538063973,4.03864879426613,0.873397264187003,77.786115424414,-1.68033786578349,8.48639802900189e-05,4.47416889775621e-05,3.4312428016699e-05,-5.55660879739272e-06,-7.05581443278566e-05,0.000265131504632435,-4.532212360159e-05
0.390313498435309,1.08133987875014e-14,-1.70464174460011e-13,3.1522744484147e-14,-7.44317801837369e-13,2.05141893055982e-14,-2.52688495128162e-14,1.10378720052928e-13,4.45721209405361e-15,4.38372084739604e-13,5.31663133115055e-14,-2.31394988077244e-13,1.01750021253754e-14,-2.20969261234866e-13,8.66573489127689e-14,-6.82056001304401e-15,-6.98285099634235e-15,3.59446859145188e-14,-4.77551957939019e-14,-3.17220615010314e-14,3.27042683070523e-14,-1.22988540196284e-14,-4.86956488519419e-16,2.12707231775372e-13,-2.02208982183808e-14,1.42354159601669e-13,5.72118578640729e-15,-2.07794207747236e-13,2.93488513656778e-14,-1.16237838484411e-14,-1.3359890031589e-13,-8.02730583014059e-15,-5.76711360687331e-14,-9.06647325134801e-14,8.45629403072788e-15,2.4042923481662e-14,-2.64299033022434e-14,1.52899150165328e-13,-2.30097779141381e-14,7.01200775503515e-14,-7.69721086490342e-14,-9.22160166051688e-14,-5.42633022933628e-16,4.55018217115357,6.897487416463,2.02338367607823,-32.1230499190266,0.0665987528777283,-1.68033786578381,50.3974820093106,-0.000190317734260336,-2.11056550244181e-05,-7.66580704464446e-05,3.47435979019546e-05,-2.74833240783497e-05,-4.532212360159e-05,0.000380495798869595
