"All","Positive","Negative","Date","Net"
13.0754235168063,16.9886252667415,26.3954073736728,2019-07-05,9.4067821069313
12.9090650608686,17.3599705243514,26.3374019977211,2019-07-12,8.97743147336966
12.6816001233092,16.925046713924,25.5203977270479,2019-07-19,8.59535101312385
12.4428078688738,16.6715254700787,26.0519127176585,2019-07-26,9.38038724757979
12.6360570575201,16.7049062398496,25.3882589123915,2019-08-02,8.68335267254193
12.3738137770475,17.0550326416623,23.8911743374249,2019-08-09,6.83614169576254
10.6569439535605,15.5227314916123,24.0921620381581,2019-08-16,8.56943054654583
10.6764308534725,15.7367285901836,23.8404762718644,2019-08-23,8.10374768168077
10.6897565421893,14.8791562129301,24.4108308081078,2019-08-30,9.5316745951777
10.9541347514868,14.3823574309765,24.5103183337854,2019-09-06,10.1279609028088
10.0649321623678,14.1814118417986,23.8959885669461,2019-09-13,9.71457672514748
9.61312902730598,14.0121208628085,23.6877043697439,2019-09-20,9.67558350693538
9.35532250140515,13.0768034504624,24.1773954331808,2019-09-27,11.1005919827184
9.58262336114855,12.628191469701,24.3774668610148,2019-10-04,11.7492753913138
9.67627099677246,13.1318675378209,24.1793468536726,2019-10-11,11.0474793158518
9.88309086245595,13.8760088048129,24.1710291306117,2019-10-18,10.2950203257988
9.71301085551833,13.6453952845982,24.7190213100845,2019-10-25,11.0736260254864
9.8060792048822,13.5530314933026,24.6896609783899,2019-11-01,11.1366294850873
10.2174383351759,12.3254272711326,24.9999987354147,2019-11-08,12.6745714642821
10.2743718966699,11.9504383794618,25.427390256431,2019-11-15,13.4769518769693
10.4690476089813,12.0426463639499,25.7699574762243,2019-11-22,13.7273111122744
10.3092406332273,12.3722641469101,25.9898347235364,2019-11-29,13.6175705766263
10.4314853001667,12.2462702809127,26.0674982974567,2019-12-06,13.821228016544
10.0315619114491,12.4639075578167,26.4039318127351,2019-12-13,13.9400242549184
11.1669618916596,13.943899523072,26.9310569118914,2019-12-20,12.9871573888194
10.6011196792001,10.6957127187845,24.524171864095,2019-12-27,13.8284591453105
10.5965038655824,10.7902196504469,23.3544693534894,2020-01-03,12.5642497030426
10.6819995977344,10.6546716619948,24.2000292226613,2020-01-10,13.5453575606665
10.2715189970538,10.1892725736112,24.9970107466677,2020-01-17,14.8077381730565
10.2458164378442,10.2938503718938,25.1913790906233,2020-01-24,14.8975287187295
10.8813944130435,10.3376541153175,23.9027501728369,2020-01-31,13.5650960575194
9.25493740187516,10.0831944454431,19.3294011949798,2020-02-07,9.24620674953668
8.92110564813066,10.0011237900742,18.8055944486249,2020-02-14,8.80447065855068
8.63344067720874,10.0367029800781,18.9271148670267,2020-02-21,8.89041188694859
9.11454511442984,10.2521722321635,18.944791564794,2020-02-28,8.69261933263051
10.0853526560456,10.4706181753312,19.8026596146003,2020-03-06,9.33204143926908
12.0230216026183,10.705498821995,22.2008191045695,2020-03-13,11.4953202825745
24.5162583532062,11.0148300801029,44.6817070414522,2020-03-20,33.6668769613493
21.0234656019085,10.6966054051586,35.9670006727591,2020-03-27,25.2703952676004
21.1205054049035,11.0563359259396,34.7179518267929,2020-04-03,23.6616159008532
20.7884660351763,11.073737115634,34.6987162139906,2020-04-10,23.6249790983566
20.782441711675,11.226588093998,34.7385323087991,2020-04-17,23.511944214801
20.7019118781442,11.2224166584767,34.610193270363,2020-04-24,23.3877766118863
20.6287684511116,11.3438495884508,34.4438430839467,2020-05-01,23.0999934954959
20.556430117182,11.2375001799463,34.3040604968193,2020-05-08,23.066560316873
20.9573115766761,11.4259499689047,34.0499996731074,2020-05-15,22.6240497042027
20.6894071025415,10.9663033203363,33.6920091560926,2020-05-22,22.7257058357564
20.7037422596291,10.8020474404551,33.625556569243,2020-05-29,22.8235091287879
19.9445086373157,10.8590841174405,33.4166307479417,2020-06-05,22.5575466305012
18.3336101058685,9.679084682004,33.3639124038546,2020-06-12,23.6848277218506
18.1094150309537,9.15909508822024,33.3651415628979,2020-06-19,24.2060464746777
18.1265020462133,9.15089092546563,33.3879983384352,2020-06-26,24.2371074129695
18.0196843585916,9.19924579818021,33.4211941070151,2020-07-03,24.2219483088349
18.0680061081158,9.30554371436514,33.0259240638146,2020-07-10,23.7203803494495
17.9814606682588,9.47355414556063,32.7223543787512,2020-07-17,23.2488002331905
17.9678359376304,9.64084732552104,32.6466733752325,2020-07-24,23.0058260497114
17.8681177948704,9.72439192677607,32.6130737257703,2020-07-31,22.8886817989943
17.8204677594921,9.89404695042786,32.5150534384909,2020-08-07,22.621006488063
17.7891852245363,10.0642870024759,32.4352755739703,2020-08-14,22.3709885714945
17.8170864562879,9.99061524001675,32.4440973717773,2020-08-21,22.4534821317606
17.9657189235824,10.3508005417535,32.4954691444396,2020-08-28,22.1446686026861
17.9523739011583,10.4611636446738,32.2701037811015,2020-09-04,21.8089401364277
17.9511372531481,10.5766404811616,32.3115824000524,2020-09-11,21.7349419188908
17.9144121177872,10.483644716867,32.3621890673854,2020-09-18,21.8785443505184
17.9021311053968,10.4590662582971,32.2049031141604,2020-09-25,21.7458368558632
17.8920070597477,10.5596970247203,32.1872500166352,2020-10-02,21.6275529919149
17.9240841010176,10.7734756467598,32.1349735496951,2020-10-09,21.3614979029352
17.8957525348215,10.9384105144849,32.0636099552286,2020-10-16,21.1251994407437
17.8685794858842,10.9802997894211,32.0342161926235,2020-10-23,21.0539164032024
17.8158216747331,10.9982679500681,31.8849081151091,2020-10-30,20.886640165041
17.5826770405988,10.900182844489,31.9027876363903,2020-11-06,21.0026047919013
17.4455101140115,10.7950226888969,31.942973206827,2020-11-13,21.1479505179301
17.4277798328129,10.932213065819,32.0144553430099,2020-11-20,21.082242277191
17.3121772425271,11.0569133506519,32.0031091963289,2020-11-27,20.946195845677
17.2300670840341,11.2061530586606,31.9128327729673,2020-12-04,20.7066797143067
17.2553942083653,10.7503394483189,31.958738159338,2020-12-11,21.208398711019
17.6198604589113,11.9174249705106,31.9042290744543,2020-12-18,19.9868041039437
17.4806644519021,11.8670423373061,31.9912214814746,2020-12-25,20.1241791441685
17.4711768006252,11.9408233744187,32.0746449573966,2021-01-01,20.1338215829779
17.4538019766676,11.9831084730533,32.1670978846073,2021-01-08,20.183989411554
