"All.EUA","All.NZU","All.HBEA","All.CCA","All.KAU","All.ACCU","All.RGGI","Positive.EUA","Positive.NZU","Positive.HBEA","Positive.CCA","Positive.KAU","Positive.ACCU","Positive.RGGI","Negative.EUA","Negative.NZU","Negative.HBEA","Negative.CCA","Negative.KAU","Negative.ACCU","Negative.RGGI"
8.95206338284922,3.80557703918656,0.720716403193883,15.2407213384025,1.50058446986107,7.45893047507909,10.6507263209119,1.07564712147273,1.66820515482929,0.598377475729576,10.9924204786266,2.04878405798803,4.3606335885294,9.12828870452511,21.6838230597784,9.30056705591314,0.720152371433948,22.2088625692646,1.21764947321108,15.9311631577227,10.6047834837309
61.0988877919437,3.81638340114532,11.2806700645016,15.2482031551112,2.30794997434748,13.6896633231271,16.3771959422889,66.1820482161544,10.6800955318296,12.0953063312916,15.6994679739451,8.08124949127362,8.53921058301686,33.4781178801567,27.4129036537316,17.5652576538129,2.63401686860835,27.3123994676767,3.53089023166463,19.1749023049631,13.7150366013786
61.5739902585905,10.4890336116826,17.0339503693748,31.8183959932149,3.68953520883454,13.7759773713143,30.7544793895906,76.1287715446422,27.4480478170543,11.5977964805947,31.3866778008853,13.0737089634008,19.1068239567621,50.7540436789884,40.7152542878167,30.845243693049,40.4728635200137,42.3278710163271,13.09498019018,34.5179584370466,36.5311225395018
64.4556990337591,9.42549370122385,17.4223179017872,35.1894567172304,11.6188739404411,13.5594139152845,37.4225894471798,79.4790505786915,57.497875286871,47.9083725723294,54.6012453118465,15.4464625716886,43.6781601948607,64.1973205202771,40.6066138084276,29.8883250579566,51.6196423184257,39.9944973813715,7.4401728156827,36.2902032913687,47.1768837662729
69.7952537296554,46.6122145520253,57.2818483264435,66.6365555447409,14.4750766701893,22.8082079089205,91.9533111064817,78.2683100824421,37.1234855651703,19.9366575726087,59.5485386363538,17.0758489010863,48.174752423672,62.8388193671073,46.4287710033503,51.2927500399413,70.650165006721,47.9857567452205,30.5976555251019,48.9865039425488,74.1996756732194
87.2196810784475,22.6779053625745,33.7520155005123,67.5212728808037,12.6548635239116,18.8857733483654,93.2901732345489,77.9966950825313,47.259839490856,23.3772840012707,64.9918397597216,35.1239243499798,44.6207733692802,55.4612589004332,47.6297382683849,62.371226298923,70.1266697560702,48.8667724853394,46.2263932891312,48.3794834179352,85.6695645371346
80.9550290165321,49.1927229793081,37.8670809265624,59.566406321573,11.2093982323056,20.3500089191187,94.4536222828427,77.7680888917954,43.637562481903,23.951969241987,59.0024401248197,28.6859797783782,40.2928684833486,50.2352475047555,49.4008800615901,54.1272358867472,73.7509685345602,46.8316256345519,53.675142656221,49.6381786166949,82.0319981427281
68.6134017211546,62.250134040336,34.1761834142845,63.7401861533669,9.63184531987664,25.6873269043374,85.897492904677,77.9396373459651,55.8529297924695,35.3610406750203,66.46066889291,30.0156301539909,52.3035158020924,64.0277521709201,55.3089386853966,62.74980407073,83.8442378537314,74.6094457870989,41.2026135093462,48.3874522256568,75.3720225706478
78.8888065840859,48.8503005999136,33.5004363516323,63.9881896233484,22.9641999669203,20.4767981920946,90.9920269926547,83.9476720149606,52.8918815378983,31.4103509901256,63.7855758634561,22.8583928254629,51.3943119221055,56.5610140569366,50.257382651175,65.9101445905548,77.8798486100506,49.7177157415469,70.2182455224228,58.0732751825697,91.2475747869884
77.1348220185604,41.1336315328333,31.1821085255404,40.3939044149373,12.6404088191443,19.5775757669374,89.6283627553086,84.9832611382897,55.9029905126149,30.0931905657709,63.8943114078478,32.944946947795,42.4205591004522,59.7308012512874,48.8646742293192,64.5132489442438,77.5108897257386,51.2606308465173,68.7277022586918,55.5337491991479,91.8350021943316
80.2197732730262,52.2575695432481,23.3285481407907,51.5764764588238,13.6877996839997,23.3689435820794,91.4376429915145,94.0747904786944,60.5145426066945,34.109447950625,69.7454055339454,23.634099552153,55.8796382815624,90.7451139766753,47.856164467769,70.0197761357924,82.3669867711483,52.5676307849714,71.3642448043012,60.1448031521701,92.6250975474924
73.0704967319844,49.3409365628744,16.490446093427,41.1343309811961,5.94910809589002,19.0371582469414,83.0435805447574,88.9276207881294,55.9110136644709,31.2388022544545,61.9695646202168,23.7611378898048,45.1458167463855,77.1111916700181,54.0384227707738,60.2585721134801,60.8623368869123,47.9966844579245,60.4161258051412,45.7207718423296,85.7525953011952
71.2761797398914,34.7967839492372,16.1331593714492,37.5137157046473,5.92851351342081,15.5865166978265,76.0720954480285,82.1385328475166,54.4793691997866,29.7965266285636,59.5319164573198,36.5269635305654,34.0728050699584,68.9641405722597,51.2353376489007,62.9615444265215,68.5754766319439,41.9672007369578,66.9101378859585,50.6478077248603,86.4355355731174
74.5859992037062,36.3881742160966,17.4435502121093,35.5544840153363,5.88895598430766,15.6249012547604,77.6536877484802,83.575771626056,57.7431051677847,37.505948037042,65.3546059282582,39.4059424265056,35.7617137508427,71.186878548405,52.3130942904723,64.7200754321007,71.6672121665082,45.6121286664504,70.0893874886379,50.0192671497584,86.8406998142089
84.4574900364901,40.4097614027248,15.876136758988,44.6511454657544,7.02590745633215,15.7805318989067,86.7989229870666,84.368768611257,66.2508313535463,41.7447250241597,67.1733833104446,61.2989682121599,45.563268858986,72.8677493204527,46.9043585530453,60.1117407837257,65.2323890574551,43.9867539350717,60.8591199018264,44.2943185064318,93.6285693535609
