"All.EUA","All.NZU","All.HBEA","All.CCA","All.KAU","All.ACCU","All.RGGI","Positive.EUA","Positive.NZU","Positive.HBEA","Positive.CCA","Positive.KAU","Positive.ACCU","Positive.RGGI","Negative.EUA","Negative.NZU","Negative.HBEA","Negative.CCA","Negative.KAU","Negative.ACCU","Negative.RGGI"
8.6192498014862,3.65819767994414,0.651109539473287,16.2712165147793,1.39043661998071,7.45014992697951,10.2889593468412,1.01394962098724,1.6231569622922,0.585591273274975,11.459159090131,1.94329014522926,4.16542517528466,9.08178431450149,22.471554358278,8.67870701022324,0.615159098367113,23.6324589282777,1.07055913571933,15.8485100465504,9.35005259363897
8.50654063180323,39.2925395788425,2.72634547974553,34.1384319509623,11.6268427111754,6.72226718618474,20.8059861137516,12.5611106342267,13.0801120902763,25.5798482445829,19.8833184847953,64.2195488557135,7.1781600214766,12.2533976765965,31.8456538357206,12.2081616455836,3.49250595231534,21.575866318156,12.2292963387608,21.3207001348757,8.67322255642389
28.8801181792034,51.9723485594797,4.74001236294646,38.2893125399406,15.859911642783,6.64513378868091,22.7485251295682,8.28016175635652,14.9153959759835,51.0000252672777,22.4412185025426,111.342728843915,8.45689390683554,13.0594459894172,66.1122512423189,23.0740719488648,20.081150618883,57.8834995521042,22.9416400748067,29.9528659784174,18.4598142685402
30.0273561665177,80.7913946408419,19.607197648589,27.4533385518923,6.12425331868557,8.19556416627204,16.8947401641074,2.98760592452148,47.544388400535,62.725407015795,31.1374619749217,184.370429207033,16.454334146379,17.5888603673796,82.1626548141571,36.1618580441095,16.6567165701633,50.4481361169323,22.897053832654,29.2511756551621,15.4387434063276
20.0257471869911,46.8316724367964,49.2883185452948,18.098392372073,218.883170937584,4.31376631628797,12.1214000434295,9.53422585040591,82.6678478294147,115.120961791775,16.9481565229213,76.6568226956945,9.92544890239222,12.1129489558365,117.720263836377,39.3823375599341,30.531144170805,72.4457038277883,34.4493375516293,55.7880481746606,19.8244428149088
19.585215508953,41.3737627070632,23.7170315134937,23.6672091884398,208.733154754618,5.21231120827997,13.7130000483165,8.33133101884705,71.597192677648,135.993862663355,7.27486449325289,29.6902025421906,50.8588923558692,45.0852692029095,133.761097806195,35.8039068050449,54.3752804639509,77.7707254864604,25.1656761254034,63.2928130603656,19.1003483054986
23.7112787271656,58.7474724014605,47.4693050549351,28.5731011390989,173.210840779248,7.04851841820981,14.8337521581242,8.75610822148353,71.2837481886595,107.49225560449,13.30856290177,45.0895202021432,39.1572251324551,38.4867362559858,129.665681280782,36.3651704439673,51.0476744871962,85.0765941067855,18.16522837478,64.5622969040702,24.5733839355117
23.3623014218728,42.7369489364008,39.7987316991704,25.9947713982755,139.796261391644,57.5742120621572,20.7333435485125,6.46531157728785,61.616779332202,104.176014347242,9.33247966373615,116.498011136329,48.2489025349838,35.6236762415872,46.6290118585411,43.5402300713993,37.9193813289194,87.7165097347275,138.642486595065,30.4395361621607,56.5873589517945
23.7768227297262,22.0615372290999,72.4639234778491,27.8157260780761,129.960284970748,64.0245721824079,19.557891642743,7.32432449272905,40.4890091994116,107.929847843957,13.8099912657755,138.948795714593,27.4996615295157,26.8475691649636,150.962540610172,26.3486079474367,33.1548484994511,110.543661157189,68.1159058230072,64.6632133146601,9.51540973339118
16.6708734711544,21.2578279325842,54.0373095423799,27.7158587712767,124.605509212234,48.825466272459,18.5779686311736,10.5953001108959,35.6735927713298,127.518634820918,7.39078054387157,77.3080137894626,75.5404478459692,35.9432910416109,152.743171478379,29.6936041022348,31.1317721006061,95.2598272430916,67.5791699977519,75.9407197060098,5.89763276991671
14.2480503265795,11.2266531368877,79.9062106639783,31.2828090995568,139.754134371321,41.5226427631,17.9362533120591,13.9328505344347,20.1665236669217,127.633712747295,6.59314869903338,172.105924914302,70.8634325229727,17.4074452953909,181.882502866383,29.4984137029474,31.1265622595415,102.030454373101,44.6256192917558,83.3079016361703,4.47324953374601
14.7408774804701,11.6489157780248,45.3382844041231,30.6648741018854,77.7951116203034,89.4623107192637,18.4156831530002,11.7298726890074,25.0689092053467,110.681492500867,10.655846480263,139.611338165721,67.4902454000546,18.8274431922203,90.0833058224979,45.0266930307827,39.6284131247893,68.0422203240857,43.2515999082538,123.482343677268,5.53093329007877
14.1986624100382,13.8334447257363,26.6526570619745,23.0368805601302,47.9078638656406,112.119122507802,19.5583332931795,17.1368496717419,30.6791641108425,66.1408053410676,14.5297045104109,87.8985599947789,129.196037133378,19.9291335437506,128.975479915493,47.4508030823179,22.8782563566657,72.3596179432024,27.7271732860008,124.900661522798,4.44104852178176
14.295528361259,14.3276635355693,23.3899385463491,21.1300711269158,57.2535049728239,113.842187813185,18.9008582786944,16.263043747241,29.6288426217205,62.166234153532,15.6839274759793,103.733782078869,141.520813000755,21.5373224067973,134.596069184448,48.5810062370964,21.2737150902403,69.2473253663117,27.6612351445616,136.001317787751,3.90119619772767
11.7085954982986,12.158207158613,19.4663623923685,18.03506830969,50.5453947436163,166.336008660829,16.7502592428479,6.42028376946794,20.6873715276951,69.134405731734,27.9524823036186,60.4762005700265,141.558951389029,113.037999399436,119.361172677846,39.6020803549527,17.9091543565192,50.7034413984213,65.1231947889947,118.720768779802,3.59743773458014
11.5137407380363,11.4833375525539,21.1131096597787,17.0184290240322,50.1124499587378,155.061533863271,12.7027029663612,9.43277424900145,35.2342985244499,42.4716131517201,17.3306606075317,88.4943793401617,108.074427765475,17.9895984465721,28.52426289675,73.0506371565398,49.9166462728636,54.5224550600444,66.8438760828883,150.330588976081,3.75908374996171
