"","EUA","NZU","HBEA","CCA","KAU","ACCU","RGGI","EUA","NZU","HBEA","CCA","KAU","ACCU","RGGI","EUA","NZU","HBEA","CCA","KAU","ACCU","RGGI"
"2018-01-12",-0.332813581363023,-0.147379359242414,-0.069606863720596,1.03049517637674,-0.110147849880355,-0.00878054809958062,-0.361766974070775,-0.0616975004854894,-0.0450481925370931,-0.0127862024546014,0.466738611504313,-0.105493912758773,-0.195208413244736,-0.0465043900236193,0.787731298499608,-0.621860045689898,-0.104993273066836,1.4235963590131,-0.147090337491748,-0.082653111172295,-1.25473089009193
"2018-01-19",-52.5923471601405,35.4761561776972,-8.55432458475604,18.8902287958511,9.31889273682789,-6.96739613694237,4.4287901714627,-53.6209375819277,2.40001655844677,13.4845419132912,4.18385051085027,56.1382993644399,-1.36105056154026,-21.2247202035602,4.432750181989,-5.35709600822927,0.858489083706996,-5.73653314952069,8.69840610709615,2.14579782991256,-5.04181404495475
"2018-01-26",-32.6938720793871,41.4833149477971,-12.2939380064284,6.47091654672568,12.1703764339485,-7.13084358263335,-8.00595426002239,-67.8486097882857,-12.5326518410708,39.402228786683,-8.94545929834266,98.269019880514,-10.6499300499266,-37.6945976895712,25.3969969545022,-7.77117174418422,-20.3917129011307,15.555628535777,9.84665988462664,-4.56509245862928,-18.0713082709617
"2018-02-02",-34.4283428672414,71.365900939618,2.18487974680183,-7.73611816533803,-5.49462062175551,-5.36384974901249,-20.5278492830724,-76.4914446541701,-9.95348688633599,14.8170344434657,-23.4637833369248,168.923966635344,-27.2238260484817,-46.6084601528975,41.5560410057294,6.27353298615289,-34.9629257482624,10.4536387355608,15.4568810169713,-7.03902763620663,-31.7381403599453
"2018-02-09",-49.7695065426643,0.219457884771145,-7.99352978114864,-48.5381631726679,204.408094267394,-18.4944415926325,-79.8319110630523,-68.7340842320362,45.5443622642444,95.1843042191667,-42.6003821134325,59.5809737946082,-38.2493035212798,-50.7258704112708,71.2914928330267,-11.9104124800072,-40.119020835916,24.4599470825679,3.85168202652739,6.80154423211179,-54.3752328583105
"2018-02-16",-67.6344655694945,18.6958573444887,-10.0349839870185,-43.8540636923638,196.078291230706,-13.6734621400855,-79.5771731862324,-69.6653640636843,24.3373531867921,112.616578662085,-57.7169752664687,-5.43372180778917,6.23811898658899,-10.3759896975237,86.1313595378098,-26.5673194938781,-15.7513892921193,28.9039530011211,-21.0607171637279,14.9133296424304,-66.569216231636
"2018-02-23",-57.2437502893665,9.55474942215243,9.60222412837273,-30.9933051824741,162.001442546943,-13.3014905009089,-79.6198701247185,-69.0119806703119,27.6461857067565,83.5402863625034,-45.6938772230497,16.403540423765,-1.13564335089355,-11.7485112487698,80.2648012191924,-17.7620654427799,-22.703294047364,38.2449684722336,-35.509914281441,14.9241182873753,-57.4586142072163
"2018-03-02",-45.2511002992817,-19.5131851039352,5.62254828488592,-37.7454147550915,130.164416071767,31.8868851578197,-65.1641493561645,-71.4743257686773,5.76384953973245,68.8149736722217,-57.1281892291738,86.4823809823384,-4.05461326710859,-28.4040759293328,-8.67992682685542,-19.2095739993307,-45.924856524812,13.1070639476285,97.4398730857189,-17.9479160634961,-18.7846636188533
"2018-03-09",-55.1119838543597,-26.7887633708138,38.9634871262167,-36.1724635452723,106.996085003827,43.5477739903133,-71.4341353499117,-76.6233475222316,-12.4028723384867,76.5194968538318,-49.9755845976806,116.09040288913,-23.8946503925899,-29.713444891973,100.705157958997,-39.5615366431181,-44.7250001105995,60.8259454156426,-2.10233969941562,6.58993813209044,-81.7321650535972
"2018-03-16",-60.463948547406,-19.8758036002491,22.8552010168394,-12.6780456436605,111.96510039309,29.2478905055217,-71.0503941241351,-74.3879610273938,-20.2293977412851,97.4254442551471,-56.5035308639762,44.3630668416676,33.119888745517,-23.7875102096765,103.87849724906,-34.819644842009,-46.3791176251325,43.9991963965744,-1.14853226093987,20.4069705068619,-85.9373694244149
