"Date","Market","All_TCI","Specification","NET_value"
2019-07-05,"ACCU",13.0754235168063,"NET_all",-9.80211750922741
2019-07-05,"CCA",13.0754235168063,"NET_all",-3.77891090564416
2019-07-05,"EUA",13.0754235168063,"NET_all",-12.6171607975461
2019-07-05,"HBEA",13.0754235168063,"NET_all",-3.1161872669602
2019-07-05,"KAU",13.0754235168063,"NET_all",-0.0283848119288059
2019-07-05,"NZU",13.0754235168063,"NET_all",34.1953514180839
2019-07-05,"RGGI",13.0754235168063,"NET_all",-4.85259012677716
2019-07-12,"ACCU",12.9090650608686,"NET_all",-9.51782182165918
2019-07-12,"CCA",12.9090650608686,"NET_all",-5.39290191273919
2019-07-12,"EUA",12.9090650608686,"NET_all",-12.4985723470359
2019-07-12,"HBEA",12.9090650608686,"NET_all",-3.00368744912196
2019-07-12,"KAU",12.9090650608686,"NET_all",0.00529326399213925
2019-07-12,"NZU",12.9090650608686,"NET_all",35.4121412251789
2019-07-12,"RGGI",12.9090650608686,"NET_all",-5.00445095861475
2019-07-19,"ACCU",12.6816001233092,"NET_all",-9.00943400151359
2019-07-19,"CCA",12.6816001233092,"NET_all",-7.84426340926526
2019-07-19,"EUA",12.6816001233092,"NET_all",-12.6294461693069
2019-07-19,"HBEA",12.6816001233092,"NET_all",-2.92624234360638
2019-07-19,"KAU",12.6816001233092,"NET_all",0.554080420458696
2019-07-19,"NZU",12.6816001233092,"NET_all",36.7355956490394
2019-07-19,"RGGI",12.6816001233092,"NET_all",-4.88029014580593
2019-07-26,"ACCU",12.4428078688738,"NET_all",-8.62682550680847
2019-07-26,"CCA",12.4428078688738,"NET_all",-6.97042115243516
2019-07-26,"EUA",12.4428078688738,"NET_all",-12.6854693065518
2019-07-26,"HBEA",12.4428078688738,"NET_all",-2.51000643596079
2019-07-26,"KAU",12.4428078688738,"NET_all",0.444204013698963
2019-07-26,"NZU",12.4428078688738,"NET_all",35.3219867631171
2019-07-26,"RGGI",12.4428078688738,"NET_all",-4.97346837505987
2019-08-02,"ACCU",12.6360570575201,"NET_all",-8.65434113122532
2019-08-02,"CCA",12.6360570575201,"NET_all",-7.13907671447569
2019-08-02,"EUA",12.6360570575201,"NET_all",-12.5413574700516
2019-08-02,"HBEA",12.6360570575201,"NET_all",-2.45777530672553
2019-08-02,"KAU",12.6360570575201,"NET_all",0.594153001938222
2019-08-02,"NZU",12.6360570575201,"NET_all",36.7762037840805
2019-08-02,"RGGI",12.6360570575201,"NET_all",-6.57780616354053
2019-08-09,"ACCU",12.3738137770475,"NET_all",-8.32687754094954
2019-08-09,"CCA",12.3738137770475,"NET_all",-6.05834287832624
2019-08-09,"EUA",12.3738137770475,"NET_all",-11.9771034422011
2019-08-09,"HBEA",12.3738137770475,"NET_all",-3.25408549479303
2019-08-09,"KAU",12.3738137770475,"NET_all",0.633786484137651
2019-08-09,"NZU",12.3738137770475,"NET_all",36.0343510059171
2019-08-09,"RGGI",12.3738137770475,"NET_all",-7.05172813378489
2019-08-16,"ACCU",10.6569439535605,"NET_all",-8.29152673732234
2019-08-16,"CCA",10.6569439535605,"NET_all",-4.29696528799496
2019-08-16,"EUA",10.6569439535605,"NET_all",-8.36450455007971
2019-08-16,"HBEA",10.6569439535605,"NET_all",-0.297130282463517
2019-08-16,"KAU",10.6569439535605,"NET_all",1.09273139409853
2019-08-16,"NZU",10.6569439535605,"NET_all",29.4977246648683
2019-08-16,"RGGI",10.6569439535605,"NET_all",-9.34032920110634
2019-08-23,"ACCU",10.6764308534725,"NET_all",-7.80210263967224
2019-08-23,"CCA",10.6764308534725,"NET_all",-4.24237477239632
2019-08-23,"EUA",10.6764308534725,"NET_all",-8.99029909639901
2019-08-23,"HBEA",10.6764308534725,"NET_all",-0.183678787255589
2019-08-23,"KAU",10.6764308534725,"NET_all",0.877001112009265
2019-08-23,"NZU",10.6764308534725,"NET_all",29.9046312304568
2019-08-23,"RGGI",10.6764308534725,"NET_all",-9.56317704674287
2019-08-30,"ACCU",10.6897565421893,"NET_all",-7.53195395131944
2019-08-30,"CCA",10.6897565421893,"NET_all",-3.80110353854573
2019-08-30,"EUA",10.6897565421893,"NET_all",-10.0896974181352
2019-08-30,"HBEA",10.6897565421893,"NET_all",-0.55182630181488
2019-08-30,"KAU",10.6897565421893,"NET_all",1.249055395907
2019-08-30,"NZU",10.6897565421893,"NET_all",29.9303079415319
2019-08-30,"RGGI",10.6897565421893,"NET_all",-9.20478212762358
2019-09-06,"ACCU",10.9541347514868,"NET_all",-7.23203900492543
2019-09-06,"CCA",10.9541347514868,"NET_all",-2.85211400807438
2019-09-06,"EUA",10.9541347514868,"NET_all",-11.1739234674683
2019-09-06,"HBEA",10.9541347514868,"NET_all",-0.931868548555827
2019-09-06,"KAU",10.9541347514868,"NET_all",1.63680611722374
2019-09-06,"NZU",10.9541347514868,"NET_all",29.6593185043202
2019-09-06,"RGGI",10.9541347514868,"NET_all",-9.10617959252006
2019-09-13,"ACCU",10.0649321623678,"NET_all",-7.77837547900385
2019-09-13,"CCA",10.0649321623678,"NET_all",-1.41186916711757
2019-09-13,"EUA",10.0649321623678,"NET_all",-8.25622891903988
2019-09-13,"HBEA",10.0649321623678,"NET_all",-1.16810175258384
2019-09-13,"KAU",10.0649321623678,"NET_all",1.76462783412831
2019-09-13,"NZU",10.0649321623678,"NET_all",24.8764581921296
2019-09-13,"RGGI",10.0649321623678,"NET_all",-8.02651070851278
2019-09-20,"ACCU",9.61312902730598,"NET_all",-8.47490446649775
