"Date","TCI - 1","Num_Variables - 1","TCI - 2","Num_Variables - 2","TCI - 3","Num_Variables - 3"
2011-12-23,15.5599220117358,2,22.9020147460357,2,22.9020147460357,2
2011-12-30,15.3416283684729,2,22.3492890702374,2,22.3492890702374,2
2012-01-06,17.6272259604153,2,23.5210545341461,2,23.5210545341461,2
2012-01-13,17.7278624262027,2,23.7425327637848,2,23.7425327637848,2
2012-01-20,17.2483088636296,2,23.2950629422555,2,23.2950629422555,2
2012-01-27,18.1510096468126,2,24.1903764015108,2,24.1903764015108,2
2012-02-03,18.9774385496177,2,25.0455926584784,2,25.0455926584784,2
2012-02-10,19.1697516757243,2,25.2034449022939,2,25.2034449022939,2
2012-02-17,18.4274111179327,2,24.090498942611,2,24.090498942611,2
2012-02-24,17.3064150283907,2,23.2935109137563,2,23.2935109137563,2
2012-03-02,17.2404716987259,2,23.2108178745063,2,23.2108178745063,2
2012-03-09,16.8607858877183,2,22.7031469564694,2,22.7031469564694,2
2012-03-16,17.4332691608027,2,23.307858240508,2,23.307858240508,2
2012-03-23,15.9655241957244,2,21.4598601491681,2,21.4598601491681,2
2012-03-30,15.876083143411,2,21.307863156099,2,21.307863156099,2
2012-04-13,15.9783002134647,2,21.3813047159733,2,21.3813047159733,2
2012-04-20,15.672735587732,2,20.9560362927943,2,20.9560362927943,2
2012-04-27,14.7321753273988,2,19.9615690474688,2,19.9615690474688,2
2012-05-04,14.6704038289609,2,20.2034931986583,2,20.2034931986583,2
2012-05-11,14.7015687931971,2,20.126729284516,2,20.126729284516,2
2012-05-18,14.5106377529473,2,19.949563251402,2,19.949563251402,2
2012-05-25,14.5561158346951,2,20.0805304561707,2,20.0805304561707,2
2012-06-01,14.5814716827653,2,20.2243846225043,2,20.2243846225043,2
2012-06-08,14.4630424903044,2,20.1289075031329,2,20.1289075031329,2
2012-06-15,14.7702865045109,2,20.6280000540245,2,20.6280000540245,2
2012-06-22,14.1028093221335,2,19.8005616351706,2,19.8005616351706,2
2012-06-29,12.6331543957574,2,18.5289560216269,2,18.5289560216269,2
2012-07-06,12.5441833934089,2,18.3558731098524,2,18.3558731098524,2
2012-07-13,12.3801579934235,2,18.1582335469858,2,18.1582335469858,2
2012-07-20,12.9974025639718,2,18.7943284370025,2,18.7943284370025,2
2012-07-27,12.9196083357758,2,18.7454880506052,2,18.7454880506052,2
2012-08-03,12.5974123383346,2,18.2788421147144,2,18.2788421147144,2
2012-08-10,12.3638719352746,2,18.0561918137135,2,18.0561918137135,2
2012-08-17,12.3154503195303,2,17.9961065681984,2,17.9961065681984,2
2012-08-24,12.2421414665457,2,17.7629117947935,2,17.7629117947935,2
2012-08-31,12.2167394398476,2,17.7846443727334,2,17.7846443727334,2
2012-09-07,12.3992379623153,2,18.0001065369965,2,18.0001065369965,2
2012-09-14,12.8884638486161,2,19.1209741598116,2,19.1209741598116,2
2012-09-21,12.6797811052514,2,19.2246351648971,2,19.2246351648971,2
2012-09-28,13.2878656992458,2,19.620667495099,2,19.620667495099,2
2012-10-05,13.3314699981678,2,19.4742468865689,2,19.4742468865689,2
2012-10-12,13.4485198211976,2,19.5580617890704,2,19.5580617890704,2
2012-10-19,12.8895239948472,2,18.8504679286432,2,18.8504679286432,2
2012-10-26,12.4888190002036,2,18.6399041879414,2,18.6399041879414,2
2012-11-02,12.6495644655816,2,18.6503867337068,2,18.6503867337068,2
2012-11-09,12.2585793843418,2,18.1205790504486,2,18.1205790504486,2
2012-11-16,11.1627925846235,2,16.5059321665744,2,16.5059321665744,2
2012-11-23,9.89141888623777,2,15.7288737165854,2,15.7288737165854,2
2012-11-30,10.5509553023416,2,16.4543730327391,2,16.4543730327391,2
2012-12-07,10.5430740857071,2,16.3355888292632,2,16.3355888292632,2
2012-12-14,10.412489682542,2,16.2400141493776,2,16.2400141493776,2
2012-12-21,10.6888950296959,2,16.5784045660109,2,16.5784045660109,2
2012-12-28,10.7896566338116,2,16.6797439049861,2,16.6797439049861,2
2013-01-04,10.3646373138156,2,16.1863332676632,2,16.1863332676632,2
2013-01-11,10.3440095772686,2,16.1265948808595,2,16.1265948808595,2
2013-01-18,9.57594309821657,2,15.0794888857186,2,15.0794888857186,2
2013-01-25,9.12199345924611,2,14.4167168244924,2,14.4167168244924,2
2013-02-01,9.13936218173902,2,14.1833862569775,2,14.1833862569775,2
2013-02-08,9.24900596485052,2,14.2788725285036,2,14.2788725285036,2
2013-02-15,4.2029246564415,2,6.20450572673006,2,6.20450572673006,2
2013-02-22,3.57839315710864,2,4.91012920879765,2,4.91012920879765,2
2013-03-01,3.9951401631602,2,5.34591993498702,2,5.34591993498702,2
2013-03-08,2.77242155039666,2,3.56620181660759,2,3.56620181660759,2
2013-03-15,2.8323195628897,2,3.66216288742161,2,3.66216288742161,2
2013-03-22,2.73213732846813,2,3.58571389498492,2,3.58571389498492,2
2013-04-05,2.67228411897829,2,3.54755049512401,2,3.54755049512401,2
2013-04-12,2.81898374594622,2,3.47036688603578,2,3.47036688603578,2
2013-04-19,3.25736436579878,2,3.81965082104366,2,3.81965082104366,2
2013-04-26,3.22698956625578,2,3.81702119451925,2,3.81702119451925,2
2013-05-03,3.23808670301478,2,3.8082620866052,2,3.8082620866052,2
2013-05-10,3.27522839996383,2,3.84471409321348,2,3.84471409321348,2
2013-05-17,3.22615529327497,2,3.78482935581274,2,3.78482935581274,2
2013-05-24,3.22343941912588,2,3.7859524340888,2,3.7859524340888,2
2013-05-31,3.14588835523821,2,3.69467122087667,2,3.69467122087667,2
