"Date","all","Positive","Negative","Net"
2018-01-12,4.83978106790686,2.16536727247554,10.9034506997479,8.73808342727234
2018-01-19,4.93695478848348,3.55217020002666,10.9944543891313,7.44228418910466
2018-01-26,5.80911069141417,4.66395982401593,11.1821473904302,6.51818756641428
2018-02-02,5.86068614964022,4.89830476431527,11.2855513977943,6.38724663347905
2018-02-09,6.14251625530384,4.76455631326952,11.522285691965,6.75772937869551
2018-02-16,6.51797524090085,4.6546555149202,12.1870499476404,7.53239443272022
2018-02-23,6.53798198714463,5.08226184251589,11.9565275969322,6.87426575441635
2018-03-02,6.65624017474182,6.27125483552823,12.0117682846542,5.74051344912596
2018-03-09,6.91875643092592,8.35799675744587,12.018374772294,3.66037801484816
2018-03-16,6.46989531703823,8.77046309756096,12.3414248595898,3.57096176202883
2018-03-23,6.68435072376374,11.5088606436754,12.5821712339629,1.07331059028752
2018-03-30,6.60837403913688,11.5214202305822,12.9682760930647,1.4468558624825
2018-04-06,6.56029817603753,11.8143329280515,13.282238824856,1.46790589680452
2018-04-13,6.60783806710976,13.3423382513901,13.8304724542998,0.48813420290975
2018-04-20,6.23681077450886,12.7577141928154,13.534669219506,0.776955026690697
2018-04-27,6.18729516422568,13.1772461311404,14.0457294142122,0.868483283071811
2018-05-04,6.4469349198452,13.187498119526,14.4503320986392,1.26283397911321
2018-05-11,5.61147975110273,14.1749817262135,14.9352545161746,0.760272789961078
2018-05-18,5.42385936389795,13.1903284744415,15.6530849337612,2.46275645931964
2018-05-25,5.86325974700794,13.7136704612289,16.3634612469336,2.64979078570475
2018-06-01,7.36285944399207,9.23038280737138,15.3353506508645,6.10496784349311
2018-06-08,7.76348184140175,9.66312593611045,15.446507333793,5.78338139768259
2018-06-15,6.57098909775352,9.29057304141453,15.2381483731403,5.94757533172581
2018-06-22,6.62242687700999,9.62411096987715,15.5099269526458,5.88581598276868
2018-06-29,6.67395452294554,9.59408715148931,15.6102493664158,6.0161622149265
2018-07-06,7.08901488765698,10.2276114063419,15.4898799632894,5.26226855694753
2018-07-13,6.66934089947667,9.53188789331224,15.7658164080629,6.23392851475066
2018-07-20,8.34113732556023,9.98636545802495,15.6293214872848,5.64295602925981
2018-07-27,8.18977693525651,9.69997428707144,15.6148457846103,5.91487149753883
2018-08-03,7.80560192285862,8.39155938447328,16.2492821848816,7.85772280040833
2018-08-10,8.57281435667327,8.70448483104744,16.7915492627823,8.08706443173488
2018-08-17,7.91893383919511,7.15258599509986,15.8884352423608,8.73584924726094
2018-08-24,8.59936079034852,8.21785066549427,15.9956930227687,7.77784235727441
2018-08-31,8.13373807146967,8.22010493215905,14.7517729613668,6.53166802920775
2018-09-07,7.94603109311698,8.80039162853972,14.7573097771517,5.95691814861196
2018-09-14,7.98717393367201,8.9924511797928,13.3663976148273,4.37394643503449
2018-09-21,7.85821330614524,9.50355606059933,13.4850189645707,3.98146290397139
2018-09-28,7.83565805723222,9.45238576458024,13.0305528902531,3.57816712567281
2018-10-05,7.80629134489246,9.68097724989654,13.1554991873373,3.47452193744079
2018-10-12,7.73215703290108,9.69623439921804,13.0215926559059,3.32535825668788
2018-10-19,7.7120294816942,9.40680299355785,13.2346152994065,3.82781230584867
2018-10-26,7.77634965234757,9.38678874170382,13.3660668303766,3.97927808867282
2018-11-02,7.16568317059283,9.37908602116341,13.412478605279,4.0333925841156
2018-11-09,7.05414692560922,9.6218761751278,13.3829961744523,3.76111999932451
2018-11-16,6.76735317276826,10.4692856003643,13.2174065119382,2.7481209115739
2018-11-23,6.432269870985,10.3897371430798,13.2403137170401,2.85057657396037
2018-11-30,5.97820302147285,10.1854303728898,13.302070558819,3.11664018592925
2018-12-07,5.48452932694717,10.0407206323046,13.3812145518002,3.34049391949562
2018-12-14,5.32958254695264,10.4344775241799,13.2620290173246,2.8275514931447
2018-12-21,5.4497468153161,11.1637519390237,13.257374067443,2.09362212841929
2018-12-28,5.14489423920468,10.007877873726,13.2870982963241,3.27922042259807
2019-01-04,5.19020528771361,10.2612184143869,13.5918356178636,3.33061720347672
2019-01-11,5.20687577822817,9.98608143682163,13.5956907974183,3.60960936059666
2019-01-18,5.17184374821989,10.2270524199861,13.8031370722784,3.57608465229237
2019-01-25,5.15654092973218,10.323382108831,14.0275724450947,3.70419033626373
2019-02-01,5.19154653446525,10.5017244170116,14.1878037144963,3.68607929748466
2019-02-08,5.16318479862166,10.5856961502425,14.16245430248,3.57675815223746
2019-02-15,5.09980281594045,10.1293594241869,14.5752370663288,4.44587764214196
2019-02-22,5.27901749357505,9.94035975309423,14.6426921090484,4.70233235595418
2019-03-01,5.47338396840091,10.8534187035623,14.6572053940604,3.80378669049811
2019-03-08,5.50429328621642,10.7076114541128,14.9429389966258,4.23532754251297
2019-03-15,5.53564139560752,10.8011506008836,15.1220675733422,4.32091697245868
