"Date","All_H5","All_H10","All_H15","All_H20"
2018-01-12,4.83978106790686,4.83978106790686,4.83978106790686,4.83978106790686
2018-01-19,4.93695478848339,4.93695478848348,4.93695478848348,4.93695478848348
2018-01-26,5.80911064600042,5.80911069141417,5.80911069141417,5.80911069141417
2018-02-02,5.86068613337762,5.86068614964022,5.86068614964022,5.86068614964022
2018-02-09,6.14251624108997,6.14251625530384,6.14251625530384,6.14251625530384
2018-02-16,6.5179752388629,6.51797524090085,6.51797524090085,6.51797524090085
2018-02-23,6.53798198628646,6.53798198714463,6.53798198714463,6.53798198714463
2018-03-02,6.65624017146395,6.65624017474182,6.65624017474182,6.65624017474182
2018-03-09,6.91875475908628,6.91875643092592,6.91875643092598,6.91875643092598
2018-03-16,6.46989475197674,6.46989531703823,6.46989531703824,6.46989531703824
2018-03-23,6.6843485903802,6.68435072376374,6.68435072376382,6.68435072376382
2018-03-30,6.60837321024727,6.60837403913688,6.60837403913689,6.60837403913689
2018-04-06,6.56029741237934,6.56029817603753,6.56029817603754,6.56029817603754
2018-04-13,6.60783730920066,6.60783806710976,6.60783806710977,6.60783806710977
2018-04-20,6.23681073343223,6.23681077450886,6.23681077450886,6.23681077450886
2018-04-27,6.18729512540833,6.18729516422568,6.18729516422568,6.18729516422568
2018-05-04,6.44693487522201,6.4469349198452,6.4469349198452,6.4469349198452
2018-05-11,5.61147958402769,5.61147975110273,5.61147975110274,5.61147975110274
2018-05-18,5.4238593593544,5.42385936389795,5.42385936389795,5.42385936389795
2018-05-25,5.86325974618506,5.86325974700794,5.86325974700794,5.86325974700794
2018-06-01,7.36285932168853,7.36285944399207,7.36285944399207,7.36285944399207
2018-06-08,7.76348172716139,7.76348184140175,7.76348184140175,7.76348184140175
2018-06-15,6.57098907389499,6.57098909775352,6.57098909775352,6.57098909775352
2018-06-22,6.62242683636239,6.62242687700999,6.62242687700999,6.62242687700999
2018-06-29,6.67395430446421,6.67395452294554,6.67395452294554,6.67395452294554
2018-07-06,7.08897719800215,7.08901488765698,7.08901488779033,7.08901488779033
2018-07-13,6.6693358050451,6.66934089947667,6.6693408994789,6.6693408994789
2018-07-20,8.34113309630796,8.34113732556023,8.34113732556063,8.34113732556063
2018-07-27,8.18975779136625,8.18977693525651,8.18977693526866,8.18977693526866
2018-08-03,7.80559208067804,7.80560192285862,7.80560192286006,7.80560192286006
2018-08-10,8.5719892645516,8.57281435667327,8.57281439901744,8.57281439901969
2018-08-17,7.91890775826467,7.91893383919511,7.91893383921186,7.91893383921186
2018-08-24,8.5993093516706,8.59936079034852,8.59936079040875,8.59936079040875
2018-08-31,8.1336847202092,8.13373807146967,8.13373807150772,8.13373807150772
2018-09-07,7.9459985585387,7.94603109311698,7.94603109313391,7.94603109313391
2018-09-14,7.98713680228547,7.98717393367201,7.987173933697,7.987173933697
2018-09-21,7.85817441109813,7.85821330614524,7.8582133061727,7.8582133061727
2018-09-28,7.83560905087937,7.83565805723222,7.83565805727943,7.83565805727943
2018-10-05,7.80623684762469,7.80629134489246,7.8062913449716,7.8062913449716
2018-10-12,7.73208767201881,7.73215703290108,7.73215703306488,7.73215703306488
2018-10-19,7.71197605924745,7.7120294816942,7.71202948175118,7.71202948175118
2018-10-26,7.77632641386923,7.77634965234757,7.7763496523563,7.7763496523563
2018-11-02,7.16567693419161,7.16568317059283,7.16568317059363,7.16568317059363
2018-11-09,7.05414056815414,7.05414692560922,7.05414692561049,7.05414692561049
2018-11-16,6.76735170498057,6.76735317276826,6.76735317276832,6.76735317276832
2018-11-23,6.43226564445864,6.432269870985,6.43226987098525,6.43226987098525
2018-11-30,5.97819654486329,5.97820302147285,5.97820302147624,5.97820302147624
2018-12-07,5.48451916532916,5.48452932694717,5.48452932695365,5.48452932695365
2018-12-14,5.32957345623239,5.32958254695264,5.3295825469547,5.3295825469547
2018-12-21,5.44973935258586,5.4497468153161,5.44974681531676,5.44974681531676
2018-12-28,5.14488659534327,5.14489423920468,5.14489423920537,5.14489423920537
2019-01-04,5.19019951013781,5.19020528771361,5.19020528771393,5.19020528771393
2019-01-11,5.20687046898829,5.20687577822817,5.20687577822839,5.20687577822839
2019-01-18,5.17183504480446,5.17184374821989,5.17184374822049,5.17184374822049
2019-01-25,5.15653146132841,5.15654092973218,5.15654092973334,5.15654092973334
2019-02-01,5.1915395123169,5.19154653446525,5.19154653446571,5.19154653446571
2019-02-08,5.16317824717725,5.16318479862166,5.16318479862207,5.16318479862207
2019-02-15,5.09979608778838,5.09980281594045,5.09980281594086,5.09980281594086
2019-02-22,5.27901140484617,5.27901749357505,5.2790174935753,5.2790174935753
2019-03-01,5.47337443734639,5.47338396840091,5.47338396840193,5.47338396840193
2019-03-08,5.50428707116545,5.50429328621642,5.50429328621677,5.50429328621677
2019-03-15,5.53563413279885,5.53564139560752,5.53564139560813,5.53564139560813
2019-03-22,5.45156320654166,5.45156936120402,5.4515693612043,5.4515693612043
2019-03-29,5.68218929160313,5.68219635644999,5.6821963564506,5.6821963564506
2019-04-05,5.60202753492014,5.60203263125642,5.60203263125647,5.60203263125647
2019-04-12,5.47326624467845,5.47327047271438,5.47327047271445,5.47327047271445
2019-04-19,5.4383841764356,5.43838890218782,5.438388902188,5.438388902188
2019-04-26,5.48780930263581,5.48781627702732,5.48781627702763,5.48781627702763
2019-05-03,5.31469313434894,5.31470524911078,5.31470524911316,5.31470524911316
2019-05-10,5.54342706762705,5.54359483471701,5.5435948362207,5.54359483622071
2019-05-17,5.46501515579142,5.46595737593499,5.46595749183078,5.46595749184497
