"Date","Net_H5","Net_H10","Net_H15","Net_H20"
2018-01-12,8.73808342727234,8.73808342727234,8.73808342727234,8.73808342727234
2018-01-19,7.44228419064048,7.44228418910466,7.44228418910466,7.44228418910466
2018-01-26,6.51818757215253,6.51818756641428,6.51818756641428,6.51818756641428
2018-02-02,6.38724670536266,6.38724663347905,6.38724663347905,6.38724663347905
2018-02-09,6.75772940007275,6.75772937869551,6.75772937869551,6.75772937869551
2018-02-16,7.53239388233048,7.53239443272022,7.53239443272023,7.53239443272023
2018-02-23,6.87426474586246,6.87426575441635,6.87426575441643,6.87426575441643
2018-03-02,5.74051512750343,5.74051344912596,5.74051344912608,5.74051344912608
2018-03-09,3.66040954952304,3.66037801484816,3.66037801483858,3.66037801483858
2018-03-16,3.57102172553978,3.57096176202883,3.57096176199259,3.57096176199259
2018-03-23,1.07367317630676,1.07331059028752,1.07331058829141,1.0733105882914
2018-03-30,1.44712199096785,1.4468558624825,1.44685586099659,1.44685586099659
2018-04-06,1.46811127033476,1.46790589680452,1.46790589849217,1.46790589849223
2018-04-13,0.488597365583047,0.48813420290975,0.488134210684352,0.488134210685025
2018-04-20,0.778076078549578,0.776955026690697,0.776955005307691,0.7769550053073
2018-04-27,0.869851475613441,0.868483283071811,0.86848325217648,0.868483252175816
2018-05-04,1.26429203529711,1.26283397911321,1.26283394084582,1.26283394084488
2018-05-11,0.763037691422038,0.760272789961078,0.760272653302934,0.760272653296266
2018-05-18,2.46389620587242,2.46275645931964,2.46275642880064,2.46275642879947
2018-05-25,2.64815137718536,2.64979078570475,2.64979098571587,2.64979098573331
2018-06-01,6.1052328274214,6.10496784349311,6.10496783818193,6.1049678381818
2018-06-08,5.78411821575984,5.78338139768259,5.78338136233631,5.78338136233476
2018-06-15,5.94844084537093,5.94757533172581,5.94757527779392,5.94757527779102
2018-06-22,5.88732096077404,5.88581598276868,5.8858158633152,5.88581586330669
2018-06-29,6.01878170401458,6.0161622149265,6.01616189331079,6.01616189327472
2018-07-06,5.26435859491053,5.26226855694753,5.26226835447135,5.26226835445262
2018-07-13,6.23634262735459,6.23392851475066,6.23392818288222,6.23392818284198
2018-07-20,5.64452009999064,5.64295602925981,5.64295594554605,5.64295594554195
2018-07-27,5.91551011271751,5.91487149753883,5.91487146550794,5.91487146550659
2018-08-03,7.85855024329827,7.85772280040833,7.85772271835009,7.85772271834381
2018-08-10,8.09360505680371,8.08706443173488,8.08706281573862,8.08706281548725
2018-08-17,8.73583117659344,8.73584924726094,8.73584922135176,8.7358492213495
2018-08-24,7.778660755123,7.77784235727441,7.77784221594072,7.77784221592594
2018-08-31,6.53260295845958,6.53166802920775,6.53166787336539,6.53166787334841
2018-09-07,5.95864068369057,5.95691814861196,5.95691778401462,5.9569177839553
2018-09-14,4.37750951899063,4.37394643503449,4.37394566026868,4.37394566010715
2018-09-21,3.98701418665769,3.98146290397139,3.98146124229376,3.98146124178855
2018-09-28,3.58394840638669,3.57816712567281,3.57816542634712,3.57816542581277
2018-10-05,3.48205139312854,3.47452193744079,3.47451905963736,3.47451905848319
2018-10-12,3.33388601184789,3.32535825668788,3.32535462329271,3.32535462168567
2018-10-19,3.83531560969399,3.82781230584867,3.82780929049624,3.8278092893044
2018-10-26,3.98761555210623,3.97927808867282,3.97927413016693,3.97927412836999
2018-11-02,4.04148301550978,4.0333925841156,4.03338882142853,4.03338881981337
2018-11-09,3.76980447091185,3.76111999932451,3.76111555427832,3.7611155521761
2018-11-16,2.75517058254717,2.7481209115739,2.7481174585861,2.74811745708172
2018-11-23,2.85708877069169,2.85057657396037,2.85057410727812,2.85057410637397
2018-11-30,3.1221404390793,3.11664018592925,3.11663838515019,3.11663838457681
2018-12-07,3.34643688479493,3.34049391949562,3.34049140469081,3.34049140368005
2018-12-14,2.83781248317344,2.8275514931447,2.82754554037438,2.82754553697774
2018-12-21,2.1127491766373,2.09362212841929,2.09360242339606,2.09360240431297
2018-12-28,3.28462379688308,3.27922042259807,3.27921801937101,3.27921801840194
2019-01-04,3.33665757741925,3.33061720347672,3.3306137251753,3.3306137233377
2019-01-11,3.61551799731353,3.60960936059666,3.60960549982702,3.60960549757077
2019-01-18,3.58194231521824,3.57608465229237,3.57608089840397,3.57608089616475
2019-01-25,3.70699391401917,3.70419033626373,3.70418929714977,3.70418929666495
2019-02-01,3.68884452790554,3.68607929748466,3.68607797308208,3.68607797231153
2019-02-08,3.58002802237579,3.57675815223746,3.57675603389517,3.57675603233524
2019-02-15,4.43609733274521,4.44587764214196,4.44589407852454,4.44589409826564
2019-02-22,4.69259403913019,4.70233235595418,4.7023449547905,4.7023449672261
2019-03-01,3.79628991284027,3.80378669049811,3.80380052882965,3.80380054558035
2019-03-08,4.21938089285544,4.23532754251297,4.23535399787059,4.23535403340858
2019-03-15,4.30126368449585,4.32091697245868,4.32095445818426,4.32095451712938
2019-03-22,4.79677545529658,4.8272345256688,4.82731235121481,4.82731252226408
2019-03-29,5.27877252500435,5.3181418731234,5.31825642582565,5.31825673027411
2019-04-05,5.14154205697696,5.17967450162783,5.17977282241024,5.17977305981836
2019-04-12,5.79553399637256,5.83973534187079,5.8398650799492,5.83986543648027
2019-04-19,6.18873275151401,6.24272714369755,6.24291693644508,6.24291756315855
2019-04-26,6.33373636999781,6.39638031539949,6.39664280127779,6.39664382389324
2019-05-03,7.4817708981508,7.53543820781836,7.53561536519769,7.53561592197776
2019-05-10,7.30566962753795,7.35325085482105,7.35339517587918,7.3533955945233
2019-05-17,7.7055142257317,7.74895224289773,7.74907152380942,7.74907183161811
