"Date","Net_W100","Net_W150","Net_W200","Net_W250"
2018-01-12,8.73808342727234,8.73808342727234,8.73808342727234,8.73808342727234
2018-01-19,7.44228418910466,7.44228418910466,7.44228418910466,7.44228418910466
2018-01-26,6.51818756641428,6.51818756641428,6.51818756641428,6.51818756641428
2018-02-02,6.38724663347905,6.38724663347905,6.38724663347905,6.38724663347905
2018-02-09,6.75772937869551,6.75772937869551,6.75772937869551,6.75772937869551
2018-02-16,7.53239443272022,7.53239443272022,7.53239443272022,7.53239443272022
2018-02-23,6.87426575441635,6.87426575441635,6.87426575441635,6.87426575441635
2018-03-02,5.74051344912596,5.74051344912596,5.74051344912596,5.74051344912596
2018-03-09,3.66037801484816,3.66037801484816,3.66037801484816,3.66037801484816
2018-03-16,3.57096176202883,3.57096176202883,3.57096176202883,3.57096176202883
2018-03-23,1.07331059028752,1.07331059028752,1.07331059028752,1.07331059028752
2018-03-30,1.4468558624825,1.4468558624825,1.4468558624825,1.4468558624825
2018-04-06,1.46790589680452,1.46790589680452,1.46790589680452,1.46790589680452
2018-04-13,0.48813420290975,0.48813420290975,0.48813420290975,0.48813420290975
2018-04-20,0.776955026690697,0.776955026690697,0.776955026690697,0.776955026690697
2018-04-27,0.868483283071811,0.868483283071811,0.868483283071811,0.868483283071811
2018-05-04,1.26283397911321,1.26283397911321,1.26283397911321,1.26283397911321
2018-05-11,0.760272789961078,0.760272789961078,0.760272789961078,0.760272789961078
2018-05-18,2.46275645931964,2.46275645931964,2.46275645931964,2.46275645931964
2018-05-25,2.64979078570475,2.64979078570475,2.64979078570475,2.64979078570475
2018-06-01,6.10496784349311,6.10496784349311,6.10496784349311,6.10496784349311
2018-06-08,5.78338139768259,5.78338139768259,5.78338139768259,5.78338139768259
2018-06-15,5.94757533172581,5.94757533172581,5.94757533172581,5.94757533172581
2018-06-22,5.88581598276868,5.88581598276868,5.88581598276868,5.88581598276868
2018-06-29,6.0161622149265,6.0161622149265,6.0161622149265,6.0161622149265
2018-07-06,5.26226855694753,5.26226855694753,5.26226855694753,5.26226855694753
2018-07-13,6.23392851475066,6.23392851475066,6.23392851475066,6.23392851475066
2018-07-20,5.64295602925981,5.64295602925981,5.64295602925981,5.64295602925981
2018-07-27,5.91487149753883,5.91487149753883,5.91487149753883,5.91487149753883
2018-08-03,7.85772280040833,7.85772280040833,7.85772280040833,7.85772280040833
2018-08-10,8.08706443173488,8.08706443173488,8.08706443173488,8.08706443173488
2018-08-17,8.73584924726094,8.73584924726094,8.73584924726094,8.73584924726094
2018-08-24,7.77784235727441,7.77784235727441,7.77784235727441,7.77784235727441
2018-08-31,6.53166802920775,6.53166802920775,6.53166802920775,6.53166802920775
2018-09-07,5.95691814861196,5.95691814861196,5.95691814861196,5.95691814861196
2018-09-14,4.37394643503449,4.37394643503449,4.37394643503449,4.37394643503449
