"","Start_Date","End_Date","EUA","NZU","HBEA","CCA","KAU","ACCU","RGGI"
"EUA","2018-01-12","2019-12-31",63.3252435786731,8.25599323445621,4.19028972510398,6.51187285939833,3.68276810901667,8.87527563021315,5.15855686313856
"NZU","2018-01-12","2019-12-31",1.16690440225792,87.8095746528546,0.947125122537068,1.33766238413398,3.54636402777113,4.67256428887507,0.519805121570242
"HBEA","2018-01-12","2019-12-31",1.01306968023732,8.38204623895052,72.4511464754646,4.33251113856254,2.8822308500354,9.78379858721829,1.1551970295313
"CCA","2018-01-12","2019-12-31",3.81266830617592,3.52836921639847,1.28274843620177,79.3849889565989,2.77083371594944,4.12679996556704,5.09359140310845
"KAU","2018-01-12","2019-12-31",2.06774725948499,1.57601892665596,3.17365114527328,8.66583566469133,78.8906475914599,3.3038546479448,2.32224476448977
"ACCU","2018-01-12","2019-12-31",0.985719011251844,7.91351418203234,1.86777358224156,2.98543974310078,1.64371228532665,83.9780140085785,0.625827187468376
"RGGI","2018-01-12","2019-12-31",1.1449643491288,5.63230646123941,2.09637942899395,12.5956261647395,6.46340916459108,11.1074631352349,60.9598512960724
