"Market","TCI","TO","FROM","NET","NPT"
"EUA",9.914,6.218,7.618,-1.4,2.52
"NZU",9.914,12.946,9.03,3.916,4.041
"HBEA",9.914,3.002,2.943,0.059,2.777
"CCA",9.914,18.897,16.372,2.526,4.379
"KAU",9.914,4.715,5.881,-1.166,2.048
"ACCU",9.914,8.614,11.878,-3.264,2.472
"RGGI",9.914,15.006,15.677,-0.671,2.762
