"","Mean","Min","Max","St.dev.","Skew","Kurtosis","Autocorr(1)","p-value(Autocorr)"
"NZU",8.632,0.633,93.585,10.7,4.994,35.727,0.365,0
"EUA",17.849,3.395,78.881,9.417,2.423,13.423,0.406,0
"KAU",14.124,1.073,67.383,11.984,1.9,7.14,0.307,0
"HBEA",24.298,2.017,203.733,19.244,3.846,28.768,0.166,0.002
"ACCU",7.807,0.892,81.895,7.756,5.39,42.042,0.319,0
"CCA",6.399,0.705,52.474,6.026,3.837,24.075,0.441,0
"RGGI",6.539,0.748,64.597,5.557,5.014,43.469,0.234,0
