"","ACCU","CEA","EUA","UKA","NZU","KAU","WCA","CCA"
"1792",NA,NA,7.08,NA,NA,NA,NA,NA
"1793",NA,NA,7.23,NA,NA,NA,NA,NA
"1794",NA,NA,7.1,NA,NA,NA,NA,NA
"1795",NA,NA,6.31,NA,NA,NA,NA,NA
"1796",NA,NA,6.58,NA,NA,NA,NA,NA
"1797",NA,NA,6.59,NA,NA,NA,NA,NA
"1798",NA,NA,7.15,NA,NA,NA,NA,NA
"1799",NA,NA,6.7,NA,NA,NA,NA,NA
"1800",NA,NA,6.9,NA,NA,NA,NA,NA
"1801",NA,NA,6.86,NA,NA,NA,NA,NA
"1802",NA,NA,6.88,NA,NA,NA,NA,NA
"1803",NA,NA,6.98,NA,NA,NA,NA,NA
"1804",NA,NA,6.97,NA,NA,NA,NA,NA
"1805",NA,NA,6.9,NA,NA,NA,NA,NA
"1806",NA,NA,6.58,NA,NA,NA,NA,NA
"1807",NA,NA,6.51,NA,NA,NA,NA,NA
"1808",NA,NA,6.37,NA,NA,NA,NA,NA
"1809",NA,NA,5.95,NA,NA,NA,NA,NA
"1810",NA,NA,5.83,NA,NA,NA,NA,NA
"1811",NA,NA,6.06,NA,NA,NA,NA,NA
"1812",NA,NA,6.08,NA,NA,NA,NA,NA
"1813",NA,NA,6.25,NA,NA,NA,NA,NA
"1814",NA,NA,5.93,NA,NA,NA,NA,NA
"1815",NA,NA,5.93,NA,NA,NA,NA,NA
"1816",NA,NA,5.87,NA,NA,NA,NA,NA
"1817",NA,NA,5.24,NA,NA,NA,NA,NA
"1818",NA,NA,4.4,NA,NA,NA,NA,NA
"1819",NA,NA,4.7,NA,NA,NA,NA,NA
"1820",NA,NA,5.1,NA,NA,NA,NA,NA
"1821",NA,NA,4.89,NA,NA,NA,NA,NA
"1822",NA,NA,4.91,NA,NA,NA,NA,NA
"1823",NA,NA,4.74,NA,NA,NA,NA,NA
"1824",NA,NA,5.03,NA,NA,NA,NA,NA
"1825",NA,NA,4.91,NA,NA,NA,NA,NA
"1826",NA,NA,4.99,NA,NA,NA,NA,NA
"1827",NA,NA,5.17,NA,NA,NA,NA,NA
"1828",NA,NA,5.37,NA,NA,NA,NA,NA
"1829",NA,NA,5.29,NA,NA,NA,NA,NA
"1830",NA,NA,5.59,NA,NA,NA,NA,NA
"1831",NA,NA,5.51,NA,NA,NA,NA,NA
"1832",NA,NA,5.6,NA,NA,NA,NA,NA
"1833",NA,NA,5.6,NA,NA,NA,NA,NA
"1834",NA,NA,5.73,NA,NA,NA,NA,NA
"1835",NA,NA,5.72,NA,NA,NA,NA,NA
"1836",NA,NA,5.77,NA,NA,NA,NA,NA
"1837",NA,NA,5.12,NA,NA,NA,NA,NA
"1838",NA,NA,5.26,NA,NA,NA,NA,NA
"1839",NA,NA,5.46,NA,NA,NA,NA,NA
"1840",NA,NA,5.46,NA,NA,NA,NA,NA
"1841",NA,NA,5.46,NA,NA,NA,NA,NA
"1842",NA,NA,5.24,NA,NA,NA,NA,NA
"1843",NA,NA,5.27,NA,NA,NA,NA,NA
"1844",NA,NA,5.28,NA,NA,NA,NA,NA
"1845",NA,NA,5.18,NA,NA,NA,NA,NA
"1846",NA,NA,5.19,NA,NA,NA,NA,NA
"1847",NA,NA,5.3,NA,NA,NA,NA,NA
"1848",NA,NA,5.36,NA,NA,NA,NA,NA
"1849",NA,NA,5.34,NA,NA,NA,NA,NA
"1850",NA,NA,5.16,NA,NA,NA,NA,NA
"1851",NA,NA,4.83,NA,NA,NA,NA,NA
"1852",NA,NA,4.85,NA,NA,NA,NA,NA
"1853",NA,NA,4.75,NA,NA,NA,NA,NA
"1854",NA,NA,4.89,NA,NA,NA,NA,NA
"1855",NA,NA,5.17,NA,NA,NA,NA,NA
"1856",NA,NA,5.21,NA,NA,NA,NA,NA
"1857",NA,NA,5.17,NA,NA,NA,NA,NA
"1858",NA,NA,5.14,NA,NA,NA,NA,NA
"1859",NA,NA,5.22,NA,NA,NA,NA,NA
"1860",NA,NA,5.25,NA,NA,NA,NA,NA
"1861",NA,NA,5.25,NA,NA,NA,NA,NA
"1862",NA,NA,5.1,NA,NA,NA,NA,NA
"1863",NA,NA,5.19,NA,NA,NA,NA,NA
"1864",NA,NA,5.48,NA,NA,NA,NA,NA
"1865",NA,NA,5.44,NA,NA,NA,NA,NA
"1866",NA,NA,5.58,NA,NA,NA,NA,NA
"1867",NA,NA,5.48,NA,NA,NA,NA,NA
"1868",NA,NA,5.57,NA,NA,NA,NA,NA
"1869",NA,NA,5.53,NA,NA,NA,NA,NA
"1870",NA,NA,5.4,NA,NA,NA,NA,NA
"1871",NA,NA,5.59,NA,NA,NA,NA,NA
"1872",NA,NA,5.71,NA,NA,NA,NA,NA
"1873",NA,NA,5.68,NA,NA,NA,NA,NA
"1874",NA,NA,5.75,NA,NA,NA,NA,NA
"1875",NA,NA,5.7,NA,NA,NA,NA,NA
"1876",NA,NA,5.59,NA,NA,NA,NA,NA
"1877",NA,NA,5.7,NA,NA,NA,NA,NA
"1878",NA,NA,5.84,NA,NA,NA,NA,NA
"1879",NA,NA,5.79,NA,NA,NA,NA,NA
"1880",NA,NA,5.75,NA,NA,NA,NA,NA
"1881",NA,NA,5.75,NA,NA,NA,NA,NA
"1882",NA,NA,5.81,NA,NA,NA,NA,NA
"1883",NA,NA,5.86,NA,NA,NA,NA,NA
"1884",NA,NA,6.05,NA,NA,NA,NA,NA
"1885",NA,NA,6.11,NA,NA,NA,NA,NA
"1886",NA,NA,6.03,NA,NA,NA,NA,NA
"1887",NA,NA,5.69,NA,NA,NA,NA,NA
"1888",NA,NA,5.58,NA,NA,NA,NA,NA
"1889",NA,NA,5.77,NA,NA,NA,NA,NA
"1890",NA,NA,5.83,NA,NA,NA,NA,NA
"1891",NA,NA,5.7,NA,NA,NA,NA,NA
"1892",NA,NA,5.76,NA,NA,NA,NA,NA
"1893",NA,NA,5.9,NA,NA,NA,NA,NA
"1894",NA,NA,5.96,NA,NA,NA,NA,NA
"1895",NA,NA,6.06,NA,NA,NA,NA,NA
"1896",NA,NA,6.17,NA,NA,NA,NA,NA
"1897",NA,NA,6.02,NA,NA,NA,NA,NA
"1898",NA,NA,6.08,NA,NA,NA,NA,NA
"1899",NA,NA,6.19,NA,NA,NA,NA,NA
"1900",NA,NA,6.19,NA,NA,NA,NA,NA
"1901",NA,NA,6.07,NA,NA,NA,NA,NA
"1902",NA,NA,6.15,NA,NA,NA,NA,NA
"1903",NA,NA,6.21,NA,NA,NA,NA,NA
"1904",NA,NA,6.05,NA,NA,NA,NA,NA
"1905",NA,NA,6.15,NA,NA,NA,NA,NA
"1906",NA,NA,6.23,NA,NA,NA,NA,NA
"1907",NA,NA,6.29,NA,NA,NA,NA,NA
"1908",NA,NA,6.25,NA,NA,NA,NA,NA
"1909",NA,NA,6.22,NA,NA,NA,NA,NA
"1910",NA,NA,6.23,NA,NA,NA,NA,NA
"1911",NA,NA,5.96,NA,NA,NA,NA,NA
"1912",NA,NA,5.99,NA,NA,NA,NA,NA
"1913",NA,NA,6.15,NA,NA,NA,NA,NA
"1914",NA,NA,6.13,NA,NA,NA,NA,NA
"1915",NA,NA,6.25,NA,NA,NA,NA,NA
"1916",NA,NA,6.25,NA,NA,NA,NA,NA
"1917",NA,NA,6.4,NA,NA,NA,NA,NA
"1918",NA,NA,6.36,NA,NA,NA,NA,NA
"1919",NA,NA,6.46,NA,NA,NA,NA,NA
"1920",NA,NA,6.44,NA,NA,NA,NA,NA
"1921",NA,NA,6.37,NA,NA,NA,NA,NA
"1922",NA,NA,6.38,NA,NA,NA,NA,NA
"1923",NA,NA,6.35,NA,NA,NA,NA,NA
"1924",NA,NA,6.32,NA,NA,NA,NA,NA
"1925",NA,NA,6.38,NA,NA,NA,NA,NA
"1926",NA,NA,6.46,NA,NA,NA,NA,NA
"1927",NA,NA,6.41,NA,NA,NA,NA,NA
"1928",NA,NA,6.42,NA,NA,NA,NA,NA
"1929",NA,NA,6.41,NA,NA,NA,NA,NA
"1930",NA,NA,6.34,NA,NA,NA,NA,NA
"1931",NA,NA,6.13,NA,NA,NA,NA,NA
"1932",NA,NA,6.28,NA,NA,NA,NA,NA
"1933",NA,NA,6.29,NA,NA,NA,NA,NA
"1934",NA,NA,6.14,NA,NA,NA,NA,NA
"1935",NA,NA,6.1,NA,NA,NA,NA,NA
"1936",NA,NA,6.12,NA,NA,NA,NA,NA
"1937",NA,NA,6.06,NA,NA,NA,NA,NA
"1938",NA,NA,5.93,NA,NA,NA,NA,NA
"1939",NA,NA,5.81,NA,NA,NA,NA,NA
"1940",NA,NA,5.9,NA,NA,NA,NA,NA
"1941",NA,NA,5.99,NA,NA,NA,NA,NA
"1942",NA,NA,6.03,NA,NA,NA,NA,NA
"1943",NA,NA,6,NA,NA,NA,NA,NA
"1944",NA,NA,5.67,NA,NA,NA,NA,NA
"1945",NA,NA,5.82,NA,NA,NA,NA,NA
"1946",NA,NA,5.82,NA,NA,NA,NA,NA
"1947",NA,NA,5.93,NA,NA,NA,NA,NA
"1948",NA,NA,5.77,NA,NA,NA,NA,NA
"1949",NA,NA,5.84,NA,NA,NA,NA,NA
"1950",NA,NA,5.81,NA,NA,NA,NA,NA
"1951",NA,NA,5.69,NA,NA,NA,NA,NA
"1952",NA,NA,5.68,NA,NA,NA,NA,NA
"1953",NA,NA,5.68,NA,NA,NA,NA,NA
"1954",NA,NA,5.73,NA,NA,NA,NA,NA
"1955",NA,NA,6.05,NA,NA,NA,NA,NA
"1956",NA,NA,6.12,NA,NA,NA,NA,NA
"1957",NA,NA,6.04,NA,NA,NA,NA,NA
"1958",NA,NA,6.06,NA,NA,NA,NA,NA
"1959",NA,NA,6.08,NA,NA,NA,NA,NA
"1960",NA,NA,6.15,NA,NA,NA,NA,NA
"1961",NA,NA,6.21,NA,NA,NA,NA,NA
"1962",NA,NA,6.13,NA,NA,NA,NA,NA
"1963",NA,NA,6.14,NA,NA,NA,NA,NA
"1964",NA,NA,6.18,NA,NA,NA,NA,NA
"1965",NA,NA,6.23,NA,NA,NA,NA,NA
"1966",NA,NA,6.34,NA,NA,NA,NA,NA
"1967",NA,NA,6.41,NA,NA,NA,NA,NA
"1968",NA,NA,6.29,NA,NA,NA,NA,NA
"1969",NA,NA,6.16,NA,NA,NA,NA,NA
"1970",NA,NA,6.42,NA,NA,NA,NA,NA
"1971",NA,NA,6.42,NA,NA,NA,NA,NA
"1972",NA,NA,6.35,NA,NA,NA,NA,NA
"1973",NA,NA,6.58,NA,NA,NA,NA,NA
"1974",NA,NA,6.49,NA,NA,NA,NA,NA
"1975",NA,NA,6.65,NA,NA,NA,NA,NA
"1976",NA,NA,6.63,NA,NA,NA,NA,NA
"1977",NA,NA,6.76,NA,NA,NA,NA,NA
"1978",NA,NA,6.72,NA,NA,NA,NA,NA
"1979",NA,NA,6.8,NA,NA,NA,NA,NA
"1980",NA,NA,6.85,NA,NA,NA,NA,NA
"1981",NA,NA,6.79,NA,NA,NA,NA,NA
"1982",NA,NA,6.62,NA,NA,NA,NA,NA
"1983",NA,NA,6.9,NA,NA,NA,NA,NA
"1984",NA,NA,7.02,NA,NA,NA,NA,NA
"1985",NA,NA,7.04,NA,NA,NA,NA,NA
"1986",NA,NA,6.96,NA,NA,NA,NA,NA
"1987",NA,NA,7,NA,NA,NA,NA,NA
"1988",NA,NA,7.05,NA,NA,NA,NA,NA
"1989",NA,NA,7.23,NA,NA,NA,NA,NA
"1990",NA,NA,7.3,NA,NA,NA,NA,NA
"1991",NA,NA,7.2,NA,NA,NA,NA,NA
"1992",NA,NA,7.15,NA,NA,NA,NA,NA
"1993",NA,NA,7.18,NA,NA,NA,NA,NA
"1994",NA,NA,6.95,NA,NA,NA,NA,NA
"1995",NA,NA,6.99,NA,NA,NA,NA,NA
"1996",NA,NA,6.94,NA,NA,NA,NA,NA
"1997",NA,NA,6.76,NA,NA,NA,NA,NA
"1998",NA,NA,6.76,NA,NA,NA,NA,NA
"1999",NA,NA,6.84,NA,NA,NA,NA,NA
"2000",NA,NA,6.65,NA,NA,NA,NA,NA
"2001",NA,NA,6.83,NA,NA,NA,NA,NA
"2002",NA,NA,6.75,NA,NA,NA,NA,NA
"2003",NA,NA,6.98,NA,NA,NA,NA,NA
"2004",NA,NA,7,NA,NA,NA,NA,NA
"2005",NA,NA,7.07,NA,NA,NA,NA,NA
"2006",NA,NA,7.12,NA,NA,NA,NA,NA
"2007",NA,NA,7.16,NA,NA,NA,NA,NA
"2008",NA,NA,7.19,NA,NA,NA,NA,NA
"2009",NA,NA,7.34,NA,NA,NA,NA,NA
"2010",NA,NA,7.46,NA,NA,NA,NA,NA
"2011",NA,NA,7.46,NA,NA,NA,NA,NA
"2012",NA,NA,7.34,NA,NA,NA,NA,NA
"2013",NA,NA,7.3,NA,NA,NA,NA,NA
"2014",NA,NA,7.34,NA,NA,NA,NA,NA
"2015",NA,NA,7.09,NA,NA,NA,NA,NA
"2016",NA,NA,6.99,NA,NA,NA,NA,9.14654957903005
"2017",NA,NA,6.86,NA,NA,NA,NA,9.27652029077129
"2018",NA,NA,6.87,NA,NA,NA,NA,9.37803976687107
"2019",NA,NA,6.9,NA,NA,NA,NA,9.42098591782668
"2020",NA,NA,6.8,NA,NA,NA,NA,9.23931400740434
"2021",NA,NA,6.8,NA,NA,0.00527434398892073,NA,9.24868609201654
"2022",NA,NA,7.38,NA,NA,0.00590153040235732,NA,9.37364807315896
"2023",NA,NA,7.25,NA,NA,0.00584648045271209,NA,9.34663354730121
"2024",NA,NA,7.21,NA,NA,0.00613227923365675,NA,9.57766675671892
"2025",NA,NA,7.22,NA,NA,0.00618002854002774,NA,9.68642522768462
"2026",NA,NA,7.3,NA,NA,0.00629648967653186,NA,NA
"2027",NA,NA,7.25,NA,NA,0.00627526460233769,NA,9.7241402366172
"2028",NA,NA,7.41,NA,NA,0.00629025937019301,NA,9.61069886449185
"2029",NA,NA,6.84,NA,NA,0.00653312649820133,NA,10.0183314561865
"2030",NA,NA,6.88,NA,NA,0.00681553914034908,NA,10.3107682263589
"2031",NA,NA,6.93,NA,NA,0.00674470163335656,NA,10.2716263886524
"2032",NA,NA,6.91,NA,NA,0.00661152058864774,NA,10.0133438422232
"2033",NA,NA,7.02,NA,NA,0.00662394617442335,NA,10.182628144332
"2034",NA,NA,7.12,NA,NA,0.00643696903591714,NA,10.1389511646061
"2035",NA,NA,7.15,NA,NA,0.00644598262008175,NA,10.2140317777763
"2036",NA,NA,7.2,NA,NA,0.00641910155674597,NA,10.1092105795222
"2037",NA,NA,7.13,NA,NA,0.0063383470660925,NA,9.85827750878155
"2038",NA,NA,7,NA,NA,0.0065493673393642,NA,10.0321451377713
"2039",NA,NA,7.07,NA,NA,0.00641889543147824,NA,9.79680179987754
"2040",NA,NA,7.02,NA,NA,0.00647316385578589,NA,10.0325064930593
"2041",NA,NA,6.99,NA,NA,0.00649460205417032,NA,10.0147937378743
"2042",NA,NA,7.18,NA,NA,0.00647051662650529,NA,10.0140680093838
"2043",NA,NA,7.31,NA,NA,0.00635295219341648,NA,10.0006572861903
"2044",NA,NA,7.47,NA,NA,0.0063505223403312,NA,9.86880534780639
"2045",NA,NA,7.71,NA,NA,0.00641056025067656,NA,9.90949566540214
"2046",NA,NA,7.72,NA,NA,0.0064043029685747,NA,NA
"2047",NA,NA,7.54,NA,NA,0.00625812175873675,NA,9.8856961580974
"2048",NA,NA,7.56,NA,NA,NA,NA,9.88863540489591
"2049",NA,NA,7.41,NA,NA,NA,NA,9.93916087906645
"2050",NA,NA,7.38,NA,NA,NA,NA,9.91820692661
"2051",NA,NA,7.76,NA,NA,0.00641586804541464,NA,9.98684260751631
"2052",NA,NA,7.52,NA,NA,0.00643544649885312,NA,9.98655074500485
"2053",NA,NA,7.45,NA,NA,0.00647041706189928,NA,9.80070700053499
"2054",NA,NA,7.12,NA,NA,0.00663905770435216,NA,10.0917096278324
"2055",NA,NA,7.15,NA,NA,0.00665620779854692,NA,10.0891380937926
"2056",NA,NA,7,NA,NA,0.00664972826638636,NA,10.107189867056
"2057",NA,NA,6.78,NA,NA,0.00673624666840446,NA,10.1635233214337
"2058",NA,NA,7.08,NA,NA,0.00679639068790108,NA,NA
"2059",NA,NA,6.8,NA,NA,0.00684662078485184,NA,10.4015248421632
"2060",NA,NA,6.85,NA,NA,0.00696990930136525,NA,10.7679936341935
"2061",NA,NA,6.73,NA,NA,0.00691213912885038,NA,10.7286202722504
"2062",NA,NA,6.87,NA,NA,0.00695672678666098,NA,11.0551982201847
"2063",NA,NA,6.81,NA,NA,0.00709977147969756,NA,11.3762036349444
"2064",NA,NA,6.46,NA,NA,0.00706029265007405,NA,11.2021562603542
"2065",NA,NA,6.51,NA,NA,0.00709429826469298,NA,11.4983191791537
"2066",NA,NA,6.54,NA,NA,0.00707365237797888,NA,11.3220706677073
"2067",NA,NA,6.78,NA,NA,0.0070648992492807,NA,11.2648303829555
"2068",NA,NA,6.79,NA,NA,0.00693587335263202,NA,10.7329017441812
"2069",NA,NA,6.72,NA,NA,0.00707377077487868,NA,11.151767091674
"2070",NA,NA,7.09,NA,NA,0.00697037252598887,NA,10.8223629138892
"2071",NA,NA,7.09,NA,NA,0.00689592806101864,NA,10.5682279915713
"2072",NA,NA,7.08,NA,NA,0.00696065449742452,NA,10.600519336621
"2073",NA,NA,7.01,NA,NA,0.00692611264531791,NA,10.5054098663635
"2074",NA,NA,6.99,NA,NA,0.00699568827665639,NA,10.6720982693563
"2075",NA,NA,6.81,NA,NA,0.00700758064727126,NA,10.6642576243684
"2076",NA,NA,6.93,NA,NA,0.00703086989223683,NA,10.7643063170779
"2077",NA,NA,6.97,NA,NA,0.00714582929793407,NA,10.9525600414825
"2078",NA,NA,7.19,NA,NA,0.00724248781647599,NA,10.9047917226224
"2079",NA,NA,7.19,NA,NA,0.00717634032477693,NA,10.6675756150573
"2080",NA,NA,NA,NA,NA,0.00711527355008301,NA,NA
"2081",NA,NA,7.19,NA,NA,0.00719172985581189,NA,10.5895751409631
"2082",NA,NA,7.15,NA,NA,0.00720875212734352,NA,10.810721214601
"2083",NA,NA,7.16,NA,NA,0.0072908107929286,NA,10.8876357177144
"2084",NA,NA,7.05,NA,NA,0.00740550502848397,NA,11.1362531221564
"2085",NA,NA,6.98,NA,NA,0.00752201826418484,NA,11.2542076947038
"2086",NA,NA,6.84,NA,NA,0.00746804208367059,NA,11.3399853364853
"2087",NA,NA,6.84,NA,NA,0.0074775552664629,NA,11.1752420374109
"2088",NA,NA,6.89,NA,NA,0.00742902333120606,NA,11.1259207531677
"2089",NA,NA,6.91,NA,NA,0.00743157255896868,NA,10.9693066707204
"2090",NA,NA,6.88,NA,NA,0.00737881752005464,NA,10.8866938006018
"2091",NA,NA,7.17,NA,NA,0.00759108989361313,NA,11.0184045877652
"2092",NA,NA,7.12,NA,NA,0.0075999822022208,NA,11.0245649964905
"2093",NA,NA,7.12,NA,NA,0.0075965803578042,NA,11.0584054639999
"2094",NA,NA,7.29,NA,NA,0.00753768394688742,NA,10.8570426562963
"2095",NA,NA,7.32,NA,NA,0.00753510533002145,NA,10.7360057307428
"2096",NA,NA,7.19,NA,NA,0.00761985493841573,NA,10.6999708265464
"2097",NA,NA,7.39,NA,NA,0.00755538311426248,NA,NA
"2098",NA,NA,7.5,NA,NA,0.00727288645457926,NA,10.2378077217147
"2099",NA,NA,7.43,NA,NA,0.00705987213096949,NA,NA
"2100",NA,NA,7.52,NA,NA,NA,NA,10.124362244898
"2101",NA,NA,7.62,NA,NA,0.00709966797000726,NA,10.2344225485957
"2102",NA,NA,7.59,NA,NA,NA,NA,10.15335109834
"2103",NA,NA,7.57,NA,NA,0.00686190208711153,NA,9.8490280596481
"2104",NA,NA,7.47,NA,NA,0.00679396921046397,NA,10.0078624762092
"2105",NA,NA,7.57,NA,NA,0.00694577879776577,NA,10.1030053182045
"2106",NA,NA,7.66,NA,NA,0.00689044275079022,NA,10.2080418213989
"2107",NA,NA,7.63,NA,NA,0.00686806709118735,NA,10.1009001182513
"2108",NA,NA,7.68,NA,NA,0.00669950767540639,NA,9.84984607676559
"2109",NA,NA,7.59,NA,NA,0.00669065531842749,NA,9.75853661415232
"2110",NA,NA,7.62,NA,NA,0.00670069652303936,NA,9.69301134873174
"2111",NA,NA,7.63,NA,NA,0.00677942558335114,NA,9.89792744742623
"2112",NA,NA,7.4,NA,NA,0.00692143081717416,NA,10.1886748629593
"2113",NA,NA,7.38,NA,NA,0.00697978360649258,NA,10.2836932792634
"2114",NA,NA,7.33,NA,NA,0.00699117405089598,NA,10.2205646442453
"2115",NA,NA,7.34,NA,NA,0.00707134208048522,NA,10.3931233952628
"2116",NA,NA,7.39,NA,NA,NA,NA,NA
"2117",NA,NA,7.26,NA,NA,0.00711064423556873,NA,10.6917377541052
"2118",NA,NA,7.21,NA,NA,0.00705227989779938,NA,10.6329812922032
"2119",NA,NA,7.22,NA,NA,0.00700386283251217,NA,10.5496046919567
"2120",NA,NA,7.36,NA,NA,0.0069001464860837,NA,10.4710160412072
"2121",NA,NA,7.28,NA,NA,0.00693882541057386,NA,10.6069571501134
"2122",NA,NA,7.48,NA,NA,0.00676339377569452,NA,10.1875814363258
"2123",NA,NA,7.52,NA,NA,0.00662333095558067,NA,9.96041984066538
"2124",NA,NA,7.43,NA,NA,0.0065890477759843,NA,10.0340405816674
"2125",NA,NA,7.44,NA,NA,0.00660922562198915,NA,10.2629052570789
"2126",NA,NA,7.48,NA,NA,0.00646764309092191,NA,9.93044912668171
"2127",NA,NA,7.6,NA,NA,0.00644474373083487,NA,9.94453611720017
"2128",NA,NA,7.62,NA,NA,0.00652075629873146,NA,9.86485722674018
"2129",NA,NA,7.54,NA,NA,0.00656812291684246,NA,9.98263502881064
"2130",NA,NA,7.64,NA,NA,0.0065702214089389,NA,10.0025341853539
"2131",NA,NA,7.55,NA,NA,0.0065006720582536,NA,9.97595645248359
"2132",NA,NA,7.45,NA,NA,0.00651754071833437,NA,10.0496142576937
"2133",NA,NA,7.5,NA,NA,0.00645587150541884,NA,9.89241897079538
"2134",NA,NA,7.48,NA,NA,0.00654395802364682,NA,9.86014683991131
"2135",NA,NA,7.44,NA,NA,0.00657915122965815,NA,9.87057258260366
"2136",NA,NA,7.5,NA,NA,0.00661494716110355,NA,9.89147373627092
"2137",NA,NA,7.52,NA,NA,0.00675321136464809,NA,10.196673878649
"2138",NA,NA,7.51,NA,NA,0.00666935230951343,NA,10.1153286854593
"2139",NA,NA,7.61,NA,NA,0.00664783042597664,NA,10.1171344298544
"2140",NA,NA,7.55,NA,NA,0.00656529154690701,NA,10.2138328899476
"2141",NA,NA,7.37,NA,NA,0.00651484561361369,NA,10.0851474021932
"2142",NA,NA,7.46,NA,NA,0.00663396623006258,NA,10.2590387111357
"2143",NA,NA,7.5,NA,NA,0.00667203646671568,NA,10.4137071107543
"2144",NA,NA,7.46,NA,NA,0.00665499279748253,NA,10.3636738528555
"2145",NA,NA,7.45,NA,NA,0.00662981542807097,NA,NA
"2146",NA,NA,7.39,NA,NA,0.00665798945724965,NA,10.4162383673917
"2147",NA,NA,7.47,NA,NA,0.00660986098190374,NA,10.5098081918758
"2148",NA,NA,7.46,NA,NA,0.00652054877012644,NA,10.3868045187491
"2149",NA,NA,7.49,NA,NA,0.00660880209960534,NA,10.4603458633717
"2150",NA,NA,7.62,NA,NA,0.00647205291154295,NA,10.2335460551791
"2151",NA,NA,7.8,NA,NA,0.00659854413243194,NA,10.5250979635472
"2152",NA,NA,7.74,NA,NA,0.00651401668693606,NA,10.5199685463667
"2153",NA,NA,7.77,NA,NA,0.00653874508540428,NA,10.6144348352934
"2154",NA,NA,7.67,NA,NA,0.0066351376738814,NA,10.7405139527057
"2155",NA,NA,7.75,NA,NA,0.00665221199599681,NA,10.8319644687002
"2156",NA,NA,7.99,NA,NA,0.00658093937833357,NA,10.8465029948424
"2157",NA,NA,7.97,NA,NA,0.00653666165407866,NA,10.6190757263515
"2158",NA,NA,7.97,NA,NA,0.00644780354977377,NA,10.6165381788073
"2159",NA,NA,8.09,NA,NA,0.00633562707014339,NA,10.5322203800604
"2160",NA,NA,8.02,NA,NA,0.00624576185491546,NA,10.5220108028631
"2161",NA,NA,8.03,NA,NA,0.00615294156979009,NA,10.299952082867
"2162",NA,NA,8.03,NA,NA,0.0062645778303661,NA,10.3615193811443
"2163",NA,NA,8.07,NA,NA,0.00633314331896856,NA,10.501602277616
"2164",NA,NA,7.89,NA,NA,0.00627269582998959,NA,10.6287925906704
"2165",NA,NA,7.88,NA,NA,0.00627955460792576,NA,10.5207202312762
"2166",NA,NA,7.96,NA,NA,0.00627602583216717,NA,10.5938741498301
"2167",NA,NA,7.91,NA,NA,0.00637526567295701,NA,10.7455666089965
"2168",NA,NA,7.84,NA,NA,0.00629704625815732,NA,10.6983160985031
"2169",NA,NA,7.85,NA,NA,0.00638601277202554,NA,10.6611301205263
"2170",NA,NA,7.79,NA,NA,0.00632609742435707,NA,10.5796144054924
"2171",NA,NA,7.93,NA,NA,0.00632391657548097,NA,10.4818817707023
"2172",NA,NA,8.1,NA,NA,0.00608746112046221,NA,10.4363579080025
"2173",NA,NA,8.2,NA,NA,0.00601915342457359,NA,10.2284868807322
"2174",NA,NA,8.2,NA,NA,0.0059774075949149,NA,10.2512189133798
"2175",NA,NA,8.33,NA,NA,NA,NA,10.3289004027752
"2176",NA,NA,8.25,NA,NA,0.00600729949971693,NA,10.3855778128217
"2177",NA,NA,8.28,NA,NA,0.00604148587191481,NA,10.5110266765574
"2178",NA,NA,8.35,NA,NA,0.00595352767943082,NA,10.3165615468382
"2179",NA,NA,8.37,NA,NA,0.00581530477008793,NA,10.0981258471969
"2180",NA,NA,8.21,NA,NA,0.00556402482844544,NA,9.8408368801928
"2181",NA,NA,8.18,NA,NA,0.00538641286868476,NA,9.45339772746838
"2182",NA,NA,8.26,NA,NA,0.00548593024484735,NA,9.62494428318891
"2183",NA,NA,8.11,NA,NA,0.00575839693113573,NA,9.95866373478399
"2184",NA,NA,8.05,NA,NA,0.00591873789257949,NA,10.0866224101539
"2185",NA,NA,8.12,NA,NA,0.0059306005285629,NA,10.2024452404557
"2186",NA,NA,8.08,NA,NA,0.00586738790661705,NA,10.1442858777195
"2187",NA,NA,8.02,NA,NA,0.00579125949071802,NA,9.94733619432985
"2188",NA,NA,8.13,NA,NA,0.00583923631071927,NA,10.1013246177232
"2189",NA,NA,8.18,NA,NA,0.00588069575506743,NA,10.2848847584727
"2190",NA,NA,8.1,NA,NA,0.00575435179861951,NA,10.2307500187792
"2191",NA,NA,8.09,NA,NA,0.00571302742704705,NA,NA
"2192",NA,NA,8.25,NA,NA,0.00576098116123454,NA,10.166037221522
"2193",NA,NA,8.28,NA,NA,0.00578926245230552,NA,10.1569656677672
"2194",NA,NA,8.29,NA,NA,0.00579890988146538,NA,10.0276703930067
"2195",NA,NA,8.27,NA,NA,0.0057369291383888,NA,9.91655155753987
"2196",NA,NA,8.24,NA,NA,0.00575684722762757,NA,9.95338505804393
"2197",NA,NA,8.18,NA,NA,0.00584671768638612,NA,10.0454799452984
"2198",NA,NA,8.24,NA,NA,0.00591201360832527,NA,10.0045886928798
"2199",NA,NA,8.24,NA,NA,0.00579490892383568,NA,9.7507460754681
"2200",NA,NA,8.12,NA,NA,0.00586694508990142,NA,NA
"2201",NA,NA,7.99,NA,NA,0.00593744671609939,NA,10.1976721239983
"2202",NA,NA,8.03,NA,NA,0.00593943071978785,NA,10.3227957651685
"2203",NA,NA,8.08,NA,NA,0.00577565804443485,NA,10.1994956605183
"2204",NA,NA,8.01,NA,NA,0.00576710410727471,NA,10.1197203362942
"2205",NA,NA,8,NA,NA,0.00578449111214625,NA,10.1831014209129
