"","ACCU","CEA","EUA","UKA","NZU","KAU","WCA","CCA"
"114",NA,NA,22.78,NA,NA,NA,NA,NA
"115",NA,NA,22.7,NA,NA,NA,NA,NA
"116",NA,NA,23.65,NA,NA,NA,NA,NA
"117",NA,NA,23.65,NA,NA,NA,NA,NA
"118",NA,NA,22.78,NA,NA,NA,NA,NA
"119",NA,NA,21.9,NA,NA,NA,NA,NA
"120",NA,NA,21.19,NA,NA,NA,NA,NA
"121",NA,NA,21.84,NA,NA,NA,NA,NA
"122",NA,NA,21.62,NA,NA,NA,NA,NA
"123",NA,NA,21.89,NA,NA,NA,NA,NA
"124",NA,NA,21.18,NA,NA,NA,NA,NA
"125",NA,NA,21.07,NA,NA,NA,NA,NA
"126",NA,NA,21.43,NA,NA,NA,NA,NA
"127",NA,NA,22.36,NA,NA,NA,NA,NA
"128",NA,NA,22.29,NA,NA,NA,NA,NA
"129",NA,NA,21.7,NA,NA,NA,NA,NA
"130",NA,NA,21.16,NA,NA,NA,NA,NA
"131",NA,NA,21.05,NA,NA,NA,NA,NA
"132",NA,NA,21.48,NA,NA,NA,NA,NA
"133",NA,NA,21.8,NA,NA,NA,NA,NA
"134",NA,NA,21.12,NA,NA,NA,NA,NA
"135",NA,NA,21,NA,NA,NA,NA,NA
"136",NA,NA,20.67,NA,NA,NA,NA,NA
"137",NA,NA,19.79,NA,NA,NA,NA,NA
"138",NA,NA,19.89,NA,NA,NA,NA,NA
"139",NA,NA,18.88,NA,NA,NA,NA,NA
"140",NA,NA,19.25,NA,NA,NA,NA,NA
"141",NA,NA,18.91,NA,NA,NA,NA,NA
"142",NA,NA,19.35,NA,NA,NA,NA,NA
"143",NA,NA,19.58,NA,NA,NA,NA,NA
"144",NA,NA,19.25,NA,NA,NA,NA,NA
"145",NA,NA,19.3,NA,NA,NA,NA,NA
"146",NA,NA,19.98,NA,NA,NA,NA,NA
"147",NA,NA,20.07,NA,NA,NA,NA,NA
"148",NA,NA,20.3,NA,NA,NA,NA,NA
"149",NA,NA,20.85,NA,NA,NA,NA,NA
"150",NA,NA,21.15,NA,NA,NA,NA,NA
"151",NA,NA,20.46,NA,NA,NA,NA,NA
"152",NA,NA,20.7,NA,NA,NA,NA,NA
"153",NA,NA,20.39,NA,NA,NA,NA,NA
"154",NA,NA,19.6,NA,NA,NA,NA,NA
"155",NA,NA,20.05,NA,NA,NA,NA,NA
"156",NA,NA,19.91,NA,NA,NA,NA,NA
"157",NA,NA,19.65,NA,NA,NA,NA,NA
"158",NA,NA,19.06,NA,NA,NA,NA,NA
"159",NA,NA,19.6,NA,NA,NA,NA,NA
"160",NA,NA,19.4,NA,NA,NA,NA,NA
"161",NA,NA,19.65,NA,NA,NA,NA,NA
"162",NA,NA,19.29,NA,NA,NA,NA,NA
"163",NA,NA,19.4,NA,NA,NA,NA,NA
"164",NA,NA,19.2,NA,NA,NA,NA,NA
"165",NA,NA,19.18,NA,NA,NA,NA,NA
"166",NA,NA,18.63,NA,NA,NA,NA,NA
"167",NA,NA,18.81,NA,NA,NA,NA,NA
"168",NA,NA,18.63,NA,NA,NA,NA,NA
"169",NA,NA,18.4,NA,NA,NA,NA,NA
"170",NA,NA,19.38,NA,NA,NA,NA,NA
"171",NA,NA,19.93,NA,NA,NA,NA,NA
"172",NA,NA,19.4,NA,NA,NA,NA,NA
"173",NA,NA,19.4,NA,NA,NA,NA,NA
"174",NA,NA,19.77,NA,NA,NA,NA,NA
"175",NA,NA,20.91,NA,NA,NA,NA,NA
"176",NA,NA,20.25,NA,NA,NA,NA,NA
"177",NA,NA,20.53,NA,NA,NA,NA,NA
"178",NA,NA,20.47,NA,NA,NA,NA,NA
"179",NA,NA,20.31,NA,NA,NA,NA,NA
"180",NA,NA,20.76,NA,NA,NA,NA,NA
"181",NA,NA,21.1,NA,NA,NA,NA,NA
"182",NA,NA,20.53,NA,NA,NA,NA,NA
"183",NA,NA,20.7,NA,NA,NA,NA,NA
"184",NA,NA,20.54,NA,NA,NA,NA,NA
"185",NA,NA,20.8,NA,NA,NA,NA,NA
"186",NA,NA,21.28,NA,NA,NA,NA,NA
"187",NA,NA,21.77,NA,NA,NA,NA,NA
"188",NA,NA,21.75,NA,NA,NA,NA,NA
"189",NA,NA,21.75,NA,NA,NA,NA,NA
"190",NA,NA,21.39,NA,NA,NA,NA,NA
"191",NA,NA,21.3,NA,NA,NA,NA,NA
"192",NA,NA,21.6,NA,NA,NA,NA,NA
"193",NA,NA,21.68,NA,NA,NA,NA,NA
"194",NA,NA,21.6,NA,NA,NA,NA,NA
"195",NA,NA,21.7,NA,NA,NA,NA,NA
"196",NA,NA,21.38,NA,NA,NA,NA,NA
"197",NA,NA,21.56,NA,NA,NA,NA,NA
"198",NA,NA,21.52,NA,NA,NA,NA,NA
"199",NA,NA,21.67,NA,NA,NA,NA,NA
"200",NA,NA,21.65,NA,NA,NA,NA,NA
"201",NA,NA,22.18,NA,NA,NA,NA,NA
"202",NA,NA,22.36,NA,NA,NA,NA,NA
"203",NA,NA,22.35,NA,NA,NA,NA,NA
"204",NA,NA,22.6,NA,NA,NA,NA,NA
"205",NA,NA,22.82,NA,NA,NA,NA,NA
"206",NA,NA,23,NA,NA,NA,NA,NA
"207",NA,NA,22.83,NA,NA,NA,NA,NA
"208",NA,NA,22.62,NA,NA,NA,NA,NA
"209",NA,NA,22.16,NA,NA,NA,NA,NA
"210",NA,NA,22.34,NA,NA,NA,NA,NA
"211",NA,NA,22.55,NA,NA,NA,NA,NA
"212",NA,NA,22.78,NA,NA,NA,NA,NA
"213",NA,NA,22.72,NA,NA,NA,NA,NA
"214",NA,NA,22.88,NA,NA,NA,NA,NA
"215",NA,NA,22.17,NA,NA,NA,NA,NA
"216",NA,NA,22.27,NA,NA,NA,NA,NA
"217",NA,NA,21.7,NA,NA,NA,NA,NA
"218",NA,NA,21.5,NA,NA,NA,NA,NA
"219",NA,NA,21.5,NA,NA,NA,NA,NA
"220",NA,NA,21.52,NA,NA,NA,NA,NA
"221",NA,NA,21.62,NA,NA,NA,NA,NA
"222",NA,NA,21.65,NA,NA,NA,NA,NA
"223",NA,NA,21.85,NA,NA,NA,NA,NA
"224",NA,NA,21.91,NA,NA,NA,NA,NA
"225",NA,NA,22.3,NA,NA,NA,NA,NA
"226",NA,NA,22.97,NA,NA,NA,NA,NA
"227",NA,NA,22.6,NA,NA,NA,NA,NA
"228",NA,NA,22.54,NA,NA,NA,NA,NA
"229",NA,NA,22.85,NA,NA,NA,NA,NA
"230",NA,NA,23.74,NA,NA,NA,NA,NA
"231",NA,NA,23.72,NA,NA,NA,NA,NA
"232",NA,NA,23.7,NA,NA,NA,NA,NA
"233",NA,NA,23.69,NA,NA,NA,NA,NA
"234",NA,NA,23.8,NA,NA,NA,NA,NA
"235",NA,NA,23.53,NA,NA,NA,NA,NA
"236",NA,NA,23.29,NA,NA,NA,NA,NA
"237",NA,NA,22.7,NA,NA,NA,NA,NA
"238",NA,NA,22.35,NA,NA,NA,NA,NA
"239",NA,NA,22.98,NA,NA,NA,NA,NA
"240",NA,NA,23.4,NA,NA,NA,NA,NA
"241",NA,NA,22.81,NA,NA,NA,NA,NA
"242",NA,NA,22.77,NA,NA,NA,NA,NA
"243",NA,NA,22.3,NA,NA,NA,NA,NA
"244",NA,NA,22.43,NA,NA,NA,NA,NA
"245",NA,NA,22.51,NA,NA,NA,NA,NA
"246",NA,NA,22.7,NA,NA,NA,NA,NA
"247",NA,NA,22.8,NA,NA,NA,NA,NA
"248",NA,NA,22.65,NA,NA,NA,NA,NA
"249",NA,NA,22.35,NA,NA,NA,NA,NA
"250",NA,NA,22.6,NA,NA,NA,NA,NA
"251",NA,NA,22.45,NA,NA,NA,NA,NA
"252",NA,NA,22.3,NA,NA,NA,NA,NA
"253",NA,NA,21.93,NA,NA,NA,NA,NA
"254",NA,NA,22,NA,NA,NA,NA,NA
"255",NA,NA,22,NA,NA,NA,NA,NA
"256",NA,NA,21.87,NA,NA,NA,NA,NA
"257",NA,NA,22.12,NA,NA,NA,NA,NA
"258",NA,NA,22.41,NA,NA,NA,NA,NA
"259",NA,NA,22.92,NA,NA,NA,NA,NA
"260",NA,NA,23.54,NA,NA,NA,NA,NA
"261",NA,NA,23.55,NA,NA,NA,NA,NA
"262",NA,NA,23.66,NA,NA,NA,NA,NA
"263",NA,NA,23.7,NA,NA,NA,NA,NA
"264",NA,NA,23.42,NA,NA,NA,NA,NA
"265",NA,NA,23.11,NA,NA,NA,NA,NA
"266",NA,NA,23.11,NA,NA,NA,NA,NA
"267",NA,NA,23.41,NA,NA,NA,NA,NA
"268",NA,NA,23.17,NA,NA,NA,NA,NA
"269",NA,NA,22.75,NA,NA,NA,NA,NA
"270",NA,NA,22.23,NA,NA,NA,NA,NA
"271",NA,NA,22.28,NA,NA,NA,NA,NA
"272",NA,NA,20.84,NA,NA,NA,NA,NA
"273",NA,NA,20.31,NA,NA,NA,NA,NA
"274",NA,NA,20.03,NA,NA,NA,NA,NA
"275",NA,NA,19.76,NA,NA,NA,NA,NA
"276",NA,NA,21.04,NA,NA,NA,NA,NA
"277",NA,NA,20.65,NA,NA,NA,NA,NA
"278",NA,NA,20.7,NA,NA,NA,NA,NA
"279",NA,NA,20.08,NA,NA,NA,NA,NA
"280",NA,NA,19.1,NA,NA,NA,NA,NA
"281",NA,NA,19.22,NA,NA,NA,NA,NA
"282",NA,NA,19.19,NA,NA,NA,NA,NA
"283",NA,NA,18.84,NA,NA,NA,NA,NA
"284",NA,NA,19.97,NA,NA,NA,NA,NA
"285",NA,NA,20.44,NA,NA,NA,NA,NA
"286",NA,NA,20.39,NA,NA,NA,NA,NA
"287",NA,NA,20.16,NA,NA,NA,NA,NA
"288",NA,NA,19.97,NA,NA,NA,NA,NA
"289",NA,NA,19.93,NA,NA,NA,NA,NA
"290",NA,NA,20.72,NA,NA,NA,NA,NA
"291",NA,NA,20.87,NA,NA,NA,NA,NA
"292",NA,NA,20.93,NA,NA,NA,NA,NA
"293",NA,NA,21.64,NA,NA,NA,NA,NA
"294",NA,NA,21.5,NA,NA,NA,NA,NA
"295",NA,NA,21.7,NA,NA,NA,NA,NA
"296",NA,NA,21.48,NA,NA,NA,NA,NA
"297",NA,NA,21.59,NA,NA,NA,NA,NA
"298",NA,NA,21.35,NA,NA,NA,NA,NA
"299",NA,NA,21.26,NA,NA,NA,NA,NA
"300",NA,NA,21.16,NA,NA,NA,NA,NA
"301",NA,NA,21.31,NA,NA,NA,NA,NA
"302",NA,NA,20.88,NA,NA,NA,NA,NA
"303",NA,NA,20.67,NA,NA,NA,NA,NA
"304",NA,NA,21.24,NA,NA,NA,NA,NA
"305",NA,NA,21.35,NA,NA,NA,NA,NA
"306",NA,NA,21.38,NA,NA,NA,NA,NA
"307",NA,NA,21.66,NA,NA,NA,NA,NA
"308",NA,NA,21.86,NA,NA,NA,NA,NA
"309",NA,NA,21.95,NA,NA,NA,NA,NA
"310",NA,NA,22.55,NA,NA,NA,NA,NA
"311",NA,NA,22.21,NA,NA,NA,NA,NA
"312",NA,NA,21.43,NA,NA,NA,NA,NA
"313",NA,NA,21.66,NA,NA,NA,NA,NA
"314",NA,NA,21.56,NA,NA,NA,NA,NA
"315",NA,NA,21.97,NA,NA,NA,NA,NA
"316",NA,NA,22.54,NA,NA,NA,NA,NA
"317",NA,NA,22.51,NA,NA,NA,NA,NA
"318",NA,NA,22.26,NA,NA,NA,NA,NA
"319",NA,NA,21.76,NA,NA,NA,NA,NA
"320",NA,NA,22.27,NA,NA,NA,NA,NA
"321",NA,NA,22.52,NA,NA,NA,NA,NA
"322",NA,NA,23.42,NA,NA,NA,NA,NA
"323",NA,NA,23.47,NA,NA,NA,NA,NA
"324",NA,NA,23.31,NA,NA,NA,NA,NA
"325",NA,NA,23.82,NA,NA,NA,NA,NA
"326",NA,NA,23.51,NA,NA,NA,NA,NA
"327",NA,NA,23.69,NA,NA,NA,NA,NA
"328",NA,NA,24.44,NA,NA,NA,NA,NA
"329",NA,NA,24.38,NA,NA,NA,NA,NA
"330",NA,NA,25,NA,NA,NA,NA,NA
"331",NA,NA,25.14,NA,NA,NA,NA,NA
"332",NA,NA,24.8,NA,NA,NA,NA,NA
"333",NA,NA,24.69,NA,NA,NA,NA,NA
"334",NA,NA,24.51,NA,NA,NA,NA,NA
"335",NA,NA,25.23,NA,NA,NA,NA,NA
"336",NA,NA,25.34,NA,NA,NA,NA,NA
"337",NA,NA,25,NA,NA,NA,NA,NA
"338",NA,NA,24.51,NA,NA,NA,NA,NA
"339",NA,NA,24.74,NA,NA,NA,NA,NA
"340",NA,NA,24.63,NA,NA,NA,NA,NA
"341",NA,NA,24.19,NA,NA,NA,NA,NA
"342",NA,NA,23.88,NA,NA,NA,NA,NA
"343",NA,NA,23.56,NA,NA,NA,NA,NA
"344",NA,NA,24.5,NA,NA,NA,NA,NA
"345",NA,NA,25.31,NA,NA,NA,NA,NA
"346",NA,NA,25.03,NA,NA,NA,NA,NA
"347",NA,NA,24.91,NA,NA,NA,NA,NA
"348",NA,NA,25.17,NA,NA,NA,NA,NA
"349",NA,NA,25.39,NA,NA,NA,NA,NA
"350",NA,NA,25.04,NA,NA,NA,NA,NA
"351",NA,NA,24.46,NA,NA,NA,NA,NA
"352",NA,NA,24.68,NA,NA,NA,NA,NA
"353",NA,NA,24.89,NA,NA,NA,NA,NA
"354",NA,NA,25.31,NA,NA,NA,NA,NA
"355",NA,NA,25.36,NA,NA,NA,NA,NA
"356",NA,NA,25.73,NA,NA,NA,NA,NA
