"Market","TCI","TO","FROM","NET","NPT"
"EUA",24.743,10.191,36.675,-26.484,1.204
"NZU",24.743,35.288,12.19,23.098,4.903
"HBEA",24.743,13.558,27.549,-13.991,2.621
"CCA",24.743,36.429,20.615,15.814,4.388
"KAU",24.743,20.989,21.109,-0.12,2.087
"ACCU",24.743,41.87,16.022,25.848,3.728
"RGGI",24.743,14.875,39.04,-24.165,2.068
