"Date","Negative"
2018-01-12,11.6667144530078
2018-01-19,11.725418375415
2018-01-26,11.9878002807927
2018-02-02,12.1636330856929
2018-02-09,13.0707014243507
2018-02-16,14.8271367315136
2018-02-23,14.5843629340315
2018-03-02,18.0182130398229
2018-03-09,18.5133688560681
2018-03-16,17.9575686679539
2018-03-23,17.3785270963554
2018-03-30,17.070594337112
2018-04-06,17.3537494896087
2018-04-13,17.7302311806246
2018-04-20,17.1928780451034
2018-04-27,17.4747879870786
2018-05-04,17.5991978761713
2018-05-11,18.1978629182375
2018-05-18,18.224198275529
2018-05-25,18.9016512285439
2018-06-01,18.261451189791
2018-06-08,18.0451330214122
2018-06-15,17.4372875495388
2018-06-22,16.9439735765375
2018-06-29,16.6096606618283
2018-07-06,16.8331107912723
2018-07-13,16.8968174844122
2018-07-20,16.8922771133679
2018-07-27,17.1853575588541
2018-08-03,17.710261875797
2018-08-10,18.2087334252593
2018-08-17,17.4222280572965
2018-08-24,18.1553270890392
2018-08-31,17.8159179003383
2018-09-07,18.7684775341765
2018-09-14,17.6438171282265
2018-09-21,18.4182984940161
2018-09-28,18.78015312508
2018-10-05,19.1104832619823
2018-10-12,18.7331268474922
2018-10-19,18.9234114549999
2018-10-26,19.46083839243
2018-11-02,19.6367414678349
2018-11-09,19.7845743187959
2018-11-16,17.8995158260125
2018-11-23,18.0146262200059
2018-11-30,16.9410447707637
2018-12-07,16.6687834798971
2018-12-14,16.7967068043108
2018-12-21,16.3715944991484
2018-12-28,16.3941651530273
2019-01-04,16.8185514145487
2019-01-11,15.8526856891048
2019-01-18,16.2903482672701
2019-01-25,16.3351974367893
2019-02-01,16.590178902031
2019-02-08,16.313752321692
2019-02-15,16.6265595188856
2019-02-22,16.6758979905766
2019-03-01,16.6991042013851
2019-03-08,17.1011964644817
2019-03-15,17.3277147928318
2019-03-22,17.8682351765664
2019-03-29,17.9798562737276
2019-04-05,17.9787497434449
2019-04-12,18.3040286621076
2019-04-19,18.5348738026411
2019-04-26,18.8875624094797
2019-05-03,18.7115042445734
2019-05-10,18.3105637931481
2019-05-17,18.3409564622083
2019-05-24,19.4675374095557
2019-05-31,18.4911984591477
2019-06-07,18.7893522029028
2019-06-14,18.8709267439636
2019-06-21,19.0765973070599
2019-06-28,18.6849644558951
2019-07-05,18.8615601111711
2019-07-12,18.7767468123952
2019-07-19,18.8087162348173
2019-07-26,19.2368934517786
2019-08-02,18.2397520048882
2019-08-09,17.8140319779769
2019-08-16,18.0079625772285
2019-08-23,17.921494781332
2019-08-30,18.2757496795381
2019-09-06,18.4320383900411
2019-09-13,17.9469917070759
2019-09-20,17.8583287694193
2019-09-27,18.1876342268759
2019-10-04,18.4011453788815
2019-10-11,18.2569977686433
2019-10-18,18.1571686381685
2019-10-25,18.547146496641
2019-11-01,18.5553885455185
2019-11-08,18.8406514198883
2019-11-15,19.2123752824982
2019-11-22,19.4803065203219
2019-11-29,19.682240176335
2019-12-06,19.7857295060455
2019-12-13,20.0407222136829
2019-12-20,20.4537631792005
2019-12-27,19.3161784420897
2020-01-03,18.5256112436303
2020-01-10,18.938852701897
2020-01-17,19.4821746753692
2020-01-24,19.7149628128729
2020-01-31,19.293265464528
2020-02-07,15.9950233826988
2020-02-14,15.5758903707792
2020-02-21,15.691607186232
2020-02-28,16.1186537322805
2020-03-06,17.3420620912082
2020-03-13,19.8428824613191
2020-03-20,39.6089273115775
2020-03-27,34.2434057362971
2020-04-03,32.8624872032545
2020-04-10,32.8972066014496
2020-04-17,32.9309001214705
2020-04-24,32.8592724201766
2020-05-01,32.7265781981695
2020-05-08,32.6206709324556
2020-05-15,32.7050359100008
2020-05-22,32.4199442024669
2020-05-29,32.3784901815242
2020-06-05,32.2256847580379
2020-06-12,32.1732190933712
2020-06-19,32.1619186019724
2020-06-26,32.1922070001934
2020-07-03,32.2124115980167
2020-07-10,32.0730705874428
2020-07-17,31.8377722335014
2020-07-24,31.7632109976875
2020-07-31,31.7312591004067
2020-08-07,31.6099980929749
2020-08-14,31.5558295215949
2020-08-21,31.5571521757581
2020-08-28,31.5927941410262
2020-09-04,31.3990554392248
2020-09-11,31.4326670070147
2020-09-18,31.4765114951151
2020-09-25,31.3683628983129
2020-10-02,31.371448805997
2020-10-09,31.3324451703894
2020-10-16,31.2731375517625
2020-10-23,31.240278713747
2020-10-30,31.0920226690444
2020-11-06,31.1117917077945
2020-11-13,31.1422967044547
2020-11-20,31.1981607158974
2020-11-27,31.1767053147757
2020-12-04,31.0758729241095
2020-12-11,31.1460524918083
2020-12-18,31.0688774876779
2020-12-25,31.1507125775451
2021-01-01,31.2225776086087
2021-01-08,31.3020467212081
2021-01-15,30.9836149194561
2021-01-22,30.6267185178582
2021-01-29,29.5652560983669
2021-02-05,29.7155682167709
2021-02-12,29.7374720780924
2021-02-19,29.6242055151352
2021-02-26,29.9615942882997
2021-03-05,30.0283070394668
2021-03-12,30.047606052015
2021-03-19,29.6044641109506
2021-03-26,29.3796860850881
2021-04-02,29.4290360164708
2021-04-09,29.3768483687965
2021-04-16,29.5194333087321
2021-04-23,29.413765968477
2021-04-30,29.6643483978984
2021-05-07,29.6753986258906
2021-05-14,29.6199198291731
2021-05-21,29.2750000602559
2021-05-28,28.6553826887874
2021-06-04,28.7429233875631
2021-06-11,28.7225071219064
2021-06-18,28.8677195793342
2021-06-25,28.9251202273939
2021-07-02,29.0017939754533
2021-07-09,28.9222070633059
2021-07-16,28.9276879532464
2021-07-23,28.8773769748267
2021-07-30,28.8261258938307
2021-08-06,28.9146119059358
