"Date","TCI","Num_Variables","Model_Success","Serial_Autocorrelation_p_value","Stability","Normality_p_value"
2012-06-22,19.8029698809675,2,1,0.792345056244289,TRUE,0
2012-06-29,18.6518794493395,2,1,0.610770816279997,TRUE,0
2012-07-06,18.5002581282462,2,1,0.642817339486662,TRUE,0
2012-07-13,18.3447757133825,2,1,0.553419801505667,TRUE,0
2012-07-20,19.0551635427512,2,1,0.626003900828327,TRUE,0
2012-07-27,19.1119106997784,2,1,0.517736009401249,TRUE,0
2012-08-03,18.685903428964,2,1,0.733252772862727,TRUE,0
2012-08-10,18.632629749099,2,1,0.662176825659057,TRUE,0
2012-08-17,18.4718510473214,2,1,0.7279234277224,TRUE,0
2012-08-24,18.1483005101728,2,1,0.674462189677264,TRUE,0
2012-08-31,18.1687781852956,2,1,0.641213210137545,TRUE,0
2012-09-07,18.129304050939,2,1,0.768152307095765,TRUE,0
2012-09-14,19.6470510252396,2,1,0.747115795966797,TRUE,0
2012-09-21,19.6975618723053,2,1,0.699926333788247,TRUE,0
2012-09-28,19.949994752921,2,1,0.404374251621238,TRUE,0
2012-10-05,19.4215380814484,2,1,0.404655124448873,TRUE,0
2012-10-12,19.3034861392396,2,1,0.585353531554921,TRUE,0
2012-10-19,18.0569931024754,2,1,0.669401728474703,TRUE,0
2012-10-26,17.8381059753231,2,1,0.553136268537835,TRUE,0
2012-11-02,17.8136116823509,2,1,0.428318291293861,TRUE,0
2012-11-09,17.2261768478572,2,1,0.490018827269863,TRUE,0
2012-11-16,15.4300162800678,2,1,0.586872386695765,TRUE,0
2012-11-23,14.94210809177,2,1,0.483530582864568,TRUE,0
2012-11-30,15.6828355497624,2,1,0.282722997548556,TRUE,0
2012-12-07,15.7818458621463,2,1,0.392534949471172,TRUE,0
2012-12-14,15.7667526013594,2,1,0.365441868356801,TRUE,0
2012-12-21,16.1790641656363,2,1,0.345520502621883,TRUE,0
2012-12-28,16.1220392216589,2,1,0.266471064479172,TRUE,0
2013-01-04,15.7313260615743,2,1,0.27041992261767,TRUE,0
2013-01-11,15.6529691570762,2,1,0.236223483883119,TRUE,0
2013-01-18,14.7277186362542,2,1,0.216589721003074,TRUE,0
2013-01-25,14.123701101603,2,1,0.134483335081754,TRUE,0
2013-02-01,13.6775483799721,2,1,0.223941349288556,TRUE,0
2013-02-08,13.9652876759531,2,1,0.230671618707396,TRUE,0
2013-02-15,6.26059761143135,2,1,0.54167938542129,TRUE,0
2013-02-22,5.06925113470041,2,1,0.431087185170143,TRUE,0
2013-03-01,5.66504977263064,2,1,0.938875358125794,TRUE,0
2013-03-08,3.77510684403273,2,1,0.749358035940682,TRUE,0
2013-03-15,3.83708097082785,2,1,0.785607566665756,TRUE,0
2013-03-22,3.80088421526427,2,1,0.943841994399293,TRUE,0
2013-04-05,3.78024188802238,2,1,0.827590637117632,TRUE,0
2013-04-12,3.6713039005868,2,1,0.950614175164147,TRUE,0
2013-04-19,3.94493002419816,2,1,0.989744734647748,TRUE,0
2013-04-26,3.93725127667285,2,1,0.779692330140727,TRUE,0
2013-05-03,3.93620041047646,2,1,0.768183308866294,TRUE,0
2013-05-10,3.94441271316432,2,1,0.20747682052512,TRUE,0
2013-05-17,3.9135820428484,2,1,0.672466786716876,TRUE,0
2013-05-24,3.8969662834564,2,1,0.315198093197901,TRUE,0
2013-05-31,3.69737797607579,2,1,0.471876011317684,TRUE,0
2013-06-07,3.57139199947109,2,1,0.662726511601157,TRUE,0
2013-06-14,3.62325421963357,2,1,0.668071991258449,TRUE,0
2013-06-21,3.61048809025009,2,1,0.473747365574794,TRUE,0
2013-06-28,3.49969681910548,2,1,0.91550428624428,TRUE,0
2013-07-05,3.41388496220094,2,1,0.464669000820013,TRUE,0
2013-07-12,3.41806445659479,2,1,0.400578998625447,TRUE,0
2013-07-19,3.34142644785135,2,1,0.416176338746612,TRUE,0
2013-07-26,3.36060067498944,2,1,0.533499511154469,TRUE,0
2013-08-02,3.36927539748478,2,1,0.643615380811592,TRUE,0
2013-08-09,3.48356299324987,2,1,0.407298900910783,TRUE,0
2013-08-16,3.43183223208615,2,1,0.551191541885652,TRUE,0
2013-08-23,3.5763466398493,2,1,0.328911069093322,TRUE,0
2013-08-30,3.72397300350818,2,1,0.29963700416078,TRUE,0
2013-09-06,3.32472566380889,2,1,0.176102193684406,TRUE,0
2013-09-13,3.35011386969078,2,1,0.153109160424569,TRUE,0
2013-09-20,3.33515518938622,2,1,0.227864118404319,TRUE,0
2013-09-27,3.23849873010509,2,1,0.158517084980052,TRUE,0
2013-10-04,3.27598625607074,2,1,0.197448841231263,TRUE,0
2013-10-11,3.04566867459051,2,1,0.183200186308792,TRUE,0
2013-10-18,2.81009423159794,2,1,0.265553946541916,TRUE,0
2013-10-25,2.78136800569451,2,1,0.201383707559523,TRUE,0
2013-11-01,2.75013632733489,2,1,0.268565009699712,TRUE,0
2013-11-08,2.76212796145636,2,1,0.185744247147907,TRUE,0
2013-11-15,2.73147230335729,2,1,0.0196394360341527,TRUE,0
2013-11-22,2.76605064923677,2,1,0.488538863887953,TRUE,0
2013-11-29,2.69525151965318,2,1,0.577307142898739,TRUE,0
2013-12-06,2.34560247338428,2,1,0.384595777687002,TRUE,0
2013-12-13,2.30939409253863,2,1,0.615526842766148,TRUE,0
2013-12-20,2.39279377312039,2,1,0.672323110821173,TRUE,0
2013-12-27,2.44475896994732,2,1,0.12345913897317,TRUE,0
2014-01-03,1.93531502543943,2,1,0.209749350275065,TRUE,0
2014-01-10,1.75479857454691,2,1,0.618676073107143,TRUE,0
2014-01-17,1.90643258679725,2,1,0.413611740388071,TRUE,0
2014-01-24,1.79749989508365,2,1,0.356780915732925,TRUE,0
2014-01-31,1.68240871884619,2,1,0.636246527806053,TRUE,0
2014-02-07,1.81076573502817,2,1,0.480211577206326,TRUE,0
2014-02-14,1.86884276908561,2,1,0.372575301112124,TRUE,0
2014-02-21,1.83927373328359,2,1,0.618199547744269,TRUE,0
2014-02-28,1.74739530947572,2,1,0.52946424705199,TRUE,0
2014-03-07,1.76286504660757,2,1,0.498285941518724,TRUE,0
2014-03-14,1.74659599637764,2,1,0.380988285177178,TRUE,0
2014-03-21,1.72669381050065,2,1,0.294694047104264,TRUE,0
2014-03-28,1.36457201622301,2,1,0.46244331280705,TRUE,0
2014-04-04,1.35142648439534,2,1,0.616683794904537,TRUE,0
2014-04-11,1.33324907587667,2,1,0.476983764180051,TRUE,0
2014-04-18,1.32435887859855,2,1,0.212601558524139,TRUE,0
2014-04-25,0.904785967048293,2,1,0.805537091177719,TRUE,0
2014-05-02,0.902005399522224,2,1,0.318992085044751,TRUE,0
2014-05-09,0.928192212512163,2,1,0.0508295502866007,TRUE,0
2014-05-16,0.617092480548913,2,1,0.0478032788828265,TRUE,0
2014-05-23,0.302698577524127,2,1,0.188741442347718,TRUE,0
2014-05-30,0.238304759413177,2,1,0.0034111488656885,TRUE,0
2014-06-06,0.0676879234402661,2,1,0.299908982251747,TRUE,0
2014-06-13,0.0290828554249552,2,1,0.164507504673208,TRUE,0
2014-06-20,0.0305579779262755,2,1,0.0715315563244056,TRUE,0
2014-06-27,0.0150463579232463,2,1,0.446341335455881,TRUE,0
2014-07-04,0.0335116620720213,2,1,0.302387441433449,TRUE,0
2014-07-11,0.01982647810804,2,1,0.0186979136494552,TRUE,0
2014-07-18,0.0213167433455464,2,1,0.197204836901666,TRUE,0
2014-07-25,0.0186510656091882,2,1,0.0456145535455859,TRUE,0
2014-08-01,0.0195965541492062,2,1,0.15741709659674,TRUE,0
2014-08-08,0.0199425084267552,2,1,0.274765132719315,TRUE,0
2014-08-15,0.031326683373653,2,1,0.223284528497548,TRUE,0
2014-08-22,0.0315094278187121,2,1,0.115390930920507,TRUE,0
2014-08-29,0.0432985398045376,2,1,0.0673399031973565,TRUE,0
2014-09-05,0.0471618050711632,2,1,0.159015008109591,TRUE,0
2014-09-12,0.0505864870263991,2,1,0.0891066704140311,TRUE,0
2014-09-19,0.0470825136703501,2,1,0.238947594441594,TRUE,0
2014-09-26,0.0703031783734912,2,1,0.342687246805086,TRUE,0
2014-10-03,0.075989219405612,2,1,0.0766663400293142,TRUE,0
2014-10-10,0.0895527658583774,2,1,0.0688097101744222,TRUE,0
2014-10-17,0.086987026022127,2,1,0.0662106165597399,TRUE,0
2014-10-24,0.0786019883309636,2,1,0.146416435590384,TRUE,0
2014-10-31,0.0721420453472228,2,1,0.17892396217237,TRUE,0
2014-11-07,0.0820158935530815,2,1,0.156840728669569,TRUE,0
2014-11-14,0.135937533727938,2,1,0.235589763991857,TRUE,0
2014-11-21,0.114055965261413,2,1,0.074886329728163,TRUE,0
2014-11-28,0.117721968381305,2,1,0.11863512841999,TRUE,0
2014-12-05,0.135439173156436,2,1,0.112609587729658,TRUE,0
2014-12-12,0.192768595244803,2,1,0.272249916083262,TRUE,0
2014-12-19,0.18054221922235,2,1,0.097602569016857,TRUE,0
2014-12-26,0.157732780295608,2,1,0.0901522078510221,TRUE,0
2015-01-02,0.15409924771368,2,1,0.0538488155738516,TRUE,0
2015-01-09,0.145090427333936,2,1,0.205365425392025,TRUE,0
2015-01-16,0.137265105323741,2,1,0.106803815445832,TRUE,0
2015-01-23,0.137333157259853,2,1,0.045356454764318,TRUE,0
2015-01-30,0.140196844561807,2,1,0.00038171692555633,TRUE,0
2015-02-06,0.419942682880517,2,1,0.11680320534265,TRUE,0
2015-02-13,0.455556513823829,2,1,0.0010813105128229,TRUE,0
2015-02-20,0.58541813900394,2,1,0.0650067308282702,TRUE,0
2015-02-27,0.590035592271983,2,1,0.0907910926723848,TRUE,0
2015-03-06,0.61261295277081,2,1,0.0507871897888154,TRUE,0
2015-03-13,0.647161161585847,2,1,0.0333673632209333,TRUE,0
2015-03-20,0.641005223019836,2,1,0.00876371565671241,TRUE,0
2015-03-27,0.678608360218038,2,1,0.0618086297141409,TRUE,0
2015-04-03,0.648712199438806,2,1,0.000404382153603944,TRUE,0
2015-04-10,0.680256499493955,2,1,0.00529096492618342,TRUE,0
2015-04-17,0.697562743740357,2,1,0.000611849340461323,TRUE,0
2015-04-24,1.00809308166028,2,1,0.109104405280659,TRUE,0
2015-05-01,0.954099523513883,2,1,0.00148951672743869,TRUE,0
2015-05-08,1.0212761623173,2,1,0.0184788497453021,TRUE,0
2015-05-15,1.0835158598505,2,1,0.0123849998522413,TRUE,0
2015-05-22,0.993317718083822,2,1,0.00433825049227687,TRUE,0
2015-05-29,0.976310513400972,2,1,0.00138610949544238,TRUE,0
2015-06-05,1.02883516007716,2,1,0.056186561784116,TRUE,0
2015-06-12,0.942160598098026,2,1,0.000174953149104207,TRUE,0
2015-06-19,1.21135202188933,2,1,0.00262300493898471,TRUE,0
2015-06-26,1.17248894803973,2,1,0.0124154728519184,TRUE,0
2015-07-03,1.20165353375367,2,1,6.99023772199325e-09,TRUE,0
2015-07-10,0.151524648038985,2,1,0.000523643227740456,TRUE,0
2015-07-17,0.199880680842302,2,1,0.0167176806656548,TRUE,0
2015-07-24,0.662742814107508,2,1,8.73310921734038e-06,TRUE,0
2015-07-31,0.135365516067409,2,1,0.0397620151482596,TRUE,0
2015-08-07,0.370610334907543,2,1,0.931455724239866,TRUE,0
2015-08-14,0.411303985410166,2,1,0.0175799560095481,TRUE,0
2015-08-21,0.56632244575966,2,1,0.63982190476284,TRUE,0
2015-08-28,0.477439491189692,2,1,1.93450699903508e-10,TRUE,0
2015-09-04,3.79256596604405,2,1,0.577521094135305,TRUE,0
2015-09-11,4.11503131325446,2,1,0.825577198413081,TRUE,0
2015-09-18,4.85735940169669,2,1,0.242519372114383,TRUE,0
2015-09-25,4.90212212059188,2,1,0.589898734148666,TRUE,0
2015-10-02,4.89228017510749,2,1,0.790974668020763,TRUE,0
2015-10-09,4.92348261433564,2,1,0.532935414825839,TRUE,0
2015-10-16,4.51607063403458,2,1,0.467418990238326,TRUE,0
2015-10-23,4.2911686263391,2,1,0.0354924789807933,TRUE,0
