"Date","Positive"
2018-01-12,4.26747951167154
2018-01-19,22.1079280010954
2018-01-26,32.7851243203325
2018-02-02,51.8297838623664
2018-02-09,46.1380589354915
2018-02-16,49.8330878505818
2018-02-23,46.2248795009982
2018-03-02,54.5658821190526
2018-03-09,51.835599887278
2018-03-16,52.852865846294
2018-03-23,61.2432911971928
2018-03-30,54.8664496619257
2018-04-06,52.2157506151386
2018-04-13,55.790566497842
2018-04-20,62.7525278130009
2018-04-27,45.5753931549874
2018-05-04,41.5300221050207
2018-05-11,53.9436404118242
2018-05-18,47.613644957144
2018-05-25,57.1019697634553
2018-06-01,51.0271518278032
2018-06-08,53.8598279776718
2018-06-15,49.4875360635708
2018-06-22,51.0058499558566
2018-06-29,49.3542731494016
2018-07-06,48.8635030483006
2018-07-13,43.8039304902388
2018-07-20,31.2476841990723
2018-07-27,29.1356699761133
2018-08-03,30.3257926045774
2018-08-10,31.6588372624238
2018-08-17,30.0071717953758
2018-08-24,32.1702382217798
2018-08-31,31.9579583415506
2018-09-07,33.014908653839
2018-09-14,32.9758875881217
2018-09-21,33.6064872686199
2018-09-28,32.9656226028367
2018-10-05,32.9143471124523
2018-10-12,33.0716045837794
2018-10-19,33.2102498154628
2018-10-26,33.620629266248
2018-11-02,32.821206169631
2018-11-09,32.2153599020922
2018-11-16,33.7900926906496
2018-11-23,35.0023362978976
2018-11-30,33.7110725979026
2018-12-07,32.8916251381107
2018-12-14,32.9119036355391
2018-12-21,34.9036810087795
2018-12-28,30.5941297462893
2019-01-04,28.3657099384399
2019-01-11,27.2924149742517
2019-01-18,27.8507748306404
2019-01-25,27.1294396118244
2019-02-01,27.2663961268447
2019-02-08,27.0366583079782
2019-02-15,24.8867433646678
2019-02-22,24.114220251678
2019-03-01,25.7370599986141
2019-03-08,24.6087720768229
2019-03-15,24.5805698336431
2019-03-22,24.5392612616534
2019-03-29,23.5349652789109
2019-04-05,23.1090965581611
2019-04-12,22.4408402390218
2019-04-19,21.4636477969016
2019-04-26,21.3785107887527
2019-05-03,19.3671423162304
2019-05-10,18.9544527045043
2019-05-17,18.338280861087
2019-05-24,18.2108413448878
2019-05-31,17.747764375255
2019-06-07,17.7121896184373
2019-06-14,17.7880470257177
2019-06-21,17.7064666536033
2019-06-28,17.182337335591
2019-07-05,16.9886252667415
2019-07-12,17.3599705243514
2019-07-19,16.925046713924
2019-07-26,16.6715254700787
2019-08-02,16.7049062398496
2019-08-09,17.0550326416623
2019-08-16,15.5227314916123
2019-08-23,15.7367285901836
2019-08-30,14.8791562129301
2019-09-06,14.3823574309765
2019-09-13,14.1814118417986
2019-09-20,14.0121208628085
2019-09-27,13.0768034504624
2019-10-04,12.628191469701
2019-10-11,13.1318675378209
2019-10-18,13.8760088048129
2019-10-25,13.6453952845982
2019-11-01,13.5530314933026
2019-11-08,12.3254272711326
2019-11-15,11.9504383794618
2019-11-22,12.0426463639499
2019-11-29,12.3722641469101
2019-12-06,12.2462702809127
2019-12-13,12.4639075578167
2019-12-20,13.943899523072
2019-12-27,10.6957127187845
2020-01-03,10.7902196504469
2020-01-10,10.6546716619948
2020-01-17,10.1892725736112
2020-01-24,10.2938503718938
2020-01-31,10.3376541153175
2020-02-07,10.0831944454431
2020-02-14,10.0011237900742
2020-02-21,10.0367029800781
2020-02-28,10.2521722321635
2020-03-06,10.4706181753312
2020-03-13,10.705498821995
2020-03-20,11.0148300801029
2020-03-27,10.6966054051586
2020-04-03,11.0563359259396
2020-04-10,11.073737115634
2020-04-17,11.226588093998
2020-04-24,11.2224166584767
2020-05-01,11.3438495884508
2020-05-08,11.2375001799463
2020-05-15,11.4259499689047
2020-05-22,10.9663033203363
2020-05-29,10.8020474404551
2020-06-05,10.8590841174405
2020-06-12,9.679084682004
2020-06-19,9.15909508822024
2020-06-26,9.15089092546563
2020-07-03,9.19924579818021
2020-07-10,9.30554371436514
2020-07-17,9.47355414556063
2020-07-24,9.64084732552104
2020-07-31,9.72439192677607
2020-08-07,9.89404695042786
2020-08-14,10.0642870024759
2020-08-21,9.99061524001675
2020-08-28,10.3508005417535
2020-09-04,10.4611636446738
2020-09-11,10.5766404811616
2020-09-18,10.483644716867
2020-09-25,10.4590662582971
2020-10-02,10.5596970247203
2020-10-09,10.7734756467598
2020-10-16,10.9384105144849
2020-10-23,10.9802997894211
2020-10-30,10.9982679500681
2020-11-06,10.900182844489
2020-11-13,10.7950226888969
2020-11-20,10.932213065819
2020-11-27,11.0569133506519
2020-12-04,11.2061530586606
2020-12-11,10.7503394483189
2020-12-18,11.9174249705106
2020-12-25,11.8670423373061
2021-01-01,11.9408233744187
2021-01-08,11.9831084730533
2021-01-15,11.9938406814423
2021-01-22,11.5804190306691
2021-01-29,11.6519147297725
2021-02-05,11.7300902087109
2021-02-12,11.4540217376644
2021-02-19,11.0871476771253
2021-02-26,11.0489138541294
2021-03-05,11.0086559111272
2021-03-12,11.047925195751
2021-03-19,10.8832504125292
2021-03-26,10.850100099641
2021-04-02,10.9442428880617
2021-04-09,11.2680239819308
2021-04-16,11.1240277950133
2021-04-23,11.021164781587
2021-04-30,10.9062658445224
2021-05-07,11.0351861013756
2021-05-14,10.8204826283447
2021-05-21,10.8878307364068
2021-05-28,11.1419949441772
2021-06-04,11.0116884746421
2021-06-11,11.9506623931171
2021-06-18,11.7417500673079
2021-06-25,12.0789423999099
2021-07-02,12.8370822882105
2021-07-09,13.4044997098647
2021-07-16,12.7958414099646
2021-07-23,12.7223105106655
2021-07-30,12.9269269831456
2021-08-06,13.186808896872
