"","New Zealand Emissions Trading System","European Union Emissions Trading System","Korean Emissions Trading System","United Kingdom Emissions Trading Scheme","China National Emissions Trading System","Hubei (Pilot) Emissions Trading System"
"117",10.1062007536828,15.68,NA,NA,NA,NA
"118",10.2005631860238,15.69,NA,NA,NA,NA
"119",10.2052549876387,15.27,NA,NA,NA,NA
"120",10.2821062387766,15.23,NA,NA,NA,NA
"121",9.97126436781609,15.21,NA,NA,NA,NA
"122",9.99942366434211,15.14,NA,NA,NA,NA
"123",10.2476762311645,15.26,NA,NA,NA,NA
"124",10.3409090909091,15.05,NA,NA,NA,NA
"125",10.1903695408735,15.08,NA,NA,NA,NA
"126",10.0363957207456,15.09,NA,NA,NA,NA
"127",9.983543609435,15.17,NA,NA,NA,NA
"128",10.0021982853374,15.11,NA,NA,NA,NA
"129",10.0148572057448,15.14,NA,NA,NA,NA
"130",10.1336302895323,14.8,NA,NA,NA,NA
"131",10.3159071847917,14.44,NA,NA,NA,NA
"132",10.3246497496202,14.6,NA,NA,NA,NA
"133",10.3736785572955,14.05,NA,NA,NA,NA
"134",10.3777853184029,13.94,NA,NA,NA,NA
"135",10.4314706383946,13.6,NA,NA,NA,NA
"136",10.3380281690141,13.79,NA,NA,NA,NA
"137",10.0907341215287,14.28,NA,NA,NA,NA
"138",10.0114572535327,14.33,NA,NA,NA,NA
"139",10.2165803685764,14.19,NA,NA,NA,NA
"140",10.2578412769282,13.85,NA,NA,NA,NA
"141",10.3380392598009,14.09,NA,NA,NA,NA
"142",10.3607666290868,14.04,NA,NA,NA,NA
"143",10.3824210585776,13.66,NA,NA,NA,NA
"144",10.3748024384737,13.48,NA,NA,NA,NA
"145",10.3050011213277,13.58,NA,NA,NA,NA
"146",10.1805694029024,13.92,NA,NA,NA,NA
"147",10.2128132466522,13.96,NA,NA,NA,NA
"148",10.2162192207215,14.29,NA,NA,NA,NA
"149",10.1969486823856,14.34,NA,NA,NA,NA
"150",10.2721734756609,14.26,NA,NA,NA,NA
"151",10.1839539007092,14.26,NA,NA,NA,NA
"152",10.1563795104161,14.11,NA,NA,NA,NA
"153",10.1323042998897,14.32,NA,NA,NA,NA
"154",10.1962293189688,14.38,NA,NA,NA,NA
"155",10.3118572460948,14.33,NA,NA,NA,NA
"156",10.2593883081688,14.23,NA,NA,NA,NA
"157",10.2718865939421,14.4,NA,NA,NA,NA
"158",10.2406978028045,14.31,NA,NA,NA,NA
"159",10.2650655746777,14.39,NA,NA,NA,NA
"160",10.3112840466926,14.27,NA,NA,NA,NA
"161",10.2367419016611,14.61,NA,NA,NA,NA
"162",10.3210371112224,14.94,NA,NA,NA,NA
"163",10.3689211850196,14.84,NA,NA,NA,NA
"164",10.3239091718611,14.77,NA,NA,NA,NA
"165",10.2599557522124,15.23,NA,NA,NA,NA
"166",10.2571191595245,15.27,NA,NA,NA,NA
"167",10.3394459617636,15.18,NA,NA,NA,NA
"168",10.3619707295274,15.3,NA,NA,NA,NA
"169",10.233918128655,15.26,NA,NA,NA,NA
"170",10.5696484201157,15.27,NA,NA,NA,NA
"171",10.5926297597146,15.66,NA,NA,NA,NA
"172",10.6258039259549,15.63,NA,NA,NA,NA
"173",10.6771565046361,15.67,NA,NA,NA,NA
"174",10.7746399001928,15.64,NA,NA,NA,NA
"175",10.8169655565044,15.61,NA,NA,NA,NA
"176",10.8608665828284,15.46,NA,NA,NA,NA
"177",10.9277046068902,15.13,NA,NA,NA,NA
"178",10.8354719133162,15.31,NA,NA,NA,NA
"179",10.7381033118571,15.18,NA,NA,NA,NA
"180",10.6615790359688,15.32,NA,NA,NA,NA
"181",11.3554533872487,15.17,NA,NA,NA,NA
"182",11.4161608286462,15.2,NA,NA,NA,NA
"183",11.4743087428635,15,NA,NA,NA,NA
"184",11.3341073699342,14.78,NA,NA,NA,NA
"185",11.3153391841916,14.93,NA,NA,NA,NA
"186",11.228569863614,14.82,NA,NA,NA,NA
"187",11.1710533485914,15.19,NA,NA,NA,NA
"188",11.196067722556,15.27,NA,NA,NA,NA
"189",11.1759254211416,15.57,NA,NA,NA,NA
"190",11.1056936995504,15.57,NA,NA,NA,NA
"191",10.4559663684381,15.45,NA,NA,NA,NA
"192",10.4842196281885,15.22,NA,NA,NA,NA
"193",10.5046567034871,15.23,NA,NA,NA,NA
"194",10.5012449929631,15.44,NA,NA,NA,NA
"195",10.475161987041,15.51,NA,NA,NA,NA
"196",10.4587848401531,15.43,NA,NA,NA,NA
"197",10.5326022042456,15.52,NA,NA,NA,NA
"198",10.5149051490515,15.67,NA,NA,NA,NA
"199",10.5280295218972,15.65,NA,NA,NA,NA
"200",10.5733594942228,15.68,NA,NA,NA,NA
"201",10.4627332542336,15.48,NA,NA,NA,NA
"202",10.4989717501894,15.44,NA,NA,NA,NA
"203",10.5406139635968,15.27,NA,NA,NA,NA
"204",10.516615167778,15.12,NA,NA,NA,NA
"205",10.4842196281885,15.01,NA,NA,NA,NA
"206",10.4082837062074,14.98,NA,NA,NA,NA
"207",10.3898886032562,14.91,NA,NA,NA,NA
"208",NA,15.15,NA,NA,NA,NA
"209",10.4949959426562,15.01,NA,NA,NA,NA
"210",10.8624986455737,15,NA,NA,NA,NA
"211",10.8495670995671,14.86,NA,NA,NA,NA
"212",11.0322438648619,14.63,NA,NA,NA,NA
"213",11.0877619863961,14.62,NA,NA,NA,NA
"214",11.0304230621115,14.65,NA,NA,NA,NA
"215",11.0486581804155,14.76,NA,NA,NA,NA
"216",11.2249468144665,14.41,NA,NA,NA,NA
"217",11.5930509821733,14.43,NA,NA,NA,NA
"218",11.5621991959685,14.19,NA,NA,NA,NA
"219",11.8684299762631,14.26,NA,NA,NA,NA
"220",11.9589977220957,14.49,NA,NA,NA,NA
"221",11.9986287281454,14.78,NA,NA,NA,NA
"222",11.8845500848896,14.91,NA,NA,NA,NA
"223",11.9583167245601,15.05,NA,NA,NA,NA
"224",11.9583167245601,14.68,NA,NA,NA,NA
"225",11.9433543763863,14.89,NA,NA,NA,NA
"226",11.9856172592889,14.98,NA,NA,NA,NA
"227",11.9726339794755,14.9,NA,NA,NA,NA
"228",11.9284294234592,15.06,NA,NA,NA,NA
"229",11.9338523611979,14.95,NA,NA,NA,NA
"230",11.8694362017804,15.15,NA,NA,NA,NA
"231",11.8484762176018,15.08,NA,NA,NA,NA
"232",11.7826998243925,15.02,NA,NA,NA,NA
"233",10.8188133469992,14.96,NA,NA,NA,NA
"234",11.8683834048641,14.66,NA,NA,NA,NA
"235",11.7304729845381,14.84,NA,NA,NA,NA
"236",11.4148735802751,14.82,NA,NA,NA,NA
"237",11.4279184046626,14.68,NA,NA,NA,NA
"238",12.2708524289643,14.81,NA,NA,NA,NA
"239",12.2476985533764,14.73,NA,NA,NA,NA
"240",12.0682855372134,14.63,NA,NA,NA,NA
"241",12.1256722332296,14.53,NA,NA,NA,NA
"242",12.1208691715708,14.51,NA,NA,NA,NA
"243",11.7926126736699,14.51,NA,NA,NA,NA
"244",11.754109434812,14.42,NA,NA,NA,NA
"245",11.6758933064922,14.24,NA,NA,NA,NA
"246",11.3886560491757,14.27,NA,NA,NA,NA
"247",11.4013986013986,13.96,NA,NA,NA,NA
"248",11.5362843880901,13.72,NA,NA,NA,NA
"249",11.5802034206489,13.85,NA,NA,NA,NA
"250",11.511199319535,13.96,NA,NA,NA,NA
"251",11.578166885302,13.78,NA,NA,NA,NA
"252",11.6165951359084,NA,NA,NA,NA,NA
"253",NA,13.65,NA,NA,NA,NA
"254",NA,13.7,NA,NA,NA,NA
"255",11.7845117845118,13.86,NA,NA,NA,NA
"256",11.7838277123121,13.8,NA,NA,NA,NA
"257",11.8477880238123,NA,NA,NA,NA,NA
"258",NA,13.8,NA,NA,NA,NA
"259",NA,14.05,NA,NA,NA,NA
"260",11.7280027731238,14.19,NA,NA,NA,NA
"261",11.8215699976706,14.4,NA,NA,NA,NA
"262",11.9820564278125,14.34,NA,NA,NA,NA
"263",11.9820564278125,14.13,NA,NA,NA,NA
"264",11.9166422072204,13.99,NA,NA,NA,NA
"265",11.7947824066004,13.89,NA,NA,NA,NA
"266",11.7259704251386,13.99,NA,NA,NA,NA
"267",11.6572872401516,14.08,NA,NA,NA,NA
"268",11.8030118030118,14.23,NA,NA,NA,NA
"269",11.7083862037144,14.27,NA,NA,NA,NA
"270",11.043717097734,14.21,NA,NA,NA,NA
"271",10.8775291664318,14.11,NA,NA,NA,NA
"272",10.7616817218691,14.19,NA,NA,NA,NA
"273",NA,14.3,NA,NA,NA,NA
"274",10.8228025835439,14.39,NA,NA,NA,NA
"275",10.8642949766026,14.73,NA,NA,NA,NA
"276",10.8622242233228,14.42,NA,NA,NA,NA
"277",11.0139661632792,14.42,NA,NA,NA,NA
"278",NA,14.57,NA,NA,NA,NA
"279",10.7824319747093,14.51,NA,NA,NA,NA
"280",10.778172789346,14.7,NA,NA,NA,NA
"281",10.8344205570367,14.43,NA,NA,NA,NA
"282",10.8105048675572,14.35,NA,NA,NA,NA
"283",10.8252097030152,14.28,NA,NA,NA,NA
"284",10.8584422967595,14.44,NA,NA,NA,NA
"285",10.7393871239809,14.45,NA,NA,NA,NA
"286",10.8896996912714,14.4,NA,NA,NA,NA
"287",10.8921453034642,14.48,NA,NA,NA,NA
"288",10.8433058036968,14.45,NA,NA,NA,NA
"289",10.7568832906031,14.46,NA,NA,NA,NA
"290",10.7646829159462,14.51,NA,NA,NA,NA
"291",10.7640825432236,14.58,NA,NA,NA,NA
"292",10.6637710212719,14.7,NA,NA,NA,NA
"293",10.7060994018002,14.74,NA,NA,NA,NA
"294",10.4856814324043,14.99,NA,NA,NA,NA
"295",10.1846822379142,14.9,NA,NA,NA,NA
"296",10.1648053778597,14.95,NA,NA,NA,NA
"297",10.2475815707493,14.98,NA,NA,NA,NA
"298",10.2302487996508,15.03,NA,NA,NA,NA
"299",10.180811207037,14.95,NA,NA,NA,NA
"300",10.0638720412216,15.1,NA,NA,NA,NA
"301",9.95487125033183,14.85,NA,NA,NA,NA
"302",10.5691486550758,15.44,NA,NA,NA,NA
"303",10.6018249907696,14.9,NA,NA,NA,NA
"304",10.6983180753673,14.9,NA,NA,NA,NA
"305",10.6670912275115,14.9,NA,NA,NA,NA
"306",10.7142857142857,15.43,NA,NA,NA,NA
"307",10.7100781835707,15.42,NA,NA,NA,NA
"308",10.571639898563,15.03,NA,NA,NA,NA
"309",10.4594636976635,16.3,NA,NA,NA,NA
"310",10.3775541956229,16.4,NA,NA,NA,NA
"311",10.8260646485377,16.23,NA,NA,NA,NA
"312",10.8931337119257,16.1,NA,NA,NA,NA
"313",10.9275467398622,16.1,NA,NA,NA,NA
"314",11.0286431110182,16.1,NA,NA,NA,NA
"315",11.104678701121,16.25,NA,NA,NA,NA
"316",11.160478155083,16.05,NA,NA,NA,NA
"317",11.2894596040663,16.4,NA,NA,NA,NA
"318",11.2593383137673,16.55,NA,NA,NA,NA
"319",11.3349449368789,16.4,NA,NA,NA,NA
"320",11.3943190409331,16.2,NA,NA,NA,NA
"321",11.345305946876,16.45,NA,NA,NA,NA
"322",11.38509685426,16.83,NA,NA,NA,NA
"323",11.4103396063162,16.59,NA,NA,NA,NA
"324",10.9212802768166,16.28,NA,NA,NA,NA
"325",10.9854252773548,16.43,NA,NA,NA,NA
"326",11.0099743827329,16.45,NA,NA,NA,NA
"327",10.9313274527842,16.43,NA,NA,NA,NA
"328",10.9408005199588,16.18,NA,NA,NA,NA
"329",11.0527171262935,16.15,NA,NA,NA,NA
"330",11.1566858080394,16.03,NA,NA,NA,NA
"331",11.1897317755471,16.1,NA,NA,NA,NA
"332",11.3063237820762,16.45,NA,NA,NA,NA
"333",11.2531258682967,16.17,NA,NA,NA,NA
"334",11.1429043085897,16.11,NA,NA,NA,NA
"335",11.1184318893098,16.2,NA,NA,NA,NA
