"Date","TCI","Model_Success","Num_Variables","Serial_Autocorrelation_p_value","Stability","Normality_p_value"
2013-11-22,1.24953738827332,1,2,NA,NA,NA
2013-11-29,0.879159551572348,1,2,NA,NA,NA
2013-12-06,0.498225439330964,1,2,NA,NA,NA
2013-12-13,0.219993662406772,1,2,NA,NA,NA
2013-12-20,0.154997941181848,1,2,NA,NA,NA
2013-12-27,0.161629401047787,1,2,NA,NA,NA
2014-01-03,0.0848349005442908,1,2,NA,NA,NA
2014-01-10,0.0827086823605998,1,2,NA,NA,NA
2014-01-17,0.0934121969487629,1,2,NA,NA,NA
2014-01-24,0.100772925105967,1,2,NA,NA,NA
2014-01-31,0.0756713985302775,1,2,NA,NA,NA
2014-02-07,0.121331126026874,1,2,NA,NA,NA
2014-02-14,0.105955362187013,1,2,NA,NA,NA
2014-02-21,0.100238025682362,1,2,NA,NA,NA
2014-02-28,0.162745784754943,1,2,NA,NA,NA
2014-03-07,0.178451011431735,1,2,NA,NA,NA
2014-03-14,0.168671973888106,1,2,NA,NA,NA
2014-03-21,0.180804249015276,1,2,NA,NA,NA
2014-03-28,0.143534850307818,1,2,NA,NA,NA
2014-04-04,0.134199504929685,1,2,NA,NA,NA
2014-04-11,0.148309315506386,1,2,NA,NA,NA
2014-04-18,0.161121086341636,1,2,NA,NA,NA
2014-04-25,0.15468789164416,1,2,NA,NA,NA
2014-05-02,0.136076186187497,1,2,NA,NA,NA
2014-05-09,0.123376053715278,1,2,NA,NA,NA
2014-05-16,0.18481827153155,1,2,NA,NA,NA
2014-05-23,0.149053190221738,1,2,NA,NA,NA
2014-05-30,0.116290024580496,1,2,NA,NA,NA
2014-06-06,0.0817761631049739,1,2,NA,NA,NA
2014-06-13,0.0805487770551951,1,2,NA,NA,NA
2014-06-20,0.127035443195037,1,2,NA,NA,NA
2014-06-27,0.156092143453565,1,2,NA,NA,NA
2014-07-04,0.145708926090234,1,2,NA,NA,NA
2014-07-11,0.141380952302907,1,2,NA,NA,NA
2014-07-18,0.14790170545741,1,2,NA,NA,NA
2014-07-25,0.147723194220539,1,2,NA,NA,NA
2014-08-01,0.14977940653692,1,2,NA,NA,NA
2014-08-08,0.1416963135152,1,2,NA,NA,NA
2014-08-15,0.445685263161628,1,2,NA,NA,NA
2014-08-22,0.472486405934375,1,2,NA,NA,NA
2014-08-29,0.592470206685195,1,2,NA,NA,NA
2014-09-05,0.613033237636474,1,2,NA,NA,NA
2014-09-12,0.61955053668479,1,2,NA,NA,NA
2014-09-19,0.582828970921513,1,2,NA,NA,NA
2014-09-26,0.604048714279426,1,2,NA,NA,NA
2014-10-03,0.615902114743377,1,2,NA,NA,NA
2014-10-10,0.590683824880239,1,2,NA,NA,NA
2014-10-17,0.643771436706117,1,2,NA,NA,NA
2014-10-24,0.705637769067468,1,2,NA,NA,NA
2014-10-31,0.913493211606269,1,2,NA,NA,NA
2014-11-07,0.812318222408506,1,2,NA,NA,NA
2014-11-14,0.899338530858303,1,2,NA,NA,NA
2014-11-21,0.955817567173068,1,2,NA,NA,NA
2014-11-28,0.976233524148419,1,2,NA,NA,NA
2014-12-05,1.09147388258257,1,2,NA,NA,NA
2014-12-12,1.11936976966604,1,2,NA,NA,NA
2014-12-19,1.10947804837664,1,2,NA,NA,NA
2014-12-26,1.42549707989539,1,2,NA,NA,NA
2015-01-02,1.32821455573123,1,2,NA,NA,NA
2015-01-09,1.33542795723227,1,2,NA,NA,NA
2015-01-16,0.183432319613111,1,2,NA,NA,NA
2015-01-23,0.187407882983621,1,2,NA,NA,NA
2015-01-30,0.72369303979472,1,2,NA,NA,NA
2015-02-06,0.201903255085074,1,2,NA,NA,NA
2015-02-13,0.477952256928092,1,2,NA,NA,NA
2015-02-20,0.462952676567297,1,2,NA,NA,NA
2015-02-27,0.623275141113057,1,2,NA,NA,NA
2015-03-06,0.546830290323997,1,2,NA,NA,NA
2015-03-13,4.91669042894103,1,2,NA,NA,NA
2015-03-20,5.49262076112743,1,2,NA,NA,NA
2015-03-27,6.38128473038209,1,2,NA,NA,NA
2015-04-03,6.52116964304998,1,2,NA,NA,NA
2015-04-10,6.5362525266953,1,2,NA,NA,NA
2015-04-17,6.44379584326269,1,2,NA,NA,NA
2015-04-24,5.98392865273073,1,2,NA,NA,NA
2015-05-01,5.83835440374535,1,2,NA,NA,NA
2015-05-08,6.95405507695067,1,2,NA,NA,NA
2015-05-15,7.03437741231388,1,2,NA,NA,NA
2015-05-22,6.25673469191498,1,2,NA,NA,NA
2015-05-29,6.15415396760282,1,2,NA,NA,NA
2015-06-05,6.01259800677483,1,2,NA,NA,NA
2015-06-12,5.59104627943138,1,2,NA,NA,NA
2015-06-19,4.48025311926091,1,2,NA,NA,NA
2015-06-26,4.44787123318662,1,2,NA,NA,NA
2015-07-03,4.77404016797015,1,2,NA,NA,NA
2015-07-10,5.39511383922567,1,2,NA,NA,NA
2015-07-17,5.34036004841254,1,2,NA,NA,NA
2015-07-24,5.31900419059208,1,2,NA,NA,NA
2015-07-31,4.18894166529456,1,2,NA,NA,NA
2015-08-07,4.3319438489178,1,2,NA,NA,NA
2015-08-14,4.39865938874523,1,2,NA,NA,NA
2015-08-21,4.79985670096607,1,2,NA,NA,NA
2015-08-28,4.89795022286941,1,2,NA,NA,NA
2015-09-04,4.01410020984147,1,2,NA,NA,NA
2015-09-11,3.44266319376465,1,2,NA,NA,NA
2015-09-18,3.40437636601163,1,2,NA,NA,NA
2015-09-25,3.19957985793878,1,2,NA,NA,NA
2015-10-02,3.40235499227803,1,2,NA,NA,NA
2015-10-09,3.52875350433078,1,2,NA,NA,NA
2015-10-16,3.3664862686871,1,2,NA,NA,NA
2015-10-23,3.01333846611745,1,2,NA,NA,NA
2015-10-30,1.86556086779589,1,2,NA,NA,NA
2015-11-06,1.77188067967946,1,2,NA,NA,NA
2015-11-13,1.9238693799043,1,2,NA,NA,NA
2015-11-20,1.90692484793198,1,2,NA,NA,NA
2015-11-27,1.74271317271296,1,2,NA,NA,NA
2015-12-04,1.78172170196211,1,2,NA,NA,NA
2015-12-11,2.50098162715398,1,2,NA,NA,NA
2015-12-18,2.48155881527708,1,2,NA,NA,NA
2015-12-25,1.91543643198084,1,2,NA,NA,NA
2016-01-08,3.20465578477406,1,2,NA,NA,NA
2016-01-15,2.98920464068823,1,2,NA,NA,NA
2016-01-22,2.71552446293968,1,2,NA,NA,NA
2016-01-29,2.50835676032242,1,2,NA,NA,NA
2016-02-05,2.22659919446855,1,2,NA,NA,NA
2016-02-12,1.92376024471901,1,2,NA,NA,NA
2016-02-19,1.77444918203982,1,2,NA,NA,NA
2016-02-26,2.92470509662782,1,2,NA,NA,NA
2016-03-04,3.18175429218098,1,2,NA,NA,NA
2016-03-11,4.27774242166403,1,3,NA,NA,NA
2016-03-18,4.38393788425423,1,3,NA,NA,NA
2016-03-25,4.34816298570262,1,3,NA,NA,NA
2016-04-01,4.35383281791656,1,3,NA,NA,NA
2016-04-08,3.99731927414071,1,3,NA,NA,NA
2016-04-15,2.05163478884785,1,3,NA,NA,NA
2016-04-22,3.05146793011696,1,3,NA,NA,NA
2016-04-29,3.42730501852718,1,3,NA,NA,NA
2016-05-06,3.16082933501466,1,3,NA,NA,NA
2016-05-13,3.59451779818131,1,3,NA,NA,NA
2016-05-20,3.64186231766238,1,3,NA,NA,NA
2016-05-27,3.92286766286487,1,3,NA,NA,NA
2016-06-03,3.94497542871231,1,3,NA,NA,NA
2016-06-10,3.85781649533544,1,3,NA,NA,NA
2016-06-17,3.89441234061811,1,3,NA,NA,NA
2016-06-24,3.96164631699691,1,3,NA,NA,NA
2016-07-01,3.95223752716538,1,3,NA,NA,NA
2016-07-08,3.99266653796379,1,3,NA,NA,NA
2016-07-15,5.08680470921615,1,3,NA,NA,NA
2016-07-22,5.82642801948299,1,3,NA,NA,NA
2016-07-29,6.57126362953808,1,3,NA,NA,NA
2016-08-05,7.10498376860392,1,3,NA,NA,NA
2016-08-12,6.51272275099096,1,3,NA,NA,NA
2016-08-19,6.40284116215658,1,3,NA,NA,NA
2016-08-26,6.46193669210135,1,3,NA,NA,NA
2016-09-02,6.50526324339791,1,3,NA,NA,NA
2016-09-09,6.4694713157959,1,3,NA,NA,NA
2016-09-16,6.48036070022891,1,3,NA,NA,NA
2016-09-23,6.35958418067058,1,3,NA,NA,NA
2016-09-30,5.9776861022997,1,3,NA,NA,NA
2016-10-07,5.80447655690191,1,3,NA,NA,NA
2016-10-14,5.61917340169613,1,3,NA,NA,NA
2016-10-21,5.70913212618214,1,3,NA,NA,NA
2016-10-28,5.6871133689716,1,3,NA,NA,NA
2016-11-04,5.68750983311743,1,3,NA,NA,NA
2016-11-11,5.92325102287611,1,3,NA,NA,NA
2016-11-18,6.21946046887974,1,3,NA,NA,NA
2016-11-25,5.89156806083088,1,3,NA,NA,NA
2016-12-02,6.74592104145377,1,3,NA,NA,NA
2016-12-09,6.97325296398882,1,3,NA,NA,NA
2016-12-16,7.7931854522456,1,4,NA,NA,NA
2016-12-23,7.51247923507223,1,5,NA,NA,NA
2016-12-30,7.02477928464549,1,5,NA,NA,NA
2017-01-06,6.60313077117335,1,5,NA,NA,NA
2017-01-13,6.0512608712781,1,5,NA,NA,NA
2017-01-20,5.89052604896809,1,5,NA,NA,NA
2017-01-27,5.74125288792878,1,5,NA,NA,NA
2017-02-03,5.76845929864931,1,5,NA,NA,NA
2017-02-10,5.14837407473544,1,5,NA,NA,NA
2017-02-17,5.23236893498637,1,5,NA,NA,NA
2017-02-24,5.31434513012253,1,5,NA,NA,NA
2017-03-03,5.38733323978798,1,5,NA,NA,NA
2017-03-10,5.27851475780485,1,5,NA,NA,NA
2017-03-17,5.49421061263753,1,5,NA,NA,NA
2017-03-24,5.34227626826696,1,5,NA,NA,NA
2017-03-31,5.68291834770414,1,5,NA,NA,NA
2017-04-07,5.35334672320256,1,5,NA,NA,NA
2017-04-14,5.47958884145505,1,5,NA,NA,NA
2017-04-21,4.74190546806131,1,5,NA,NA,NA
2017-04-28,4.5508757962379,1,5,NA,NA,NA
2017-05-05,4.6505378336933,1,5,NA,NA,NA
2017-05-12,4.91309374106263,1,5,NA,NA,NA
2017-05-19,5.66282132383379,1,5,NA,NA,NA
2017-05-26,5.77127525384458,1,5,NA,NA,NA
2017-06-02,5.77788168570695,1,5,NA,NA,NA
2017-06-09,5.85613293726634,1,5,NA,NA,NA
2017-06-16,5.64904740127638,1,5,NA,NA,NA
2017-06-23,5.55629421010519,1,5,NA,NA,NA
2017-06-30,5.50920449800297,1,5,NA,NA,NA
2017-07-07,5.37064536726683,1,5,NA,NA,NA
2017-07-14,5.34888950925008,1,5,NA,NA,NA
2017-07-21,4.92868740682417,1,5,NA,NA,NA
2017-07-28,4.90698574487881,1,5,NA,NA,NA
2017-08-04,4.95116972914631,1,5,NA,NA,NA
2017-08-11,5.01977715705292,1,5,NA,NA,NA
2017-08-18,5.05504640566761,1,5,NA,NA,NA
2017-08-25,5.00321978717992,1,5,NA,NA,NA
2017-09-01,4.99966669557709,1,5,NA,NA,NA
2017-09-08,5.17603712055539,1,5,NA,NA,NA
2017-09-15,5.08242447256621,1,5,NA,NA,NA
2017-09-22,5.04797351882185,1,5,NA,NA,NA
2017-09-29,5.31862314081873,1,5,NA,NA,NA
2017-10-06,5.37218357712,1,5,NA,NA,NA
2017-10-13,5.5444714628711,1,5,NA,NA,NA
2017-10-20,5.48960114103839,1,5,NA,NA,NA
2017-10-27,5.6095783608353,1,5,NA,NA,NA
2017-11-03,5.68665553665287,1,5,NA,NA,NA
