"","EUA","NZU","HBEA","CCA","KAU","ACCU","RGGI"
"EUA",0.633252435786731,0.0825599323445622,0.0419028972510399,0.0651187285939833,0.0368276810901667,0.0887527563021315,0.0515855686313856
"NZU",0.0116690440225792,0.878095746528546,0.00947125122537068,0.0133766238413398,0.0354636402777114,0.0467256428887507,0.00519805121570242
"HBEA",0.0101306968023732,0.0838204623895052,0.724511464754646,0.0433251113856254,0.028822308500354,0.0978379858721829,0.011551970295313
"CCA",0.0381266830617591,0.0352836921639847,0.0128274843620177,0.793849889565989,0.0277083371594944,0.0412679996556704,0.0509359140310845
"KAU",0.0206774725948499,0.0157601892665596,0.0317365114527328,0.0866583566469133,0.788906475914599,0.033038546479448,0.0232224476448977
"ACCU",0.00985719011251844,0.0791351418203234,0.0186777358224156,0.0298543974310078,0.0164371228532665,0.839780140085784,0.00625827187468376
"RGGI",0.011449643491288,0.0563230646123941,0.0209637942899395,0.125956261647395,0.0646340916459108,0.111074631352349,0.609598512960724
